Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Aluminum,Basic Materials,96,83,90,96,"AA,CENX,CSTM,KALU"
2,Semiconductors,Technology,91,75,92,90,"MCHPP,NVDA,TSM,AVGO,MU,AMD,INTC,ARM,TXN,MRVL,QCOM,ADI,ASX,MPWR,NXPI,STM,ALAB,CBRS,UMC,MCHP,ON,GFS,CRDO,TSEM,MTSI,LSCC,SITM,RMBS,SMTC,SWKS,ALGM,SIMO,QRVO,CRUS,VSH,SLAB,MXL,NVTS,SYNA,DIOD,POWI,PI,LASR,HIMX,WOLF,POET,IMOS,SKYT,AMBQ,AIP,AOSL,CEVA,MRAM,NVEC,ALMU,QUIK,GSIT,MX,IPWR,WKEY,PXLW"
3,Semiconductor Equipment & Materials,Technology,91,54,84,90,"ASML,LRCX,AMAT,KLAC,TER,Q,ENTG,AMKR,NVMI,ONTO,FORM,CAMT,AXTI,ACMR,KLIC,ACLS,IPGP,UCTT,VECO,AMBA,AEHR,COHU,ICHR,PLAB,DQ,ASYS,ATOM,INTT,TRT"
4,Oil & Gas Drilling,Energy,90,62,60,93,"NE,RIG,VAL,PTEN,HP,SDRL,SOC,NBR,PDS"
5,REIT - Hotel & Motel,Real Estate,88,93,91,90,"HST,RHP,APLE,PK,DRH,SHO,PEB,XHR,RLJ,INN,CLDT"
6,Trucking,Industrials,88,95,92,93,"ODFL,XPO,TFII,KNX,SAIA,SNDR,RXO,ARCB,WERN,MRTN,HTLD,CVLG,ULH,PAMT"
7,Textile Manufacturing,Consumer Cyclical,86,96,92,92,"AIN,SMJF"
8,Electronic Components,Technology,85,75,83,83,"APH,GLW,TEL,FLEX,CLS,JBL,FN,TTMI,SANM,VICR,LFUS,PLXS,RAL,OLED,BELFB,OSIS,KN,BELFA,BHE,OUST,ROG,CTS,ALNT,KOPN,DAKT,LPTH,LYTS,OPTX,MEI,MPTI,RELL,CPSH,LINK,ELTK"
9,Copper,Basic Materials,82,44,36,71,"SCCO,FCX,HBM,ERO,TGB,IE"
10,Publishing,Communication Services,82,77,77,87,"NYT,PSO,WLYB,WLY,TDAY,SCHL,LEE"
11,Silver,Basic Materials,82,8,16,69,"AG,AYA,EXK,SVM"
12,Oil & Gas Equipment & Services,Energy,81,62,62,84,"SLB,BKR,HAL,TS,FTI,NOV,WFRD,KGS,SEI,AROC,LB,LBRT,WHD,USAC,OII,TDW,EFXT,WTTR,FLOC,NESR,NEXT,AESI,INVX,XPRO,PUMP,RES,HLX,WBI,ACDC,VTOL,HMH,FTK,CLB,FET,EROK,NGS,OIS,NINE,RNGR,NOA,SND,NCSM,GEOS,STAK"
13,Computer Hardware,Technology,81,88,86,67,"DELL,SNDK,ANET,STX,WDC,SMCI,P,IONQ,HPQ,LOGI,QBTS,RGTI,QUBT,BRAI,UMAC,CRSR,SSYS,VELO,OSS,DPRO,QMCO,ALOT"
14,Solar,Technology,80,71,82,66,"ASTI,FSLR,NXT,ENPH,SEDG,RUN,SHLS,ARRY,CSIQ,JKS,TOYO,SUNE"
15,Banks - Diversified,Financial Services,79,76,77,70,"JPM,BAC,HSBC,RY,WFC,C,MUFG,TD,SAN,UBS,SMFG,BBVA,BMO,CM,BNS,BNY,ING,BCS,NTB"
16,Communication Equipment,Technology,79,63,72,78,"CSCO,NOK,LITE,MSI,CIEN,HPE,ERIC,ASTS,UI,AAOI,VIAV,ZBRA,VSAT,ONDS,BDC,EXTR,VISN,DGII,TSAT,HLIT,ADTN,GILT,FEIM,NTGR,CLFD,BKTI,LTRX,AUDC,SILC,AVNW,INSG,OCC,AMPG,WATT,AIRG"
17,Marine Shipping,Industrials,79,34,52,73,"KEX,MATX,HAFN,ZIM,SBLK,DAC,NMM,CMRE,ECO,SFL,GSL,CCEC,GNK,HSHP,ASC,SB,PANL,ESEA,CMDB,GASS,SHIP,SMHI,EDRY,EHLD,SVRN"
18,Healthcare Plans,Healthcare,77,83,83,76,"UNH,CVS,ELV,CI,HUM,CNC,MOH,OSCR,ALHC,PGNY"
19,Electronics & Computer Distribution,Technology,76,93,91,79,"SNX,ARW,AVT,NSIT,CNXN,SCSC,CLMB"
20,Coking Coal,Basic Materials,76,90,79,56,"HCC,AMR,METC,METCB,SXC"
21,Electrical Equipment & Parts,Industrials,75,61,75,63,"VRT,BE,NVT,HUBB,FPS,AEIS,POWL,AYI,ENS,HAYW,ATKR,AMPX,TE,EOSE,PLPC,ENVX,BLDP,ENR,ADSE,FCEL,KE,ELVA,LTBR,EAF,STI,TGEN,RFIL,ESP,ULBI,OESX"
22,Oil & Gas Integrated,Energy,75,56,59,76,"XOM,CVX,SHEL,TTE,PBR,BP,EQNR,E,SU,IMO,CVE,EC,YPF,NFG,TGS,DEC"
23,Oil & Gas Refining & Marketing,Energy,74,67,69,74,"MPC,VLO,PSX,DINO,SUN,PBF,IEP,CVI,DK,PARR,DKL,APC,WKC,CAPL,SGU"
24,Real Estate - Diversified,Real Estate,74,32,16,71,"JOE,STRS"
25,Integrated Freight & Logistics,Industrials,74,73,71,72,"UPS,FDX,JBHT,FDXF,CHRW,EXPD,ZTO,LSTR,GXO,HUBG,PBI,CYRX,RLGT,FWRD,PAL,PSIG,NCEW"
26,Oil & Gas Midstream,Energy,72,46,51,79,"ENB,WMB,EPD,TRP,KMI,ET,MPLX,TRGP,OKE,VG,CQP,PBA,WES,VNOM,PAA,DTM,AM,FRO,PAGP,CMBT,INSW,STNG,BWLP,TRMD,FLNG,IMPPP,LNG,HESM,KNTK,SOBO,GLNG,EE,SUNC,DHT,TNK,NGL,GEL,LPG,GLP,NVGS,PBT,SBR,NAT,TEN,TK,SMC,KNOP,IMPP,TORO"
