SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Energy,1,FET,94.33,Near Breakout,Normal,83.64,4.32,3.77,97.0,92.0,97.0,89.0,NO,0.36,NO,73.6,56.58,76.72,62.16,Oil & Gas Equipment & Services
1,Energy,2,CVI,93.1,Stage 2 Watch,Loose,51.3,7.05,5.27,96.0,97.0,98.0,93.0,NO,0.0,NO,39.81,31.62,41.59,34.75,Oil & Gas Refining & Marketing
1,Energy,3,VLO,91.15,Stage 2 Watch,Loose,382.86,8.63,4.43,97.0,93.0,96.0,93.0,NO,0.86,NO,343.14,252.61,351.39,283.48,Oil & Gas Refining & Marketing
1,Energy,4,PBR,90.53,Stage 2 Watch,Normal,20.84,6.29,2.9,92.0,93.0,92.0,44.0,NO,0.0,NO,19.2,17.57,19.46,19.17,Oil & Gas Integrated
1,Energy,5,PSX,90.51,Stage 2 Watch,Normal,255.87,7.67,3.53,96.0,88.0,96.0,90.0,NO,0.0,NO,233.47,179.95,238.64,196.43,Oil & Gas Refining & Marketing
2,Healthcare,1,TWST,98.61,Extended Near High,Loose,184.03,0.64,6.09,98.0,97.0,98.0,98.0,NO,0.0,NO,123.01,71.76,130.6,87.07,Biotechnology
2,Healthcare,2,MRNA,98.55,Extended Near High,Loose,194.82,0.45,6.13,98.0,96.0,98.0,98.0,NO,0.0,NO,107.4,63.4,115.29,74.83,Biotechnology
2,Healthcare,3,ADPT,98.0,Extended Near High,Loose,29.57,0.03,4.16,97.0,95.0,96.0,97.0,NO,0.0,NO,24.74,18.2,25.24,19.02,Diagnostics & Research
2,Healthcare,4,GRAL,97.99,Extended Near High,Loose,125.21,1.26,5.62,97.0,98.0,98.0,98.0,NO,0.0,NO,76.45,72.43,79.58,65.62,Diagnostics & Research
2,Healthcare,5,NTRA,97.68,Extended Near High,Normal,408.79,1.0,3.27,97.0,97.0,96.0,97.0,NO,0.0,NO,311.38,242.96,325.54,252.94,Diagnostics & Research
3,Technology,1,SAIH,98.37,Extended Near High,Loose,30.0,0.96,6.85,98.0,97.0,98.0,98.0,NO,0.0,NO,21.32,12.51,22.67,14.6,Information Technology Services
3,Technology,2,AMD,97.55,Extended Near High,Loose,629.26,0.24,4.27,98.0,97.0,89.0,98.0,NO,0.0,NO,502.12,362.71,511.75,427.57,Semiconductors
3,Technology,3,CRWD,97.24,Extended Near High,Loose,259.67,1.59,4.8,97.0,97.0,96.0,98.0,NO,0.0,NO,210.8,148.88,213.3,165.67,Software - Infrastructure
3,Technology,4,TWLO,97.21,Extended Near High,Loose,299.66,1.64,4.58,97.0,97.0,96.0,97.0,NO,0.0,NO,224.55,170.59,233.52,192.15,Software - Infrastructure
3,Technology,5,RNG,96.98,Extended Near High,Loose,79.82,2.54,4.52,98.0,96.0,98.0,97.0,NO,0.09,NO,62.78,42.55,66.18,48.73,Software - Application
4,Basic Materials,1,CLMT,90.44,Stage 2 Watch,Loose,53.85,10.06,4.67,97.0,94.0,97.0,96.0,NO,0.0,NO,48.31,33.9,49.26,38.87,Specialty Chemicals
4,Basic Materials,2,AYA,89.89,Stage 2 Watch,Loose,27.94,8.9,5.69,97.0,87.0,97.0,97.0,NO,0.0,NO,25.27,19.29,26.04,20.56,Silver
4,Basic Materials,3,TX,87.93,Tight Base,Tight,55.53,5.45,2.34,93.0,76.0,91.0,91.0,NO,0.0,NO,53.12,45.26,54.32,47.03,Steel
4,Basic Materials,4,MEOH,83.52,Pullback to 50D,Normal,59.77,10.46,3.54,90.0,78.0,91.0,36.0,NO,0.71,NO,57.4,53.66,58.09,57.05,Chemicals
4,Basic Materials,5,CGAU,82.05,Stage 2 Watch,Normal,22.78,7.1,3.55,96.0,44.0,96.0,90.0,NO,0.0,NO,20.63,18.02,21.47,18.64,Gold
5,Financial Services,1,SBFG,95.2,Breakout Zone,Loose,30.73,0.0,4.1,92.0,92.0,93.0,92.0,NO,0.0,NO,27.69,23.46,27.97,24.28,Banks - Regional
5,Financial Services,2,ARX,91.22,Extended Near High,Very Tight,19.74,0.8,0.5,92.0,73.0,96.0,92.0,NO,0.0,NO,16.89,14.46,17.66,14.92,Insurance Brokers
5,Financial Services,3,VBNK,91.05,Stage 2 Watch,Loose,23.31,6.95,4.08,94.0,96.0,90.0,95.0,NO,0.0,NO,20.56,17.69,20.95,18.77,Banks - Regional
5,Financial Services,4,SAFT,90.19,Breakout Zone,Very Tight,103.51,0.36,0.22,92.0,67.0,95.0,90.0,NO,0.0,NO,99.22,81.08,103.43,83.44,Insurance - Property & Casualty
5,Financial Services,5,AAMI,90.18,Pullback to 50D,Normal,93.32,5.28,3.38,96.0,79.0,94.0,95.0,NO,0.0,NO,89.53,67.84,90.64,74.9,Asset Management
