Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
13,AGL,111.01,167939,Healthcare,Medical Care Facilities,98.0,95.0,98.0,98.0,10.3598,10.2269,438737.0,389490.0,125.71,7.48,1852067072,NO,79.8,34.09,89.8,41.76,,1310,0.0,167939,NO,NO,2025-08-05,7008856.0
63,SLGL,74.01,27665,Healthcare,Biotechnology,98.0,57.0,6.0,95.0,4.8111,4.7832,38729.0,25140.0,97.97,6.96,241938032,NO,72.82,59.38,74.32,69.6,,2115,2.51,27665,NO,NO,2024-12-23,1837620.0
76,MANE,129.74,563002,Healthcare,Biotechnology,97.0,96.0,97.0,,8.2521,8.105,657873.0,1094610.0,131.24,32.0,5420367360,NO,102.22,,104.77,,,103,0.0,563002,NO,NO,2026-06-26,4047300.0
85,CNCG,36.59,422,ETF,ETF,97.0,94.0,98.0,96.0,1.5005,0.429,2137.0,1050.0,37.28,8.84,0,NO,28.51,,30.36,,,134,0.0,422,NO,NO,2026-03-10,45600.0
93,MBX,57.8,821213,Healthcare,Biotechnology,97.0,98.0,96.0,96.0,3.7565,3.7064,761883.0,1119330.0,58.5,9.63,2751137536,NO,36.48,30.38,38.54,34.75,,451,0.21,821213,NO,NO,2025-09-22,28303500.0
106,STRO,30.43,524925,Healthcare,Biotechnology,97.0,94.0,82.0,97.0,2.7679,2.7343,337506.0,608570.0,43.85,7.15,504238464,NO,32.03,19.0,31.51,23.07,,1950,0.0,524925,NO,NO,2026-06-26,2773500.0
110,PVLA,146.76,321789,Healthcare,Biotechnology,97.0,97.0,81.0,91.0,9.428,8.9816,262168.0,399330.0,161.38,23.76,2104955648,NO,120.89,101.39,122.04,111.55,,2891,0.23,321789,NO,NO,2024-07-24,5845900.0
196,RCUS,30.33,1067729,Healthcare,Biotechnology,95.0,94.0,91.0,86.0,1.6391,1.6084,1310404.0,2237750.0,31.73,8.03,3814700032,NO,25.4,21.76,25.62,23.08,,2086,1.07,1067729,NO,NO,2022-04-06,13084900.0
202,HNGE,84.05,1112679,Healthcare,Health Information Services,95.0,97.0,97.0,95.0,3.8373,3.7901,1738536.0,2981740.0,86.66,30.08,6503799808,NO,59.56,48.76,62.88,49.12,,279,0.0,1112679,NO,NO,2025-05-22,9172800.0
210,DAVE,387.36,548945,Technology,Software - Application,95.0,97.0,97.0,95.0,27.4565,26.7022,614814.0,685080.0,404.44,152.21,4924990464,NO,279.86,224.76,287.13,231.34,,1303,0.85,548945,NO,NO,2022-07-27,3887050.0
220,RKLB,100.46,21871193,Industrials,Aerospace & Defense,95.0,4.0,94.0,90.0,9.3605,8.6226,27745008.0,33450330.0,151.0,35.25,62769291264,NO,106.93,75.88,109.3,85.61,,1406,0.0,21871193,YES,NO,2024-11-13,121001300.0
226,IMVT,38.79,1036211,Healthcare,Biotechnology,95.0,95.0,94.0,92.0,1.4026,1.3515,1948234.0,2088070.0,39.28,14.32,7963932672,NO,31.99,25.71,32.87,28.34,,1767,0.89,1036211,NO,NO,2023-09-26,35084900.0
239,MRCY,126.21,594444,Industrials,Aerospace & Defense,95.0,87.0,95.0,95.0,6.5029,6.4929,666263.0,1006220.0,127.83,49.86,7578062848,NO,100.51,85.29,105.22,90.21,,7149,1.5,594444,NO,NO,2023-08-18,13314400.0
245,LINC,52.33,336034,Consumer Defensive,Education & Training Services,95.0,78.0,83.0,96.0,2.4193,2.4193,500950.0,517110.0,53.5,17.29,1659945728,NO,46.76,32.34,47.43,36.99,,5289,0.0,336034,NO,NO,2009-02-12,3761700.0
248,SEPN,34.0,471439,Healthcare,Biotechnology,95.0,89.0,91.0,80.0,2.5209,2.4245,380460.0,621110.0,37.99,10.62,1532568064,NO,29.57,25.7,30.76,27.66,,421,0.0,471439,NO,NO,2025-05-14,37815800.0
251,EZPW,35.59,1120637,Financial Services,Credit Services,95.0,89.0,90.0,95.0,1.6179,1.61,877129.0,1360980.0,37.13,13.08,2190065408,NO,32.49,24.48,32.7,27.15,,8774,0.0,1123116,NO,NO,2006-10-13,12390000.0
257,CVLG,43.94,116035,Industrials,Trucking,95.0,74.0,94.0,96.0,1.7106,1.6463,195240.0,197720.0,47.08,18.0,1106013184,NO,38.9,27.87,39.89,31.08,,7971,0.0,116035,NO,NO,1994-10-28,9770400.0
262,AXSM,244.31,729983,Healthcare,Biotechnology,94.0,84.0,91.0,94.0,8.4143,8.3429,903613.0,1680900.0,260.19,96.09,12572135424,NO,228.6,173.47,234.61,191.97,,2668,0.76,794933,NO,NO,2019-01-07,51674500.0
288,TENB,38.6,3143687,Technology,Software - Infrastructure,94.0,94.0,97.0,93.0,1.9271,1.9143,3632600.0,3730250.0,39.43,15.73,4256498176,NO,25.62,24.46,26.86,23.0,,1994,0.0,3143687,NO,NO,2026-02-05,11369900.0
333,RKLX,43.31,2770318,ETF,ETF,93.0,0.0,94.0,47.0,8.4318,7.7939,3374750.0,3287930.0,114.83,15.02,0,NO,59.39,43.4,60.6,47.4,,328,0.0,2770318,NO,NO,2026-05-08,9745300.0
359,TYRA,30.62,645997,Healthcare,Biotechnology,93.0,79.0,2.0,78.0,1.9041,1.8848,990665.0,1295130.0,40.65,9.47,1820983040,NO,32.0,27.01,31.57,31.75,,1204,1.02,645997,NO,NO,2026-03-04,6161200.0
364,BRKR,61.64,3640706,Healthcare,Medical Devices,93.0,80.0,95.0,85.0,2.4986,2.3764,2446009.0,2218290.0,64.54,28.53,9383187456,NO,49.53,43.14,51.88,45.0,,6515,1.25,3640706,NO,NO,2025-09-03,18329700.0
387,MRX,62.52,905602,Financial Services,Capital Markets,93.0,94.0,92.0,93.0,3.447,3.447,1070291.0,1241430.0,67.35,27.91,4497118208,NO,57.0,42.47,58.0,46.9,,548,0.0,905602,NO,NO,2024-04-25,7269100.0
