Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,SNDK,1744.43,8664403,Technology,Computer Hardware,98.0,15.0,98.0,98.0,231.2671,173.3139,13661583.0,12836390.0,2354.39,40.1,258332229632,NO,1625.76,711.62,1744.79,990.92,,348,0.0,8664403,NO,NO,2025-11-26,43000900.0
2,MUU,760.0,1625770,ETF,ETF,98.0,1.0,98.0,98.0,187.1205,135.3619,3086036.0,3613550.0,1252.8,16.73,0,NO,695.01,266.89,754.48,369.52,,433,0.0,1625770,NO,NO,2026-06-09,5492900.0
4,BWET,170.04,155981,ETF,ETF,98.0,8.0,86.0,98.0,20.5075,16.23,128044.0,97180.0,223.03,10.81,0,NO,176.26,77.68,176.14,107.44,,795,0.0,155981,NO,NO,2024-01-30,657200.0
8,INTW,38.27,3011457,ETF,ETF,98.0,77.0,98.0,98.0,7.2766,6.1762,6623186.0,5199120.0,52.62,1.72,0,NO,37.17,14.6,39.2,19.48,,348,0.0,3011457,NO,NO,2025-09-18,79455200.0
11,LINT,194.41,109095,ETF,ETF,98.0,77.0,98.0,98.0,36.1756,30.4311,209216.0,174130.0,266.71,23.87,0,NO,188.33,,199.02,98.84,,155,3.49,109095,NO,NO,2026-01-23,456000.0
17,MRVU,157.71,124836,ETF,ETF,98.0,0.0,98.0,,41.0196,34.3782,345093.0,364490.0,308.77,20.8,0,NO,154.87,,161.15,,,98,0.0,124836,NO,NO,2026-06-03,1251400.0
18,MXL,95.68,3116082,Technology,Semiconductors,98.0,71.0,98.0,98.0,12.4193,11.325,5225662.0,4615660.0,128.3,12.77,8567757312,NO,86.81,34.94,92.38,46.48,,4095,0.35,3116082,NO,NO,2026-04-24,29044000.0
19,LABX,172.9,158217,ETF,ETF,98.0,95.0,98.0,98.0,35.0183,31.7854,347224.0,196910.0,234.25,12.0,0,NO,105.04,60.43,121.22,63.09,,225,3.84,158217,NO,NO,2026-02-11,1873200.0
20,SOXL,194.65,41148304,ETF,ETF,98.0,1.0,98.0,98.0,43.1629,30.425,64076362.0,55971760.0,302.0,22.57,0,NO,197.25,87.88,204.42,111.69,,4104,0.0,41148304,YES,NO,2025-04-09,787748800.0
21,BE,295.05,8916547,Industrials,Electrical Equipment & Parts,98.0,64.0,97.0,98.0,35.9303,31.1846,11912503.0,18424970.0,351.28,23.75,83925164032,NO,280.62,165.96,279.52,194.79,,1996,3.7,8916547,NO,NO,2024-11-15,64722200.0
22,MVLL,39.14,3158621,ETF,ETF,98.0,0.0,98.0,98.0,10.3616,8.7123,6171011.0,6141700.0,77.67,4.32,0,NO,39.02,15.81,40.5,19.78,,333,0.0,3158621,NO,NO,2025-08-29,36696300.0
24,SNDU,37.8,3410845,ETF,ETF,98.0,1.0,98.0,,13.2721,9.7378,2509660.0,3039730.0,79.0,5.72,0,NO,41.04,,44.51,,,79,0.0,3410845,NO,NO,2026-07-02,6307800.0
25,BEG,78.32,122870,ETF,ETF,98.0,7.0,98.0,98.0,19.8194,16.7759,102467.0,155760.0,121.25,10.89,0,NO,84.19,,80.3,50.36,,137,8.55,122870,NO,NO,2026-06-26,274700.0
26,MU,984.75,35948270,Technology,Semiconductors,98.0,9.0,98.0,98.0,106.0315,77.0543,51461354.0,63100320.0,1255.0,103.38,1112169906176,NO,862.03,448.47,926.57,571.95,,10604,0.0,35948270,YES,NO,2013-10-11,153906100.0
31,WDC,577.46,7428356,Technology,Computer Hardware,98.0,20.0,97.0,98.0,70.8386,52.9186,8365480.0,12727090.0,799.87,63.67,199040155648,NO,533.39,292.93,550.13,367.4,,12016,5.48,7428356,NO,NO,2009-06-30,65696343.0
33,LRCU,70.88,124128,ETF,ETF,98.0,13.0,97.0,98.0,14.4121,12.3782,123711.0,206350.0,113.66,7.68,0,NO,66.83,37.83,69.67,47.47,,220,0.0,124128,NO,NO,2026-01-28,366600.0
35,BEX,55.57,1165802,ETF,ETF,98.0,8.0,98.0,98.0,14.5054,12.7276,965350.0,1552710.0,86.12,7.2,0,NO,59.5,,56.79,35.4,,159,7.21,1165802,NO,NO,2026-07-02,2753200.0
36,ATEX,106.04,517269,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.1922,7.1915,445068.0,636520.0,111.9,17.58,2067618048,NO,67.12,37.19,76.51,47.66,,2871,0.0,517269,NO,NO,2020-12-21,3077900.0
39,VICR,285.34,651994,Technology,Electronic Components,98.0,5.0,96.0,97.0,32.9436,28.8521,898026.0,1182230.0,382.65,41.76,13006198784,NO,298.81,169.45,293.44,210.37,,9129,0.0,651994,NO,NO,2023-07-26,4839800.0
45,ARMG,32.18,578436,ETF,ETF,98.0,0.0,98.0,98.0,8.4964,7.6629,2285718.0,1399240.0,65.95,4.63,0,NO,33.18,15.32,36.02,17.64,,369,0.0,578436,NO,NO,2026-05-06,10883000.0
46,WDCX,33.64,2262339,ETF,ETF,98.0,3.0,98.0,,9.8185,7.2604,1655918.0,3036630.0,69.0,7.46,0,NO,32.96,,34.01,,,110,12.22,2262339,NO,NO,2026-06-18,6292500.0
47,INTC,122.2,85811308,Technology,Semiconductors,98.0,79.0,97.0,98.0,10.8264,9.27,137506732.0,128221660.0,142.35,18.97,614177177600,NO,114.52,60.82,119.68,74.0,,11669,0.0,85811308,YES,NO,1993-04-19,567708800.0
48,ALAB,432.74,4114168,Technology,Semiconductors,98.0,92.0,98.0,97.0,44.7301,40.3806,6340706.0,7573310.0,499.48,88.19,74175070208,NO,308.84,196.65,341.44,215.4,,574,2.68,4114168,NO,NO,2024-11-05,24756900.0
49,ORKA,83.13,1579405,Healthcare,Biotechnology,98.0,98.0,94.0,97.0,5.9114,5.2686,1827716.0,2619500.0,97.78,12.48,5013744640,NO,68.98,42.3,70.7,51.01,,7270,0.0,1579405,NO,NO,2026-04-29,7921000.0
52,VPG,123.0,680343,Technology,Scientific & Technical Instruments,98.0,14.0,98.0,98.0,12.2786,11.5286,524701.0,656260.0,151.78,25.58,1636023040,NO,107.81,57.43,117.44,70.04,,4032,0.0,680343,NO,NO,2026-05-13,1453400.0
58,STX,868.26,3444889,Technology,Computer Hardware,98.0,11.0,97.0,98.0,92.7264,77.2021,4337960.0,5910060.0,1145.0,138.3,196445667328,NO,845.96,460.1,870.77,565.24,,5927,5.06,3444889,NO,NO,2012-06-29,89629700.0
62,LITE,731.25,3607460,Technology,Communication Equipment,98.0,2.0,6.0,96.0,71.6539,64.9657,5935785.0,5745610.0,1085.68,88.93,56891248640,NO,895.23,545.73,858.81,688.88,,2753,0.0,3607460,NO,NO,2026-03-20,22868800.0
66,PRAX,313.5,387253,Healthcare,Biotechnology,98.0,86.0,31.0,44.0,20.3021,19.6192,498996.0,784460.0,366.52,37.19,8739995648,NO,313.82,259.26,312.88,310.95,,1434,0.0,387253,NO,NO,2025-10-16,13741900.0
69,UCTT,105.53,1419241,Technology,Semiconductor Equipment & Materials,98.0,88.0,95.0,98.0,11.9893,10.1957,1212324.0,1725770.0,144.22,21.28,4730736128,NO,94.12,54.51,98.57,68.38,,5604,0.0,1419241,NO,NO,2018-01-02,7165600.0
72,KOD,37.02,436200,Healthcare,Biotechnology,98.0,81.0,8.0,86.0,2.8321,2.7986,770047.0,1090070.0,47.84,3.7,2316653824,NO,37.63,27.74,36.37,32.37,,1946,0.0,436200,NO,NO,2022-02-23,26802500.0
74,AAOI,123.36,7979021,Technology,Communication Equipment,97.0,0.0,76.0,98.0,17.9884,16.6737,12631380.0,12923400.0,233.67,18.5,9898747904,NO,168.14,82.71,156.71,106.27,,3211,0.0,8018754,NO,NO,2022-09-16,77414200.0
75,CRDU,89.08,604890,ETF,ETF,97.0,97.0,98.0,96.0,20.0559,17.9439,643870.0,497970.0,126.88,12.87,0,NO,69.19,50.69,73.22,47.45,,201,10.08,604890,NO,NO,2026-06-02,2403200.0
79,KEEX,76.5,9943,ETF,ETF,97.0,0.0,98.0,,25.0203,22.559,14503.0,23150.0,181.67,15.35,0,NO,91.75,,95.95,,,128,0.0,9943,NO,NO,2026-02-06,81800.0
80,ASX,43.32,8164468,Technology,Semiconductors,97.0,79.0,96.0,97.0,2.9086,2.1236,10124568.0,14785960.0,45.52,9.3,95041732608,NO,36.43,22.58,37.93,27.32,,6476,3.08,8164468,NO,NO,2025-04-09,36777100.0
82,BRUN,32.31,1805583,Technology,Software - Infrastructure,97.0,4.0,98.0,97.0,4.3786,4.1584,1551555.0,1760220.0,42.0,10.21,1984760448,NO,27.92,15.9,30.16,18.22,,378,0.0,1805583,NO,NO,2025-09-16,5067100.0
