SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Health technology,1,SI,87.47,Stage 2 Watch,Loose,22.22,9.64,7.18,95.0,82.0,96.0,95.0,NO,0.59,NO,20.99,15.9,21.46,16.8,Medical specialties
2,Healthcare,1,FBRX,98.65,Extended Near High,Very Tight,76.95,0.32,0.12,98.0,96.0,98.0,98.0,NO,0.03,NO,50.37,31.55,57.36,36.23,Biotechnology
2,Healthcare,2,XNCR,98.15,Extended Near High,Loose,29.0,1.26,4.97,98.0,97.0,98.0,98.0,NO,0.0,NO,18.49,14.55,20.4,14.87,Biotechnology
2,Healthcare,3,OMER,97.79,Extended Near High,Loose,19.32,1.33,5.48,97.0,98.0,97.0,95.0,NO,0.0,NO,11.9,11.61,12.86,12.04,Biotechnology
2,Healthcare,4,CRL,97.79,Extended Near High,Loose,298.58,0.25,4.05,96.0,95.0,98.0,96.0,NO,0.83,NO,236.35,194.63,250.46,197.92,Diagnostics & Research
2,Healthcare,5,VREX,97.79,Extended Near High,Normal,18.52,0.59,3.1,95.0,98.0,98.0,90.0,NO,0.0,NO,12.55,12.03,13.25,11.99,Medical Devices
3,Energy,1,MPC,95.28,Extended Near High,Normal,362.52,1.38,3.35,96.0,89.0,95.0,96.0,NO,0.0,NO,299.55,233.61,311.93,259.09,Oil & Gas Refining & Marketing
3,Energy,2,VLO,94.62,Extended Near High,Normal,346.0,1.98,3.17,96.0,88.0,95.0,95.0,NO,0.0,NO,294.91,231.56,306.77,258.3,Oil & Gas Refining & Marketing
3,Energy,3,PSX,94.29,Extended Near High,Normal,241.96,2.02,3.13,95.0,89.0,94.0,94.0,NO,0.0,NO,200.5,167.49,208.41,182.5,Oil & Gas Refining & Marketing
3,Energy,4,PBT,92.3,Extended Near High,Loose,34.75,2.11,5.35,95.0,90.0,80.0,95.0,NO,0.88,NO,28.91,22.99,29.63,25.26,Oil & Gas Midstream
3,Energy,5,TNK,92.01,Extended Near High,Normal,92.01,2.57,3.4,91.0,92.0,87.0,86.0,NO,0.0,NO,76.23,69.6,77.87,75.15,Oil & Gas Midstream
4,Basic Materials,1,SSRM,96.44,Extended Near High,Loose,38.61,0.44,4.28,94.0,97.0,92.0,86.0,NO,1.46,NO,29.47,27.35,30.7,29.92,Gold
4,Basic Materials,2,CGAU,95.82,Extended Near High,Loose,23.48,2.81,4.11,96.0,97.0,95.0,84.0,NO,0.0,NO,17.87,16.9,18.74,18.14,Gold
4,Basic Materials,3,ERO,95.07,Near Breakout,Loose,38.55,3.34,5.23,95.0,97.0,95.0,84.0,NO,0.0,NO,29.01,28.25,30.15,28.95,Copper
4,Basic Materials,4,FCX,94.43,Extended Near High,Normal,77.8,1.37,3.62,93.0,93.0,91.0,78.0,NO,0.0,NO,64.9,59.34,65.91,63.63,Copper
4,Basic Materials,5,VHI,94.18,Extended Near High,Loose,18.1,1.63,5.28,90.0,95.0,95.0,87.0,NO,1.01,NO,14.6,13.93,15.07,14.47,Chemicals
5,Technology,1,SAIH,97.17,Extended Near High,Loose,24.0,2.83,9.88,98.0,98.0,98.0,98.0,NO,0.0,NO,15.86,10.62,17.04,11.95,Information Technology Services
5,Technology,2,RNG,96.73,Extended Near High,Loose,67.08,2.0,4.1,97.0,96.0,96.0,96.0,NO,0.0,NO,48.72,37.89,52.58,43.3,Software - Application
5,Technology,3,NAVN,96.25,Near Breakout,Normal,29.36,2.1,3.79,97.0,94.0,96.0,98.0,NO,0.21,NO,25.64,17.45,26.7,18.79,Software - Application
5,Technology,4,PAYC,95.93,Extended Near High,Loose,229.62,2.12,4.47,94.0,97.0,97.0,96.0,NO,0.0,NO,162.53,146.17,175.65,144.21,Software - Application
5,Technology,5,CHYM,95.72,Near Breakout,Loose,32.7,3.08,5.85,95.0,97.0,98.0,95.0,NO,0.0,NO,23.61,22.17,25.47,21.68,Software - Application
