IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,MGNI,24.19,Communication Services,Advertising Agencies,95.0,94.0,98.0,97.0,1.0639,0.8661,0.0,NO,NO
2,QNST,20.17,Communication Services,Advertising Agencies,94.0,92.0,98.0,96.0,1.1075,0.7911,0.0,NO,NO
3,ZD,54.31,Communication Services,Advertising Agencies,93.0,31.0,93.0,95.0,2.3858,2.1744,0.0,NO,NO
4,WPP,25.84,Communication Services,Advertising Agencies,88.0,96.0,95.0,89.0,1.3864,0.8636,0.0,NO,NO
5,OMC,85.46,Communication Services,Advertising Agencies,76.0,62.0,86.0,83.0,3.0925,2.6725,0.0,NO,NO
1,DFNS,30.99,Industrials,Aerospace & Defense,98.0,98.0,98.0,98.0,19.1217,13.3049,0.0,NO,NO
2,ATRO,93.05,Industrials,Aerospace & Defense,97.0,96.0,95.0,92.0,5.0164,4.5371,0.0,NO,NO
3,SIF,22.05,Industrials,Aerospace & Defense,97.0,13.0,87.0,97.0,2.6468,2.2854,0.0,NO,NO
4,ISSC,24.78,Industrials,Aerospace & Defense,95.0,96.0,96.0,84.0,1.3789,1.3775,0.87,NO,NO
5,DCO,205.23,Industrials,Aerospace & Defense,95.0,93.0,95.0,94.0,8.8143,8.1929,0.0,NO,NO
1,CF,117.78,Basic Materials,Agricultural Inputs,74.0,11.0,10.0,83.0,4.5986,4.195,0.0,NO,NO
2,UAN,122.29,Basic Materials,Agricultural Inputs,64.0,47.0,11.0,65.0,4.2182,3.5675,0.0,NO,NO
3,IPI,36.6,Basic Materials,Agricultural Inputs,57.0,76.0,6.0,61.0,1.6071,1.5921,0.0,NO,NO
4,NTR,68.29,Basic Materials,Agricultural Inputs,39.0,39.0,12.0,19.0,1.8191,1.6944,0.0,NO,NO
5,CTVA,76.01,Basic Materials,Agricultural Inputs,32.0,2.0,9.0,37.0,2.5319,2.0859,0.0,NO,NO
1,DAL,87.59,Industrials,Airlines,88.0,58.0,89.0,85.0,2.3789,2.0117,0.0,NO,NO
2,UAL,122.26,Industrials,Airlines,82.0,71.0,92.0,64.0,4.1471,3.4936,0.0,NO,NO
3,LUV,43.35,Industrials,Airlines,72.0,4.0,77.0,6.0,1.4725,1.2657,0.0,NO,NO
4,ALGT,84.3,Industrials,Airlines,64.0,1.0,77.0,3.0,5.2421,4.6043,0.0,NO,NO
5,SKYW,105.6,Industrials,Airlines,59.0,81.0,92.0,38.0,3.3957,3.0468,0.0,NO,NO
1,CAAP,24.01,Industrials,Airports & Air Services,22.0,10.0,18.0,7.0,0.8563,0.8431,0.0,NO,NO
2,OMAB,102.79,Industrials,Airports & Air Services,11.0,12.0,26.0,4.0,2.8227,2.7427,0.0,NO,NO
3,ASR,263.0,Industrials,Airports & Air Services,5.0,7.0,6.0,1.0,7.0659,6.8123,0.0,NO,NO
4,PAC,205.69,Industrials,Airports & Air Services,5.0,6.0,5.0,2.0,5.2996,5.2175,0.0,NO,NO
1,KALU,185.5,Basic Materials,Aluminum,94.0,91.0,70.0,87.0,8.675,7.7721,0.68,NO,NO
2,CSTM,29.92,Basic Materials,Aluminum,90.0,71.0,7.0,82.0,1.21,1.1021,0.64,NO,NO
3,CENX,47.12,Basic Materials,Aluminum,83.0,88.0,4.0,40.0,3.05,2.7464,0.0,NO,NO
4,AA,51.71,Basic Materials,Aluminum,52.0,91.0,4.0,7.0,2.0679,1.6539,0.44,NO,NO
1,KTB,81.77,Consumer Cyclical,Apparel Manufacturing,80.0,7.0,92.0,81.0,3.2764,3.0864,0.0,NO,NO
2,GIII,33.77,Consumer Cyclical,Apparel Manufacturing,77.0,8.0,84.0,64.0,0.88,0.8736,0.0,NO,NO
3,RL,379.31,Consumer Cyclical,Apparel Manufacturing,70.0,21.0,82.0,41.0,14.0928,13.7178,0.0,NO,NO
4,LEVI,22.57,Consumer Cyclical,Apparel Manufacturing,44.0,5.0,64.0,41.0,0.635,0.6193,0.0,NO,NO
5,PVH,78.18,Consumer Cyclical,Apparel Manufacturing,35.0,25.0,18.0,69.0,3.3407,3.2186,0.0,NO,NO
1,VSXY,84.1,Consumer Cyclical,Apparel Retail,97.0,50.0,98.0,91.0,4.3349,4.222,0.0,NO,NO
2,LVLU,15.08,Consumer Cyclical,Apparel Retail,97.0,97.0,96.0,52.0,1.818,1.7339,0.0,NO,NO
3,CTRN,72.67,Consumer Cyclical,Apparel Retail,96.0,88.0,97.0,93.0,2.9725,2.859,0.0,NO,NO
4,JILL,18.68,Consumer Cyclical,Apparel Retail,88.0,87.0,96.0,70.0,0.7115,0.7011,0.0,NO,NO
5,ANF,105.16,Consumer Cyclical,Apparel Retail,88.0,84.0,95.0,65.0,4.7864,4.4443,0.0,NO,NO
1,MAAS,16.88,Financial Services,Asset Management,98.0,1.0,97.0,98.0,2.0385,2.0385,0.0,NO,NO
2,AAMI,92.99,Financial Services,Asset Management,95.0,87.0,92.0,95.0,3.4214,3.3772,0.0,NO,NO
3,VCTR,118.81,Financial Services,Asset Management,94.0,92.0,94.0,93.0,3.6787,3.4248,0.0,NO,NO
4,KF,66.45,Financial Services,Asset Management,93.0,83.0,37.0,88.0,2.9407,2.2568,2.66,NO,NO
5,STT,193.04,Financial Services,Asset Management,92.0,70.0,90.0,92.0,4.1357,3.8436,0.0,NO,NO
1,KMX,58.53,Consumer Cyclical,Auto & Truck Dealerships,92.0,43.0,96.0,90.0,1.8871,1.8229,0.0,NO,NO
2,RUSHB,80.23,Consumer Cyclical,Auto & Truck Dealerships,88.0,82.0,89.0,83.0,2.4171,2.2736,0.0,NO,NO
3,RUSHA,82.13,Consumer Cyclical,Auto & Truck Dealerships,87.0,82.0,84.0,71.0,2.4414,2.4043,0.0,NO,NO
4,LAD,369.52,Consumer Cyclical,Auto & Truck Dealerships,86.0,84.0,94.0,82.0,18.4479,16.5214,0.0,NO,NO
5,PAG,217.95,Consumer Cyclical,Auto & Truck Dealerships,86.0,78.0,93.0,85.0,3.7111,3.6811,0.0,NO,NO
1,GM,84.37,Consumer Cyclical,Auto Manufacturers,77.0,85.0,78.0,44.0,2.2218,2.1854,0.0,NO,NO
2,CYD,46.43,Consumer Cyclical,Auto Manufacturers,59.0,70.0,9.0,7.0,2.2671,2.1221,0.22,NO,NO
3,RACE,417.1,Consumer Cyclical,Auto Manufacturers,54.0,83.0,90.0,50.0,8.8746,7.6546,0.41,NO,NO
4,HMC,31.9,Consumer Cyclical,Auto Manufacturers,52.0,88.0,87.0,35.0,0.6143,0.4429,0.73,NO,NO
