IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
2,PAG,209.86,Consumer Cyclical,Auto & Truck Dealerships,86.0,32.0,88.0,91.0,3.1086,2.94,0.0,NO,NO
3,KMX,56.84,Consumer Cyclical,Auto & Truck Dealerships,81.0,10.0,80.0,86.0,1.8639,1.7739,0.0,NO,NO
4,RUSHA,48.27,Consumer Cyclical,Auto & Truck Dealerships,75.0,11.0,64.0,53.0,1.3309,1.2188,0.0,NO,NO
5,OPLN,34.63,Consumer Cyclical,Auto & Truck Dealerships,58.0,84.0,11.0,82.0,0.8557,0.8207,0.0,NO,NO
1,HMC,32.42,Consumer Cyclical,Auto Manufacturers,80.0,34.0,92.0,86.0,0.6725,0.3911,0.0,NO,NO
2,GM,83.45,Consumer Cyclical,Auto Manufacturers,72.0,20.0,71.0,52.0,2.7436,2.5821,0.0,NO,NO
3,RACE,413.32,Consumer Cyclical,Auto Manufacturers,70.0,19.0,89.0,82.0,7.72,5.4592,0.0,NO,NO
4,TM,192.06,Consumer Cyclical,Auto Manufacturers,37.0,36.0,86.0,9.0,3.3969,2.1755,0.0,NO,NO
5,RIVN,15.14,Consumer Cyclical,Auto Manufacturers,15.0,6.0,52.0,14.0,0.6324,0.5985,0.0,NO,NO
1,VGNT,47.09,Consumer Cyclical,Auto Parts,91.0,25.0,81.0,,1.8814,1.78,0.0,NO,NO
2,GTX,25.95,Consumer Cyclical,Auto Parts,88.0,37.0,3.0,91.0,0.8511,0.7964,0.0,NO,NO
3,MLR,54.37,Consumer Cyclical,Auto Parts,86.0,21.0,81.0,78.0,1.75,1.7364,0.0,NO,NO
4,DAN,30.21,Consumer Cyclical,Auto Parts,77.0,22.0,69.0,9.0,0.9761,0.8546,0.0,NO,NO
5,GPC,129.59,Consumer Cyclical,Auto Parts,74.0,32.0,90.0,84.0,3.4072,3.1086,1.95,NO,NO
1,MUFG,23.09,Financial Services,Banks - Diversified,90.0,87.0,85.0,89.0,0.5029,0.3164,0.0,NO,NO
