Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
11,SNDK,1478.69,9657059.0,Technology,Computer Hardware,99.0,98.0,98.0,99.0,126.8274,116.5489,16844013.0,13019350.0,1600.0,36.21,,218977370112.0,No,1005.07,456.54,1042.54,609.31
27,SNXX,170.25,4623395.0,ETF,ETF,99.0,99.0,99.0,,28.6351,26.238,9742419.0,7599610.0,204.56,25.11,,,No,92.07,,98.67,
31,LITE,946.9,3076887.0,Technology,Communication Equipment,99.0,90.0,94.0,99.0,88.905,80.7864,6574029.0,6147110.0,1085.68,71.04,,73668820992.0,No,846.87,442.62,868.03,560.33
38,ABVX,121.99,1178975.0,Healthcare,Biotechnology,99.0,85.0,15.0,53.0,5.7022,5.3551,973696.0,976350.0,148.83,5.62,,9721935872.0,No,117.73,108.09,117.89,118.53
46,SNDU,102.03,530746.0,ETF,ETF,99.0,99.0,,,17.0157,15.6129,660298.0,932280.0,123.27,17.16,,,No,55.53,,59.4,
67,DOCN,158.46,1512221.0,Technology,Software - Infrastructure,99.0,98.0,99.0,99.0,14.1054,12.3876,4519322.0,3303540.0,165.99,25.56,,16537548800.0,No,106.58,61.03,109.06,71.52
75,KOD,36.23,500640.0,Healthcare,Biotechnology,99.0,3.0,93.0,96.0,2.9686,2.8657,1075590.0,677750.0,47.84,3.26,,2267216896.0,No,37.93,24.15,39.1,28.96
99,LITX,46.19,3410699.0,ETF,ETF,99.0,91.0,94.0,,8.9764,8.2004,5647991.0,6936930.0,62.79,9.23,,,No,41.06,,42.56,
112,VSAT,74.56,2300444.0,Technology,Communication Equipment,98.0,94.0,96.0,97.0,4.4657,3.8557,1664727.0,2108740.0,77.76,8.61,,10127589376.0,No,59.37,42.29,60.69,46.94
119,NBIS,214.77,10606677.0,Communication Services,Internet Content & Information,98.0,97.0,98.0,97.0,20.6547,17.9969,17432813.0,20176330.0,233.73,34.72,,54529716224.0,No,151.08,109.62,154.28,115.37
128,APLD,45.87,22215231.0,Technology,Information Technology Services,98.0,96.0,95.0,97.0,4.4948,4.0593,21607118.0,22464200.0,48.57,6.67,,13108248576.0,No,32.74,28.57,33.02,31.07
139,NEBX,117.6,368529.0,ETF,ETF,98.0,98.0,99.0,98.0,21.4112,18.7994,884004.0,781010.0,143.08,19.85,,,No,67.71,,70.2,48.21
174,NBIL,37.95,690649.0,ETF,ETF,98.0,98.0,99.0,98.0,6.8934,6.0421,1823588.0,1493760.0,46.11,6.37,,,No,21.8,,22.6,15.44
214,APLX,33.55,1224551.0,ETF,ETF,97.0,97.0,97.0,96.0,6.3001,5.7072,1747052.0,1287180.0,60.0,7.81,,,No,20.3,,20.43,23.84
230,LQDA,60.98,974166.0,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,98.0,97.0,97.0,3.7993,3.755,1392834.0,2374300.0,62.3,11.85,,5422835200.0,No,42.08,33.44,42.28,36.88
317,LGN,81.58,675856.0,Industrials,Engineering & Construction,96.0,47.0,96.0,96.0,6.6472,6.1866,1679993.0,1734570.0,107.24,26.96,,13399302144.0,No,72.43,,73.55,55.45
333,SEDG,61.95,4079258.0,Technology,Solar,96.0,96.0,96.0,96.0,6.0243,5.6764,4041314.0,5553930.0,65.16,13.73,,3767687424.0,No,45.94,37.18,48.6,38.87
354,TSMU,68.83,34366.0,ETF,ETF,96.0,87.0,78.0,95.0,5.0762,4.3521,103322.0,96970.0,75.46,19.84,,,No,60.66,48.09,61.36,52.77
358,FLKR,58.78,627918.0,ETF,ETF,96.0,94.0,91.0,96.0,2.976,2.0631,648198.0,586360.0,62.92,20.45,,,No,49.04,36.64,49.53,40.63
