Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
1,SNDK,1383.29,13129095.0,Technology,Computer Hardware,99.0,98.0,99.0,99.0,17477563.0,16289310.0,1600.0,35.79,204851085312.0,No,,954.66,435.11,1033.0,606.13
19,AGL,88.2,164427.0,Healthcare,Medical Care Facilities,99.0,99.0,99.0,99.0,399201.0,851640.0,90.48,7.48,1471509888.0,No,,28.83,23.24,36.03,23.58
24,SNXX,150.32,5991935.0,ETF,ETF,99.0,99.0,99.0,,10049518.0,10277900.0,204.56,25.11,,No,,84.22,,96.68,
41,SNDU,90.0,778345.0,ETF,ETF,99.0,99.0,,,652404.0,1227510.0,123.27,17.16,,No,,,,58.2,
90,VCX,230.81,184023.0,,,99.0,99.0,,,479202.0,578970.0,575.0,31.21,,No,,,,140.0,
101,WOLF,58.83,5803090.0,Technology,Semiconductors,98.0,99.0,99.0,99.0,4475170.0,13634570.0,73.74,8.05,2843788288.0,No,,28.83,,33.36,23.54
148,PBRG,43.98,2798.0,ETF,ETF,98.0,35.0,97.0,,10632.0,6140.0,52.49,14.83,,No,,44.88,,45.11,
156,NBR,108.29,254795.0,Energy,Oil & Gas Drilling,98.0,98.0,95.0,98.0,357193.0,297250.0,112.9,23.27,1602248960.0,No,,88.98,61.03,91.11,71.19
159,RVI,50.76,860965.0,Financial Services,Asset Management,98.0,99.0,,,857645.0,1679330.0,77.39,21.0,1383068672.0,No,,31.21,,33.7,
163,MANE,100.07,255958.0,Healthcare,Biotechnology,98.0,98.0,98.0,,533685.0,562060.0,117.71,32.0,4180793344.0,No,,77.76,,80.85,
184,UCO,51.96,3972065.0,ETF,ETF,98.0,97.0,99.0,98.0,10536726.0,4844120.0,52.94,18.12,,No,,42.83,27.25,43.85,29.86
218,STHH,121.94,2841.0,ETF,ETF,97.0,98.0,98.0,98.0,1422.0,2440.0,128.02,43.3,,No,,87.39,62.85,93.05,68.06
221,ATEX,58.78,277496.0,Communication Services,Telecom Services,97.0,98.0,98.0,98.0,328104.0,339020.0,59.8,17.58,1101119104.0,No,,43.92,28.72,46.26,32.72
