Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,91,98,94,91,SI
2,Healthcare,67,80,64,57,"ERAS,AGL,ABVX,DMRA,ALMS,ANRO,SYRE,DFTX,ORKA,PRAX,LQDA,KOD,SLGL,RVMD,TNGX,CUE,MBX,RLAY,BIOA,MANE,RLYB,CELC,BDSX,DNTH,NBTX,TXG,ANAB,INBX,NVCT,GLUE,PVLA,STRO,FTH,APGE,EWTX,TWST,QURE,MCTA,TVTX,URGN,ELVN,CRVS,CRNX,DSGN,ARWR,GH,BTSG,HNGE,AXGN,NGNE,BTSGU,MRNA,FTRE,PACS,COGT,ROIV,MPLT,CGEM,AVNS,FBRX,IMVT,SEPN,RCUS,AVTX,GHRS,ELMD,TRVI,CORT,OSCR,BCAX,TENX,CTNM,FBIOP,LGND,PTGX,ETON,KYMR,MNPR,NRIX,JBIO,ZBIO,CNC,KRYS,RAPP,TYRA,VCYT,DYN,TGTX,AXSM,CGON,TCMD,ASTH,MIRM,ALKS,EMPG,DVA,LBRX,HUM,KNSA,ESTA,AMN,INDV,CDNA,XENE,ILMN,TECX,NKTR,JAZZ,DNLI,BWAY,RGNX,NHC,IMNM,IART,CYTK,PLSE,AMLX,RIGL,GPCR,TRAX,AVBP,AMRX,PGNY,ADPT,PHVS,OMDA,BKD,SNDX,BHVN,NUTX,PARK,SRZN,CON,LNTH,BRKR,BBIO,CAPR,BRKRP,GKOS,APLM,CLPT,SION,MD,NTRA,BEAM,XOMA,CLDX,BLTE,PDEX,LIVN,PNTG,DRUG,AKTS,VTRS,XNCR,RPRX,GRDN,ACHC,ANIK,PTCT,HCSG,WST,CPRX,SNDA,ARQT,SRRK,ZYME,TEVA,RYTM,AUPH,STOK,CVS,NRC,NBIX,GRAL,LLY,VCEL,INCY,NUVL,TBRG,UNH,MLTX,STAA,EXEL,ASND,NVCR,PCVX,MOH,OMCL,CRL,RARE,NPCE,IDYA,KMTS,MAZE,BLLN,JNJ,MDGL,GENB,VKTX,WRBY,HRMY,AGIO,ARGX,BLFS,GLSI,VERA,CAH,ELV,TECH,MRK,CTEV,SHC,UTHR,VTVT,BIIB,NAMS,HALO,PRPO,ICUI,IRMD,IRON,HIMS,PRVA,ALMR,HSTM,ICLR,ELAN,NTLA,SLP,HAE,RVTY,CBIO,LEGN,ABBV,BBNX,ACAD,CHE,UFPT,MLYS,ALHC,CBLL,HSIC,PTHS,EW,VRDN,TBPH,KIDS,AMGN,GMRS,DGX,MEDP,VRTX,UTMD,IQV,NVST,KARD,WAT,HROW,BMY,NVS,SIBN,TFX,ASMB,COAG,INVA,PEN,LMAT,GSK,FLGT,GILD,SUPN,BAX,ANIP,STVN,SDGR,ATRC,PCRX,ALGN,SMTI,ADUS,BLCO,RGEN,HQY,THC,SGRY,GMAB,SOLV,RDNT,A,DXCM,BMRN,DBVT,TEM,BIO,LH,SPTX,VOR,TARS,TMO,ODTX,GMED,COLL,INMD,TAK,IMCR,CI,AZN,ONC,PHG,LFMDP,NVO,IONS,LKFT,CRSP,JANX,BDX,EHC,MCK,REGN,AVLN,ITGR,XOMAO,MDLN,CSTL,MTD,AMRN,FMS,PBLS,COO,XOMAP,SRPT,COR,DHR,ZBH,ENSG,QGEN,BNTX,MMED,ATR,SNN,HTFL,IDXX,USPH,PFE,STE,SNY,ENOV,SYK,AZTA,HCA,MDT,MMSI,LYEL,VEEV,ALNY,CNMD,GEHC,ALC,RMD,TNDM,ISRG,IRTC,ZLAB,INSM,AMPH,SGP,WW,KLRA,WGS,ABT,WAY,QDEL,UHS,PBH,PAHC,SMMT,CAI,OPCH,INSP,AORT,DOCS,PODD,PRCT,AAPG,TMDX,ZTS,BSX,SPRB,QNCX"
3,Energy,62,29,30,74,"NESR,NGL,EFXT,DK,PBF,KGS,WTTR,PARR,INSW,FTK,VLO,DINO,NBR,WBI,PBT,OII,FRO,FTI,TEN,FET,MPC,SEI,TRGP,EC,YPF,CVE,AROC,LBRT,WKC,LB,STNG,PSX,LPG,SUNC,VIST,BWLP,EE,NGS,DHT,SOBO,HP,DTM,TS,TRMD,OVV,PR,TRP,APA,SUN,TNK,IMO,SU,PAGP,VAL,SMC,PAA,PBA,DKL,INVX,HAL,PBR,EQNR,KNTK,WMB,PDS,TBN,E,AM,NVGS,WHD,NOV,CNQ,GLNG,FANG,OKE,SM,WES,TDW,CQP,ET,SLB,BKR,TTE,WDS,ENB,FLNG,EPD,KMI,EOG,LNG,FLOC,REPX,MPLX,NE,TPL,APC,CAPL,CHRD,RNGR,SDRL,DVN,HESM,XOM,OXY,WFRD,NC,HMH,VTOL,MUR,USAC,CVX,BKV,GLP,BP,TGS,VNOM,SHEL,SBR,MGY,COP,MTDR,IMPPP,DMLP,CVI,CCJ,NCSM,WHK,EROK,CRC,PNRG,AR,ARLP,CNR,RRC,BTU,CNX,NRP,NFG,EQT,EXE,GPOR,LEU,VTS,NOG"
4,Technology,58,49,66,56,"SNDK,AXTI,MGRT,MXL,BAND,MU,WDC,BLZE,PENG,LITE,ICHR,VICR,CHRN,SIMO,STX,ALAB,DELL,UMC,VPG,INTC,UCTT,DOCN,ASX,AMD,IMOS,SHAZ,ALOT,AMBQ,BRUN,MOVE,AAOI,MRVL,ACMR,HQ,AEHR,CIEN,AIP,OCC,RTB,SILC,VSH,TSEM,VIAV,ARM,WYFI,CRDO,FLEX,MKSI,TTMI,KLIC,STM,LASR,WATT,PTRN,QUIK,AMAT,COHU,VSAT,MEI,COHR,LRCX,GLW,SITM,HPE,CEVA,DDOG,OUST,FORM,SMTC,TER,FROG,ASYS,AMKR,CIFR,ONTO,MRAM,DAVE,FTNT,EXTR,VECO,ATEN,PDFS,MTSI,BHE,TENB,PANW,KLAC,ALNT,LSCC,TWLO,HIMX,OKTA,SYNA,ALGM,WOLF,CRWD,SKYT,MITK,UMAC,FSLY,BELFB,DGII,GFS,NTAP,ON,APLD,NAVN,SANM,ASML,PLXS,MPTI,BELFA,KN,SEDG,RELL,CSCO,NTCT,ACLS,OOMA,ARW,TXN,CCSI,FEIM,DIOD,YOU,RAL,AVT,CGNX,AOSL,ADEA,SNX,RDVT,POWI,ROG,KEYS,RELY,QLYS,CLS,FFIV,FLYW,CORZ,ESE,TSM,VRNS,LFUS,SNOW,ANET,AKAM,JBL,TDC,ENTG,ADI,Q,CVLT,SLAB,RBRK,INOD,MPWR,NET,SCSC,RAMP,AEVA,CTS,FIVN,MDB,NXPI,NVEC,APH,NSIT,PLTS,ST,GRRR,SWMR,RNG,NYAX,AAPL,QCOM,NXT,ITRN,ENPH,LYTS,NVMI,RMBS,NOVT,DBD,TSAT,ZETA,ACIW,INGM,ALMU,NOVTU,AGYS,CNXN,MCHP,CDNS,AVGO,S,P,QNT,AMBA,DJCO,RDWR,IPGP,BKTI,MCHPP,NATL,KARO,DBX,OSPN,CRUS,XYZ,CAMT,CPAY,GRND,NVDA,NN,PLUS,KSPI,FN,GEN,FTV,GTLB,IONQ,QBTS,FSLR,HPQ,ZM,MLAB,IOT,SAIC,IBM,PI,TDY,IBTA,NTNX,CLFD,GCT,U,DAKT,ZBRA,DT,ALRM,BOX,CLBT,GRMN,IBEX,LOGI,PRGS,PGY,VRSN,UPBD,CLMB,QRVO,PAY,ADP,WEX,ASTS,CDW,PAYX,ARQQ,MSI,TTAN,EEFT,AVNW,MANH,ESTC,BRZE,LYFT,PLAB,SNPS,SMCIP,TEL,ALIT,RGTI,EVTC,LIF,SHOP,CHYM,APPN,FICO,SWKS,JKHY,PAYC,STRF,BDC,BILL,APPF,TOST,TEAM,CACI,DSGX,SMCI,CRWV,UBER,PCTY,ACFN,IDCC,INTA,MSFT,DCBO,STRC,UI,GDS,DUOL,SONY,NTGR,QTWO,BSP,DFIN,ALKT,SSNC,OTEX,FOUR,PLTR,DOCU,PSN,ROP,WDAY,MQ,PAYP,FORTY,NOW,BMI,OSIS,GDDY,IIIV,ITRI,GIB,CHKP,OCTV,NICE,ORCL,GWRE,SPSC,MNDY,NCNO,STRD,PAR,VNT,WK,TYL,ADSK,ZS,ADBE,BR,VIA,CALX,BSY,EXLS,PTC,CRM,SRAD,KVYO,SAP,G,TRMB,FIS,STRK,PCOR,DOX,OLED,FIG,BL,PEGA,HUBS,CBRS,IT,JKS,CTSH,LDOS,BLKB,ACN,EPAM,CNXC,GLOB,BLSH,INTU,MSTR,WIX,EFOR,FXHO"
5,Financial Services,54,65,56,53,"MAAS,HUT,WULF,SEZL,KF,MRX,ENVA,ECPG,VIRT,EZPW,SNEX,TWN,ATLC,AAMI,CCXIU,VBNK,PRCH,CCXI,CARE,UFCS,AFJKU,CMTV,PS,MSBI,PGC,HFBL,IX,OPY,STT,BOTJ,FNRN,WT,STK,AMG,IBKR,BFH,BBAR,RIOT,FSEA,DGICB,SMFG,UVE,BEN,RVI,GCBC,FSBC,CHMG,BMO,TD,BAP,VCTR,PLGO,AFRM,BNY,CIB,AMAL,RY,TRST,MS,KINS,FCFS,HAPN,IFS,MYFW,VOYA,PKBK,HQL,ALRS,CM,BMA,RBB,MCY,EMF,MUFG,BSTZ,RBKB,NTRS,GL,UVSP,OBK,CACC,BNS,CZWI,HG,CLBK,CAF,FRAF,AROW,CBNA,C,TFIN,CBK,BPOP,CNO,CBC,MBBC,PCB,AIZ,GOLD,IREN,WRLD,RRBI,FISI,UBS,WSFS,HSBC,BWFG,SLF,FRST,PFIS,PBFS,FFBC,ATLO,PFG,SKWD,GS,IVZ,TFSL,FCAP,LIFE,MBIN,PDLB,SHBI,OBT,DCOM,THFF,ACNB,CCNE,BLX,BBVA,HOOD,BSRR,TMP,LMND,SHG,SFST,PLBC,SMBC,KB,NXG,AVBH,FVCB,BCS,MCBS,FUSB,ING,FNLC,SBFG,BY,FOA,NTB,RBCAA,HQH,BOW,CATY,CEE,BST,NBN,THG,UMBF,LSBK,CFG,BVFL,SRCE,CPF,FDSB,MCB,CTBI,CWBC,NP,FBP,GSBC,SMBK,AVBC,AMTB,MFC,ASIC,FITB,FULT,ALL,SRBK,HMN,CNOB,PEBK,EBMT,CIVB,WSBF,STBA,HBT,CFBK,FBNC,BWB,PNC,FUNC,HAFC,ECBK,AGM,FXNC,FGNXP,CAC,ZION,USB,HWBK,TRV,WAFD,NODK,TSBK,LOB,SRV,TROW,PEBO,ABCB,FMBH,MKTW,SPNT,DBRG,RM,EBC,QCRH,NIC,CCD,WTBA,FBLA,TRIN,EWBC,WBS,MET,SLDE,HBNC,OSBC,EIG,LARK,NFJ,WHG,BCH,FIBK,FMAO,CPBI,OFG,AIO,EGBN,BCV,HWC,BUSE,VABK,BSVN,COLB,BANC,PMTS,WTFC,FCF,BAC,BCAL,FHB,FCBC,FBIZ,WABC,CZFS,KEY,GAIN,NBTB,HBCP,MTB,SIGI,AUB,CNS,MRBK,PRI,BOKF,CII,RF,ACT,ACV,BHF,BHB,SFNC,HASI,UBSI,INBK,ISTR,BFST,IGIC,PFS,ASB,NWG,GGAL,ADX,HTB,ITIC,EFSC,MBWM,ONB,BCML,HFWA,MNSB,TCBK,CBFV,CB,BOH,CFR,FCCO,CFFI,PFBC,RGA,FAF,BPRN,CCBG,WASH,SEIC,BKU,RNR,GABC,MCHB,FDBC,INDB,UNM,COSO,NCZ,BME,FGBIP,WSBC,NBXG,AXS,HYNE,CVBF,NCV,FHI,NWFL,ORRF,FRBT,COFS,RNST,CBNK,HCI,BSAC,L,CLST,NRIM,BFC,TRMK,NECB,LCNB,BHRB,GLXY,PRU,MVBF,CSQ,OVLY,AFBI,PBHC,SBSI,AFL,NBHC,VALU,TCBI,HTH,CBU,FNB,FNWD,LGI,CINF,BMRC,JMSB,EVT,RVT,PRK,PRAA,FHN,CNA,QQQX,ETO,EG,JPM,EFSI,GGZ,PLMR,MPB,GLRE,RMBI,ESQ,AX,UCB,GBCI,AUBN,NKSH,SII,NIE,BCAT,USCB,EQBK,TY,ETG,CUBI,ETV,IBOC,MIAX,ACGL,SFBS,BBT,CZNC,CASH,WTM,ALLY,SPXX,JXN,GAM,RDN,GDV,UTF,RJF,HRTG,CBAN,TFC,PEO,MXF,EMO,BTO,CBSH,BMEZ,FRME,OVBC,BUI,AFG,DB,FRHC,NPB,FFA,UNTY,ETOR,CHCO,SYBT,IBCP,MSCI,BGR,TBLD,PROV,TWFG,MBINL,JCE,SCHW,FFIN,FCNCA,UBCP,HTD,ESNT,THQ,PGR,FRBA,NMIH,TCBS,NEWTP,MEGI,CSWC,AXP,ATLCP,FSBW,SPFI,RLTY,EVR,ETB,HBAN,SATA,NBBK,ASA,CRBG,GSIW,ASGI,V,RMI,CNOBP,EOT,TBBK,HIG,BANR,SBCF,OCFC,EFSCP,LNC,CET,ECCC,CBOE,TCBX,UTG,PNFP,FG,GLU,MSBIP,AON,MNSBP,SAFT,RMMZ,PB,FBK,AMP,EQH,OXLCO,MBNKO,WRB,OZK,MTG,WFC,DGICA,BWBBP,STC,MMD,ECAT,TOWN,MBINM,OCCIN,SSB,FDUS,NNI,BTT,MCO,TIPT,HNVR,BUSEP,BPYPM,IOR,GUG,CCID,LDP,OXLCN,MBINN,SCD,SOR,EIIA,MGYR,WSBCO,CCNEP,STEW,WF,SPME,ORI,HPI,SLMBP,HOMB,OCCIM,BWIN,WAFDP,JEF,WTFCN,PSF,SPMA,VLYPN,ETX,ONBPP,FRMEP,FSUN,PDPA,UMBFO,OMF,HPF,FFC,VLYPO,EICA,BMN,VLYPP,HBANL,AIG,TREE,DFP,HIPO,ONBPO,MC,ROOT,PTA,NPFD,BBN,LCLN,BN,FLC,NBB,WAL,IGI,AJG,AII,TRU,LKFN,RNP,MKL,SF,HIFS,UNB,JCAP,FPF,IBN,SDHY,PDX,VBF,VRTS,AGO,BNT,EOS,TYG,EOI,SFBC,BANX,BANF,TCBIO,PJT,PFX,NDAQ,SYF,RLI,SLM,MA,APO,OZKAP,PUK,NTRSO,SPGI,BLK,VEL,FULTP,MSDL,FCNCP,FNF,MRSH,CRVL,COF,ISBA,AB,JLS,ONIT,FCNCO,HBANZ,SIGIP,ACGLN,IIF,ARCC,GLAD,HTGC,LPLA,HBANM,PSUS,WTW,GBFH,HBANP,ACGLO,KLAR,DXYZ,SOFI,AMSF,MCI,PDI,BETR,ARES,XZO,BAM,GBLI,BXSL,BHFAO,PIPR,ZIONP,APAM,XP,FDS,MPV,RYAN,MAIN,GSHD,TPG,BX,LAZ,WD,ERIE,AIFU,BOT,FIGR,HERZ,CME,KKR,HDB,BRO,UPST,KNSL,XFLT,TW,TSLX,CCB,ICE,HLI,CG,PYPL,MORN,PWP,PFSI,TRUP,STEP,SAR,KMPR,HLNE,COIN,MKTX,FUTU,CRCL"
6,Industrials,53,50,48,53,"BE,FCEL,SIF,CDNL,BUUU,NCEW,STRL,AGX,RFIL,XMTR,MEC,POWL,TH,FIX,KELYB,MYRG,CVLG,LGN,CRS,RHLD,VRT,ATRO,CYRX,CECO,PL,ARCB,ATI,RXO,PKE,CAT,PKOH,KFRC,PBI,TWIN,NVRI,PHOE,GHM,DCO,GEO,EDRY,MTZ,MATX,IESC,ALGT,CXW,GRC,MRCY,JBHT,FSTR,FPS,TKR,GEV,NVT,FBYD,ECO,ENS,ESOA,PLPC,CMPR,ECG,HLIO,BLBD,PRG,AIR,WERN,KNX,PRLB,PWR,ACA,WLFC,DAL,FA,TFII,ADUR,EFTY,CMI,AEIS,SNDR,ARMK,NMM,AAL,SWBI,MG,GNRC,LSTR,NPO,HXL,SXI,RKLB,DXPE,CMDB,R,VMI,CHRW,MRTN,HURC,UAL,UNF,DY,WCC,MSM,URI,LUV,CSX,FDX,XPO,WWD,ESP,RBC,GWW,ODFL,GNK,HWM,LXFR,AAON,DAC,CW,CPA,AIRT,ROK,EXPD,SBLK,UHAL,ASC,VVX,KEX,HUBG,RRX,WTS,ZIM,AZZ,FTAI,VSEC,GE,EML,NSP,AIT,SAIA,WSC,CNI,ESLT,GFF,CASS,TRNS,IEX,UNP,MAS,GSL,LTM,HRI,SWK,JCI,MDA,ESEA,CLH,EME,CR,KMT,SPIR,TRN,NDSN,CP,MAN,BRC,TPC,OC,MIDD,AME,SNA,MAIR,AER,NSC,CARR,DE,TEX,WAB,UPS,HEI,CIX,RHI,HONA,ASTE,PH,RCMT,TT,GVA,PCAR,ALK,ETN,GD,ZTO,TTC,TNET,CCEC,ARXS,DLX,SPXC,AADX,MLI,TNC,TREX,RTX,AXON,ULS,EBF,GHC,ISSC,SEB,HAYW,TAYD,DOV,RBA,GTES,LUNR,GTLS,RJET,CAAP,AYI,APG,KFY,FLR,VSECU,BBSI,WMS,RYZ,TATT,FLS,FBIN,DCI,MATW,GENC,PAM,FELE,OTTR,ATKR,ZWS,TRC,HUBB,ITT,LOAR,RTO,ABM,LII,GIC,WM,AIRTP,DPC,SUNB,CDLR,FSS,VOYG,EMBJ,TXT,FDXF,AMRC,FER,NPK,FAST,MGRC,LECO,POWWP,ITW,KRNT,APOG,RYAAY,BA,ENR,GPN,OSK,AMSC,MMM,SKYW,TISI,FTAIM,DRS,CWST,INIO,JBTM,SARO,GATX,AGCO,WCN,TITN,RSG,CXT,TDG,BWXT,KE,HON,EMR,RGR,OMAB,MSA,CSW,CMC,PAC,BCO,NX,ATS,LMT,FERG,DSGR,ICFI,WSO,CSL,SPCX,VLTO,GBX,WOR,GXO,MWA,CTAS,TTEK,KAI,LHX,REZI,NSSC,J,BKSY,BBUC,PPIH,IR,AERO,CBZ,LNN,FCN,GFL,CAE,HY,OFLX,EXPO,EPAC,CAR,ELMT,LPX,XYL,ALLE,ONT,VRSK,NOC,HII,WLDN,ALG,AOS,ASR,AWI,ROCK,BWMN,GGG,POOL,KBR,CRAI,CDRE,ROAD,LMB,CNM,OTIS,SITE,BXC,IIIN,RELX,AMTM,EFX,ESAB,MIR,MMS,SYM,TRI,DLB,PNR,CPRT,BLDR,HURN,FLY,PRIM,BETA,STN,KRMN,BAH,KTOS,ACM,YSS,NNE,AVEX,AVAV,EQPT,EVI,HAWK,XE,SMX,PSIX"
7,Real Estate,52,52,54,54,"HPP,CBL,OUT,PEB,FVR,PSTL,XHR,ARL,APLE,WSR,MAC,RHP,NSA,HST,AAT,NHPBP,WELL,LAMR,NHPAP,PINE,RMR,CURB,DOC,AHR,VTR,JAN,CDP,IIPR,FOR,IVT,HIW,HR,SPG,CTO,EQIX,IRM,MDV,BNL,FRT,COLD,KRG,CUZ,NTST,SEG,PECO,FR,VNO,GTY,LINE,LXP,EGP,SKT,OHI,NREF,ALX,KIM,UE,CTRE,PLD,TRNO,BRX,KRC,PSA,STRS,ESS,OLP,DEA,VTMX,SAFE,EPR,CHCT,MMI,NNN,ADAMN,EQR,BFS,CHCI,REG,CCS,UHT,BXP,UDR,ADAML,AKR,JLL,CPT,AXR,NLY,LTC,XRN,ADC,JOE,BXDC,WHLRD,INVH,WPC,O,LANDP,STAG,AVB,TCI,AMH,LANDO,SBRA,IRT,DLR,BPYPP,SLG,ELS,AGNCP,CUBE,AGNCL,EPRT,EXR,FRPH,IRS,AGNCM,AGNCO,AGNCN,MAYS,ADAMM,MAA,HHH,ARR,FCPT,ADAMZ,BPYPO,AGNCZ,NMRK,GOODN,REGCP,UMH,REGCO,SMA,MLP,NHI,MRP,NXRT,CBRE,SUI,GLPI,SDHC,RYN,REXR,CSR,ACR,WY,BEKE,FSV,AMT,NEN,STWD,VICI,BXMT,SBAC,ARE,CCI,OZ,CIGI,CSGP,OPI"
8,Communication Services,49,53,49,46,"QMMM,BBGI,ATEX,STFS,NBIS,STRZ,SPHR,IRDM,TIGO,GSAT,GRPN,SIFY,LILAP,MSGS,MSGE,SCHL,ADV,ROKU,ZD,GOOGL,GOOG,KYIV,MGNI,WLY,ECHO,WLYB,SIRI,WBD,MANU,SKM,MCS,EVER,PPLI,BATRA,BATRK,PSO,JOYY,MTCH,QNST,AMX,LYV,RDDT,APP,OPRA,LLYVK,LLYVA,IDT,ATNI,IMAX,CRTO,NYT,EA,VEON,TTWO,CNK,OMC,GRVY,NWSA,NTES,NWS,FWONA,FWONK,BIDU,WMG,TKO,CHT,RCI,VZ,TIMB,META,PINS,ATHM,NXST,LBRDP,KT,BCE,DIS,VSNT,YELP,LFTO,FOXA,FOX,PHI,TMUS,SPOT,TDS,CMCSA,WPP,T,RBLX,NFLX,BILI,AD,GLIBK,GLIBA,TTD,ZG,Z,GIBO,LBRDA,LBRDK,CHTR,CABO"
9,Basic Materials,47,37,28,42,"HYMC,NWPX,MTRN,INHD,FRD,RMIX,CLMT,ELVR,ODC,PRM,GPRE,KALU,AYA,CSTM,KOP,NUE,MT,AUGO,STLD,ESI,REX,SSRM,CMP,SQM,CGAU,CENX,HL,BHP,SXT,HBM,TECK,SKE,SCCO,RS,AG,NGVT,USAR,ASH,IAG,CMT,TX,FCX,RIO,DD,CBT,WDFC,JHX,CF,ACNT,CTVA,KWR,IFF,BVN,LIN,TTAM,SSD,MTX,IDR,HCC,ALB,MTUS,AXTA,SCL,AAUC,UAN,NEU,SOLS,B,CC,AU,PPG,SA,MEOH,APD,ERO,MUX,AVNT,SMG,NEM,SIM,OGC,AA,MP,WLKP,EGO,IOSP,CDE,BCPC,KNF,ECL,PAAS,VMC,NTR,IPI,SHW,WFG,USAU,EXP,WS,KGC,FNV,DOW,WPM,AMRZ,LYB,SMID,RPM,EMN,MLM,CRH,ELE,TFPM,ASIX,BCC,RGLD,FUL,AMR,PKX,PPTA,HMY,GFI,AEM,DRD,CE,UFPI,HWKN,SLVM,OR,CLW,TGLS,MSB,WLK,AGI,USLM,OLN,CTGO,CMCL,MOS,IPX"
10,Consumer durables,47,24,46,37,HOVNP
