IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,QMMM,119.4,Communication Services,Advertising Agencies,98.0,35.0,39.0,37.0,0.0,0.0,0.0,NO,NO
2,MGNI,24.58,Communication Services,Advertising Agencies,95.0,93.0,98.0,97.0,1.1021,0.8964,0.0,NO,NO
3,ZD,55.91,Communication Services,Advertising Agencies,94.0,81.0,94.0,96.0,2.4186,2.1857,0.24,NO,NO
4,QNST,20.74,Communication Services,Advertising Agencies,93.0,95.0,96.0,95.0,1.1264,0.7943,0.0,NO,NO
5,WPP,26.99,Communication Services,Advertising Agencies,91.0,97.0,96.0,92.0,1.4407,0.8879,0.19,NO,NO
1,DFNS,34.54,Industrials,Aerospace & Defense,98.0,98.0,98.0,98.0,20.9024,14.6469,0.0,NO,NO
2,ATRO,92.61,Industrials,Aerospace & Defense,97.0,96.0,95.0,93.0,5.0771,4.5543,0.0,NO,NO
3,SIF,19.35,Industrials,Aerospace & Defense,97.0,2.0,44.0,97.0,2.6457,2.2843,0.0,NO,NO
4,DCO,199.03,Industrials,Aerospace & Defense,96.0,94.0,95.0,94.0,8.8229,8.1615,0.0,NO,NO
5,PL,24.75,Industrials,Aerospace & Defense,94.0,23.0,0.0,74.0,1.4511,1.3309,0.0,NO,NO
1,CF,117.05,Basic Materials,Agricultural Inputs,78.0,10.0,12.0,84.0,5.0646,4.3232,0.0,NO,NO
2,UAN,118.83,Basic Materials,Agricultural Inputs,51.0,50.0,9.0,56.0,4.0459,3.3952,0.0,NO,NO
3,IPI,35.98,Basic Materials,Agricultural Inputs,40.0,59.0,4.0,40.0,1.6493,1.6386,0.0,NO,NO
4,NTR,67.47,Basic Materials,Agricultural Inputs,37.0,17.0,13.0,12.0,1.9916,1.8462,0.09,NO,NO
5,SMG,61.72,Basic Materials,Agricultural Inputs,35.0,5.0,57.0,11.0,2.9678,2.7592,0.0,NO,NO
1,DAL,91.31,Industrials,Airlines,90.0,78.0,91.0,87.0,2.5821,2.1768,0.0,NO,NO
2,UAL,126.35,Industrials,Airlines,84.0,70.0,92.0,64.0,4.4977,3.8345,0.0,NO,NO
3,LUV,44.87,Industrials,Airlines,77.0,5.0,81.0,8.0,1.635,1.4407,0.0,NO,NO
4,ALGT,86.45,Industrials,Airlines,70.0,1.0,51.0,3.0,5.7964,5.1593,1.97,NO,NO
