IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,MF,21.69,Communication Services,Advertising Agencies,98.0,98.0,98.0,0.0,3.1033,2.9452,2.57,NO,NO
2,QNST,19.44,Communication Services,Advertising Agencies,94.0,94.0,97.0,95.0,0.7254,0.7168,0.0,NO,NO
3,MGNI,23.49,Communication Services,Advertising Agencies,94.0,93.0,97.0,96.0,0.77,0.7529,0.0,NO,NO
4,ZD,55.15,Communication Services,Advertising Agencies,94.0,71.0,90.0,97.0,1.255,1.2018,0.0,NO,NO
5,WPP,25.58,Communication Services,Advertising Agencies,89.0,94.0,95.0,94.0,0.7118,0.5854,0.0,NO,NO
1,SIF,23.44,Industrials,Aerospace & Defense,97.0,5.0,88.0,94.0,1.2293,1.205,1.62,NO,NO
2,DCO,171.42,Industrials,Aerospace & Defense,94.0,12.0,87.0,89.0,7.3093,7.045,0.0,NO,NO
3,ATRO,73.67,Industrials,Aerospace & Defense,94.0,78.0,77.0,74.0,5.4414,4.9107,0.0,NO,NO
4,AIR,129.29,Industrials,Aerospace & Defense,91.0,6.0,88.0,59.0,5.74,5.1893,0.0,NO,NO
5,NPK,151.71,Industrials,Aerospace & Defense,90.0,94.0,89.0,72.0,5.05,5.0079,0.0,NO,NO
1,CF,130.03,Basic Materials,Agricultural Inputs,91.0,71.0,86.0,86.0,4.9714,4.5089,1.65,NO,NO
2,UAN,126.4,Basic Materials,Agricultural Inputs,83.0,19.0,70.0,82.0,2.95,2.8818,0.0,NO,NO
3,IPI,38.67,Basic Materials,Agricultural Inputs,80.0,89.0,51.0,57.0,1.4496,1.386,1.44,NO,NO
4,NTR,75.53,Basic Materials,Agricultural Inputs,77.0,85.0,77.0,34.0,1.9187,1.6109,1.67,NO,NO
5,CTVA,84.63,Basic Materials,Agricultural Inputs,72.0,82.0,78.0,51.0,2.0043,1.8989,0.17,NO,NO
1,DAL,78.0,Industrials,Airlines,71.0,3.0,18.0,84.0,2.3336,2.0186,0.0,NO,NO
2,UAL,107.99,Industrials,Airlines,37.0,3.0,20.0,50.0,3.5793,3.1386,0.0,NO,NO
3,SKYW,94.66,Industrials,Airlines,26.0,3.0,87.0,14.0,2.6693,2.4293,0.0,NO,NO
4,LTM,49.77,Industrials,Airlines,20.0,9.0,18.0,18.0,1.4297,1.3219,0.0,NO,NO
5,CPA,126.45,Industrials,Airlines,17.0,4.0,10.0,18.0,3.2593,2.9429,0.0,NO,NO
1,OMAB,99.3,Industrials,Airports & Air Services,11.0,7.0,33.0,6.0,2.5996,2.5225,0.0,NO,NO
2,CAAP,23.47,Industrials,Airports & Air Services,10.0,5.0,8.0,6.0,0.8722,0.8179,0.0,NO,NO
3,PAC,206.04,Industrials,Airports & Air Services,5.0,9.0,9.0,5.0,5.4061,5.3704,0.0,NO,NO
4,ASR,256.51,Industrials,Airports & Air Services,4.0,7.0,7.0,2.0,5.7911,5.6482,0.0,NO,NO
1,KALU,158.78,Basic Materials,Aluminum,90.0,26.0,7.0,80.0,8.4129,7.8464,0.0,NO,NO
2,CSTM,26.43,Basic Materials,Aluminum,82.0,10.0,3.0,40.0,1.0636,1.0129,0.0,NO,NO
3,CENX,45.77,Basic Materials,Aluminum,82.0,59.0,2.0,10.0,2.6721,2.635,0.0,NO,NO
4,AA,49.95,Basic Materials,Aluminum,15.0,86.0,1.0,4.0,2.3512,2.1689,0.0,NO,NO
1,FIGS,15.34,Consumer Cyclical,Apparel Manufacturing,93.0,97.0,94.0,10.0,0.6112,0.6037,0.0,NO,NO
2,GIII,32.59,Consumer Cyclical,Apparel Manufacturing,57.0,4.0,50.0,56.0,0.8121,0.7507,0.0,NO,NO
3,KTB,75.41,Consumer Cyclical,Apparel Manufacturing,48.0,4.0,70.0,79.0,3.3571,2.8896,0.0,NO,NO
4,RL,346.9,Consumer Cyclical,Apparel Manufacturing,29.0,5.0,16.0,27.0,10.0236,9.5504,0.0,NO,NO
5,COLM,57.4,Consumer Cyclical,Apparel Manufacturing,14.0,14.0,8.0,17.0,1.5382,1.3868,0.0,NO,NO
1,VSXY,85.41,Consumer Cyclical,Apparel Retail,97.0,13.0,97.0,92.0,3.9787,3.7537,0.0,NO,NO
2,ANF,143.08,Consumer Cyclical,Apparel Retail,96.0,97.0,98.0,93.0,8.3825,6.7325,0.0,NO,NO
3,CTRN,68.07,Consumer Cyclical,Apparel Retail,95.0,58.0,97.0,93.0,3.5768,3.3396,0.0,NO,NO
4,JILL,19.53,Consumer Cyclical,Apparel Retail,90.0,81.0,97.0,77.0,0.8889,0.8785,0.0,NO,NO
5,ROST,228.54,Consumer Cyclical,Apparel Retail,82.0,5.0,55.0,73.0,6.9082,6.2975,0.0,NO,NO
1,MAAS,16.31,Financial Services,Asset Management,98.0,6.0,97.0,98.0,1.5028,1.4922,0.0,NO,NO
2,AAMI,94.2,Financial Services,Asset Management,96.0,84.0,94.0,96.0,2.3373,2.1805,0.0,NO,NO
3,VCTR,118.01,Financial Services,Asset Management,95.0,92.0,96.0,96.0,3.5677,3.5452,0.0,NO,NO
4,WT,24.06,Financial Services,Asset Management,95.0,94.0,93.0,91.0,0.7271,0.695,0.0,NO,NO
5,PS,42.92,Financial Services,Asset Management,95.0,95.0,86.0,,2.5328,2.5328,0.0,NO,NO
1,RUSHB,77.74,Consumer Cyclical,Auto & Truck Dealerships,97.0,97.0,98.0,96.0,3.3414,1.5157,46.76,NO,NO
2,RUSHA,76.83,Consumer Cyclical,Auto & Truck Dealerships,97.0,97.0,97.0,95.0,3.194,1.542,42.63,NO,NO
3,KMX,61.33,Consumer Cyclical,Auto & Truck Dealerships,91.0,81.0,95.0,93.0,1.8893,1.8657,0.0,NO,NO
4,PAG,216.59,Consumer Cyclical,Auto & Truck Dealerships,89.0,28.0,93.0,92.0,2.7257,2.6693,0.0,NO,NO
5,LAD,367.32,Consumer Cyclical,Auto & Truck Dealerships,84.0,10.0,93.0,91.0,10.2643,9.8486,0.0,NO,NO
1,GM,86.32,Consumer Cyclical,Auto Manufacturers,80.0,15.0,66.0,68.0,1.9164,1.8507,0.01,NO,NO
2,RACE,422.6,Consumer Cyclical,Auto Manufacturers,69.0,81.0,91.0,79.0,7.4857,5.8064,0.35,NO,NO
3,HMC,31.96,Consumer Cyclical,Auto Manufacturers,66.0,79.0,91.0,63.0,0.5721,0.3518,0.0,NO,NO
4,RIVN,16.06,Consumer Cyclical,Auto Manufacturers,40.0,77.0,16.0,57.0,0.6986,0.6722,0.0,NO,NO
5,TM,196.54,Consumer Cyclical,Auto Manufacturers,22.0,72.0,75.0,5.0,2.89,2.0343,0.0,NO,NO
1,VGNT,47.4,Consumer Cyclical,Auto Parts,92.0,90.0,72.0,,1.735,1.7157,0.0,NO,NO
2,GTX,26.95,Consumer Cyclical,Auto Parts,91.0,2.0,7.0,91.0,0.9211,0.8925,1.05,NO,NO
3,MLR,56.02,Consumer Cyclical,Auto Parts,89.0,87.0,89.0,89.0,1.6343,1.6343,0.0,NO,NO
4,ALSN,125.71,Consumer Cyclical,Auto Parts,84.0,85.0,83.0,31.0,3.8418,3.8339,0.0,NO,NO
5,GPC,135.67,Consumer Cyclical,Auto Parts,82.0,85.0,96.0,76.0,2.88,2.6236,0.0,NO,NO
1,BBVA,28.96,Financial Services,Banks - Diversified,91.0,70.0,93.0,89.0,0.3411,0.2725,0.0,NO,NO
2,MUFG,22.75,Financial Services,Banks - Diversified,90.0,51.0,90.0,87.0,0.4582,0.2875,0.0,NO,NO
3,BNY,161.28,Financial Services,Banks - Diversified,90.0,67.0,84.0,91.0,2.8329,2.725,0.0,NO,NO
4,SMFG,25.84,Financial Services,Banks - Diversified,89.0,31.0,88.0,80.0,0.4771,0.2857,0.0,NO,NO
5,UBS,55.72,Financial Services,Banks - Diversified,89.0,77.0,87.0,91.0,0.6546,0.6304,0.07,NO,NO
1,MSBI,32.79,Financial Services,Banks - Regional,95.0,17.0,90.0,93.0,0.7021,0.6942,0.0,NO,NO
2,CIB,96.12,Financial Services,Banks - Regional,94.0,71.0,95.0,93.0,3.0786,3.0036,0.0,NO,NO
3,GCBC,34.39,Financial Services,Banks - Regional,93.0,64.0,95.0,94.0,0.8364,0.8271,0.0,NO,NO
4,HFBL,24.3,Financial Services,Banks - Regional,93.0,72.0,94.0,88.0,0.6507,0.3979,0.0,NO,NO
5,BOTJ,27.04,Financial Services,Banks - Regional,93.0,35.0,90.0,92.0,0.6443,0.6443,0.0,NO,NO
1,FMX,120.41,Consumer Defensive,Beverages - Brewers,77.0,8.0,57.0,57.0,2.3582,2.2768,0.0,NO,NO
2,BUD,79.1,Consumer Defensive,Beverages - Brewers,66.0,5.0,32.0,38.0,1.2868,1.0325,0.0,NO,NO
3,SAM,177.81,Consumer Defensive,Beverages - Brewers,10.0,15.0,72.0,5.0,6.3925,5.6832,0.0,NO,NO
4,TAP,39.76,Consumer Defensive,Beverages - Brewers,8.0,11.0,55.0,6.0,1.1464,1.038,0.0,NO,NO
5,STZ,130.62,Consumer Defensive,Beverages - Brewers,8.0,41.0,18.0,6.0,3.2864,2.9772,0.0,NO,NO
1,COKE,195.57,Consumer Defensive,Beverages - Non-Alcoholic,85.0,72.0,85.0,16.0,5.9096,5.8361,0.0,NO,NO
2,KO,88.67,Consumer Defensive,Beverages - Non-Alcoholic,80.0,50.0,84.0,66.0,1.3799,1.2628,0.0,NO,NO
3,CCEP,108.02,Consumer Defensive,Beverages - Non-Alcoholic,78.0,22.0,90.0,35.0,1.7675,1.3961,0.0,NO,NO
4,KOF,111.16,Consumer Defensive,Beverages - Non-Alcoholic,73.0,63.0,65.0,40.0,2.2243,2.1586,0.0,NO,NO
5,KDP,31.86,Consumer Defensive,Beverages - Non-Alcoholic,57.0,60.0,70.0,55.0,0.8289,0.7346,0.0,NO,NO
1,DEO,91.85,Consumer Defensive,Beverages - Wineries & Distilleries,44.0,73.0,86.0,54.0,1.7864,1.3807,0.0,NO,NO
2,MGPI,16.61,Consumer Defensive,Beverages - Wineries & Distilleries,4.0,8.0,23.0,8.0,0.6671,0.605,0.0,NO,NO
1,MRNA,140.34,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,20.3581,14.5765,0.0,NO,NO
2,OMER,18.79,Healthcare,Biotechnology,98.0,98.0,98.0,94.0,1.1879,0.9793,0.0,NO,NO
3,APLM,27.09,Healthcare,Biotechnology,98.0,97.0,98.0,91.0,2.4132,2.3938,0.0,NO,NO
4,XNCR,27.26,Healthcare,Biotechnology,98.0,96.0,98.0,97.0,1.5616,1.5416,0.0,NO,NO
5,ANRO,35.38,Healthcare,Biotechnology,98.0,95.0,98.0,96.0,2.111,2.0224,0.0,NO,NO
1,BBGI,19.37,Communication Services,Broadcasting,98.0,7.0,92.0,98.0,2.1479,2.1114,0.0,NO,NO
2,NXST,182.13,Communication Services,Broadcasting,9.0,11.0,31.0,3.0,5.7107,5.5536,0.0,NO,NO
1,JHX,29.71,Basic Materials,Building Materials,91.0,88.0,94.0,86.0,0.7907,0.74,0.0,NO,NO
2,RMIX,17.15,Basic Materials,Building Materials,89.0,53.0,12.0,,0.9514,0.9421,0.0,NO,NO
3,USLM,118.13,Basic Materials,Building Materials,29.0,81.0,72.0,15.0,3.4057,3.3421,0.0,NO,NO
