SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
2,Energy,1,LPG,97.08,Extended Near High,Normal,53.59,0.39,3.36,96.0,95.0,94.0,94.0,NO,0.9,NO,44.36,36.06,45.74,40.18,Oil & Gas Midstream
2,Energy,2,VLO,96.93,Extended Near High,Normal,370.64,1.19,2.64,97.0,94.0,96.0,95.0,NO,0.0,NO,312.69,238.71,318.54,264.11,Oil & Gas Refining & Marketing
2,Energy,3,DINO,96.77,Extended Near High,Normal,106.14,1.95,3.5,97.0,96.0,96.0,96.0,NO,0.0,NO,87.52,65.38,89.72,71.83,Oil & Gas Refining & Marketing
2,Energy,4,FRO,95.95,Near Breakout,Normal,45.42,1.15,3.55,95.0,94.0,94.0,87.0,NO,0.0,NO,39.67,33.5,40.43,37.26,Oil & Gas Midstream
2,Energy,5,INSW,95.92,Breakout Zone,Normal,102.28,0.66,3.07,96.0,91.0,93.0,92.0,NO,0.78,NO,91.64,73.83,93.61,82.49,Oil & Gas Midstream
3,Healthcare,1,PLSE,98.25,Extended Near High,Loose,54.71,1.12,5.37,98.0,97.0,98.0,98.0,NO,2.11,NO,37.44,23.88,38.92,28.06,Medical Instruments & Supplies
3,Healthcare,2,VREX,97.94,Extended Near High,Very Tight,18.52,0.59,0.27,96.0,97.0,98.0,93.0,NO,0.05,NO,13.83,12.29,14.08,12.14,Medical Devices
3,Healthcare,3,HALO,97.62,Extended Near High,Normal,110.76,0.35,2.52,95.0,97.0,97.0,95.0,NO,0.16,NO,89.92,74.01,92.4,76.05,Biotechnology
3,Healthcare,4,OMER,97.23,Extended Near High,Loose,19.11,2.75,4.75,98.0,98.0,98.0,95.0,NO,0.69,NO,13.34,12.09,13.83,12.28,Biotechnology
3,Healthcare,5,ATRC,96.93,Extended Near High,Normal,52.46,1.94,3.83,96.0,97.0,98.0,96.0,NO,0.0,NO,39.6,34.43,40.95,33.15,Medical Instruments & Supplies
4,Basic Materials,1,CLMT,96.79,Extended Near High,Loose,53.5,2.19,4.49,97.0,97.0,96.0,96.0,NO,0.24,NO,43.35,31.47,44.21,36.02,Specialty Chemicals
4,Basic Materials,2,AYA,96.74,Extended Near High,Loose,29.82,1.39,6.05,97.0,93.0,97.0,95.0,NO,4.62,NO,22.96,18.2,23.56,19.68,Silver
4,Basic Materials,3,SSRM,95.89,Extended Near High,Loose,38.89,1.37,4.58,94.0,97.0,93.0,84.0,NO,0.0,NO,30.76,28.04,31.52,30.37,Gold
4,Basic Materials,4,FRD,93.09,Stage 2 Watch,Loose,45.36,6.99,5.29,97.0,95.0,98.0,98.0,NO,0.0,NO,38.25,25.11,39.14,27.71,Steel
4,Basic Materials,5,TX,92.48,Extended Near High,Normal,58.01,0.39,3.12,92.0,86.0,85.0,92.0,NO,1.51,NO,49.55,43.92,50.33,45.7,Steel
5,Technology,1,ZETA,97.19,Extended Near High,Loose,32.69,0.18,4.29,96.0,94.0,95.0,96.0,NO,1.51,NO,24.58,20.02,25.26,20.34,Software - Infrastructure
5,Technology,2,TEAM,97.11,Extended Near High,Loose,194.68,1.97,4.83,96.0,98.0,98.0,98.0,NO,2.24,NO,123.61,109.05,132.21,97.65,Software - Application
5,Technology,3,RNG,96.8,Extended Near High,Normal,76.36,2.04,3.68,97.0,95.0,98.0,97.0,NO,3.2,NO,54.06,39.6,56.73,45.02,Software - Application
5,Technology,4,PAYC,96.64,Extended Near High,Normal,240.45,1.85,2.83,95.0,97.0,98.0,96.0,NO,1.59,NO,179.96,148.91,187.67,148.16,Software - Application
5,Technology,5,CHYM,96.11,Extended Near High,Normal,33.65,2.29,3.97,95.0,96.0,98.0,93.0,NO,0.0,NO,26.17,22.7,26.86,22.09,Software - Application
