Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Oil & Gas Drilling,Energy,95,88,96,88,"NE,RIG,PTEN,HP,SDRL,SOC,BORR,PDS,NBR"
2,Aluminum,Basic Materials,94,61,81,96,"AA,CENX,CSTM,KALU"
3,Oil & Gas Integrated,Energy,92,95,95,92,"XOM,CVX,SHEL,TTE,PBR,BP,EQNR,E,SU,IMO,CVE,EC,YPF,NFG,TGS,DEC"
4,Real Estate - Diversified,Real Estate,90,54,88,92,"JOE,STRS"
5,Oil & Gas Equipment & Services,Energy,87,70,89,88,"SLB,BKR,HAL,TS,FTI,VAL,NOV,WFRD,AROC,LB,KGS,SEI,LBRT,TDW,USAC,OII,WHD,EFXT,FLOC,NEXT,WTTR,NESR,XPRO,PUMP,INVX,AESI,RES,HLX,VTOL,NPKI,WBI,ACDC,CLB,OIS,FET,FTK,NGS,RNGR,NOA,SND,NCSM,GEOS"
6,Semiconductor Equipment & Materials,Technology,87,36,78,82,"ASML,AMAT,LRCX,KLAC,TER,Q,ENTG,NVMI,AMKR,ONTO,FORM,CAMT,IPGP,KLIC,AXTI,ACLS,UCTT,ACMR,PLAB,AMBA,VECO,ICHR,DQ,COHU,AEHR,INTT,ASYS,TRT"
7,Oil & Gas Midstream,Energy,86,72,90,84,"ENB,WMB,EPD,KMI,ET,TRP,LNG,MPLX,OKE,TRGP,VG,CQP,PBA,VNOM,WES,PAA,DTM,AM,HESM,FRO,SOBO,PAGP,GLNG,STNG,EE,CMBT,INSW,SUNC,KNTK,DHT,TRMD,TNK,GEL,FLNG,NGL,LPG,NVGS,NAT,TEN,SBR,TK,PBT,SMC,KNOP,MARPS,IMPPP,GLP"
8,Other Precious Metals & Mining,Basic Materials,85,2,34,76,"HL,BVN,SBSW,TFPM,PPTA,SLSR,MUX,ELE,VMET,ASM,MTA"
9,Marine Shipping,Industrials,84,40,83,82,"KEX,MATX,HAFN,ZIM,BWLP,SBLK,DAC,ECO,CMRE,NMM,SFL,GSL,CCEC,GNK,SB,ASC,HSHP,PANL,ESEA,CMDB,GASS,SHIP,SMHI,HTCO,EDRY,EHLD,SVRN"
10,Gold,Basic Materials,84,6,47,69,"NEM,AEM,B,WPM,AU,FNV,GFI,KGC,PAAS,RGLD,AGI,CDE,IAG,EQX,HMY,OR,EGO,AUGO,SSRM,ORLA,AAUC,ARIS,NG,CGAU,FSM,HYMC,SA,DRD,CNL,IDR,CMCL,CTGO,USAU"
11,Other Industrial Metals & Mining,Basic Materials,84,15,64,73,"BHP,RIO,VALE,TECK,MP,EMAT,ALM,SKE,USAR,MTRN,SGML,NEXA,UAMY,LAR,ELVR,CMP,IPX,CRML,SCZM,ALOY,BMM,NVA,USGO"
12,Oil & Gas E&P,Energy,84,89,92,85,"COP,CNQ,EOG,OXY,FANG,WDS,EQT,TPL,DVN,CTRA,EXE,PR,OVV,APA,AR,RRC,CHRD,VIST,MTDR,SM,CRK,MGY,CRC,MUR,CNX,CRGY,GPOR,BSM,BKV,NOG,TALO,MNR,VET,KRP,DMLP,TBN,HPK,GFR,REPX,GRNT,VTS,TXO,EGY,OBE,SD,GPRK,FTW,ANNA,PNRG,INR,GTE,GLND,AMPY,PED,KGEI,EPSN,BATL,NRT,CRT,MXC,MTR"
13,Business Equipment & Supplies,Industrials,83,89,90,86,EBF
14,Chemicals,Basic Materials,82,87,90,81,"DOW,CE,MEOH,OLN,HUN,REX,TROX,GPRE,LXU,WLKP,RYAM,ASIX,VHI,ACNT,GURE"
15,Thermal Coal,Energy,82,74,78,77,"CNR,BTU,ARLP,NRP,HNRG,NC"
16,Copper,Basic Materials,82,3,50,82,"SCCO,FCX,HBM,ERO,TGB,IE"
17,Communication Equipment,Technology,76,60,68,67,"CSCO,MSI,CIEN,LITE,UI,NOK,ERIC,HPE,ASTS,ZBRA,VIAV,AAOI,VSAT,BDC,VISN,ONDS,EXTR,DGII,TSAT,GILT,HLIT,ADTN,NTGR,FEIM,CLFD,AVNW,BKTI,AUDC,LTRX,INSG,SILC,OCC,AIRG,FIEE,BOSC,WATT"
18,Oil & Gas Refining & Marketing,Energy,76,82,87,74,"VLO,PSX,MPC,SUN,DINO,PBF,UGP,IEP,CVI,PARR,DKL,DK,APC,WKC,CAPL,SGU"
19,Publishing,Communication Services,76,90,82,73,"NYT,PSO,WLY,TDAY,SCHL,LEE"
20,Utilities - Diversified,Utilities,75,52,75,78,"SRE,BIP,AES,AQN,AVA,UTL"
21,Electronic Components,Technology,74,30,63,67,"APH,GLW,TEL,CLS,JBL,FLEX,FN,TTMI,LFUS,SANM,VICR,PLXS,OSIS,RAL,OLED,BELFB,BELFA,KN,BHE,ROG,CTS,OUST,ALNT,DAKT,LYTS,LPTH,OPTX,MPTI,MEI,RELL,ELTK"
22,Medical Distribution,Healthcare,74,17,62,81,"MCK,COR,CAH,HSIC,YI"
23,Uranium,Energy,73,20,67,41,"CCJ,NXE,UEC,UUUU,LEU,ISOU,NUCL,AEC"
24,Silver,Basic Materials,73,2,64,90,"AG,EXK,SVM,HSLV"
25,Utilities - Regulated Electric,Utilities,73,66,77,73,"NEE,SO,DUK,NGG,AEP,D,ETR,EXC,XEL,ED,WEC,DTE,AEE,FE,SOMN,VIASP,PPLC,PEG,PCG,PPL,FTS,CNP,EIX,ES,CMS,EVRG,LNT,KEP,EMA,PNW,OGE,ELPC,IDA,TXNM,POR,NWE,MGEE,HE,CEPU,EDN,IMSR,GNE"
26,Utilities - Regulated Gas,Utilities,72,67,75,72,"ATO,NI,UGI,SWX,NJR,OGS,SR,BKH,BIPC,MDU,CPK,CTRI,NWN,SPH,RGCO"
27,Engineering & Construction,Industrials,70,37,59,61,"PWR,FIX,FER,EME,MTZ,APG,J,STRL,ACM,DY,STN,BLD,IESC,TTEK,PRIM,AGX,FLR,LGN,ROAD,ECG,GVA,ACA,KBR,MYRG,TPC,EXPO,CDLR,AMRC,GLDD,WLDN,CDNL,BWMN,ORN,BBCP,MTRX,PHOE,ESOA,VATE"
28,Utilities - Renewable,Utilities,70,55,66,70,"AXIA,BEP,ENLT,CWEN,BEPC,ORA,MWH,FLNC,XIFR,ELLO,STEM,WAVE"
29,Confectioners,Consumer Defensive,68,58,87,62,"MDLZ,HSY,TR"
30,Discount Stores,Consumer Defensive,68,50,62,76,"WMT,COST,TGT,DG,DLTR,BJ,OLLI,PSMT,TBBB"
31,Trucking,Industrials,67,31,72,73,"ODFL,XPO,KNX,SAIA,TFII,SNDR,RXO,ARCB,WERN,MRTN,HTLD,CVLG,ULH,PAMT"
32,Conglomerates,Industrials,66,68,56,62,"HON,SEB,STRRP,MMM,VMI,PAM,OTTR,BBU,DLX,TTI,CRESY,MATW,FBYD,CODI,TRC,AIRTP,BOC,RCMT,BOOM,AIRT,STRR"
