IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,MF,19.49,Communication Services,Advertising Agencies,98.0,98.0,98.0,0.0,2.945,2.7868,0.0,NO,NO
2,MGNI,23.7,Communication Services,Advertising Agencies,94.0,94.0,97.0,96.0,0.7757,0.7586,0.94,NO,NO
3,QNST,19.18,Communication Services,Advertising Agencies,93.0,94.0,97.0,95.0,0.7868,0.7732,0.0,NO,NO
4,ADV,34.51,Communication Services,Advertising Agencies,91.0,2.0,12.0,98.0,1.8551,1.8001,1.17,NO,NO
5,WPP,25.82,Communication Services,Advertising Agencies,88.0,95.0,95.0,91.0,0.7657,0.6393,0.0,NO,NO
1,SIF,22.21,Industrials,Aerospace & Defense,97.0,2.0,78.0,94.0,1.3255,1.3255,0.0,NO,NO
2,ATRO,75.71,Industrials,Aerospace & Defense,95.0,86.0,78.0,79.0,5.428,4.9687,0.0,NO,NO
3,DCO,176.3,Industrials,Aerospace & Defense,94.0,11.0,86.0,92.0,7.1971,6.9329,0.0,NO,NO
4,IA,20.65,Industrials,Aerospace & Defense,92.0,92.0,89.0,4.0,1.4332,1.4146,0.0,NO,NO
5,AIR,133.19,Industrials,Aerospace & Defense,91.0,10.0,88.0,73.0,5.7275,5.2911,0.0,NO,NO
1,CF,125.79,Basic Materials,Agricultural Inputs,89.0,33.0,82.0,86.0,4.8121,4.4157,0.0,NO,NO
2,UAN,125.28,Basic Materials,Agricultural Inputs,82.0,16.0,60.0,86.0,3.195,3.1343,0.0,NO,NO
3,NTR,73.51,Basic Materials,Agricultural Inputs,72.0,68.0,74.0,26.0,1.8316,1.5944,0.6,NO,NO
4,IPI,37.6,Basic Materials,Agricultural Inputs,72.0,79.0,18.0,40.0,1.4421,1.3929,0.0,NO,NO
5,CTVA,83.9,Basic Materials,Agricultural Inputs,67.0,8.0,74.0,49.0,2.0057,1.9006,0.95,NO,NO
1,DAL,80.07,Industrials,Airlines,75.0,4.0,20.0,83.0,2.3104,2.0539,0.0,NO,NO
2,UAL,110.6,Industrials,Airlines,39.0,4.0,18.0,47.0,3.5864,3.2486,0.0,NO,NO
3,SKYW,98.87,Industrials,Airlines,35.0,5.0,86.0,16.0,2.576,2.4138,0.0,NO,NO
4,LUV,39.64,Industrials,Airlines,31.0,2.0,12.0,5.0,1.1093,1.055,0.0,NO,NO
5,CPA,129.5,Industrials,Airlines,23.0,5.0,10.0,14.0,3.1764,3.0114,0.0,NO,NO
1,CAAP,24.1,Industrials,Airports & Air Services,15.0,6.0,10.0,7.0,0.873,0.8523,0.0,NO,NO
2,OMAB,100.66,Industrials,Airports & Air Services,11.0,7.0,43.0,6.0,2.61,2.5329,0.0,NO,NO
3,PAC,207.56,Industrials,Airports & Air Services,5.0,8.0,8.0,4.0,5.3118,5.2761,0.0,NO,NO
4,ASR,257.52,Industrials,Airports & Air Services,3.0,7.0,7.0,2.0,5.9229,5.7443,0.0,NO,NO
1,KALU,156.38,Basic Materials,Aluminum,89.0,16.0,7.0,82.0,8.0343,7.4071,0.0,NO,NO
2,CSTM,26.98,Basic Materials,Aluminum,85.0,8.0,4.0,59.0,1.0371,0.975,0.0,NO,NO
3,CENX,46.59,Basic Materials,Aluminum,82.0,67.0,2.0,10.0,2.7836,2.7293,0.81,NO,NO
4,AA,50.32,Basic Materials,Aluminum,28.0,88.0,1.0,5.0,2.4794,2.2071,0.0,NO,NO
1,FIGS,15.42,Consumer Cyclical,Apparel Manufacturing,94.0,97.0,94.0,34.0,0.6371,0.6289,0.73,NO,NO
2,GIII,33.46,Consumer Cyclical,Apparel Manufacturing,64.0,5.0,61.0,62.0,0.8011,0.7361,0.0,NO,NO
3,KTB,76.99,Consumer Cyclical,Apparel Manufacturing,52.0,5.0,74.0,79.0,3.4029,2.9614,0.0,NO,NO
4,RL,354.04,Consumer Cyclical,Apparel Manufacturing,37.0,5.0,21.0,25.0,10.01,9.5736,0.0,NO,NO
5,COLM,58.01,Consumer Cyclical,Apparel Manufacturing,14.0,6.0,8.0,14.0,1.5561,1.4004,0.88,NO,NO
1,VSXY,87.85,Consumer Cyclical,Apparel Retail,97.0,25.0,97.0,92.0,4.1669,3.9112,0.0,NO,NO
2,ANF,148.42,Consumer Cyclical,Apparel Retail,96.0,97.0,98.0,94.0,8.2179,6.5679,0.22,NO,NO
3,CTRN,67.25,Consumer Cyclical,Apparel Retail,94.0,22.0,96.0,92.0,3.6886,3.4514,0.0,NO,NO
4,JILL,19.8,Consumer Cyclical,Apparel Retail,91.0,87.0,97.0,75.0,0.8619,0.8515,0.0,NO,NO
5,ROST,228.55,Consumer Cyclical,Apparel Retail,79.0,4.0,30.0,66.0,6.8986,6.2879,0.0,NO,NO
