SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
2,Energy,1,MPC,98.13,Extended Near High,Normal,397.96,0.41,2.64,97.0,97.0,96.0,96.0,NO,1.95,NO,324.85,242.66,339.19,271.98,Oil & Gas Refining & Marketing
2,Energy,2,VLO,97.97,Extended Near High,Normal,382.93,0.35,2.72,97.0,96.0,96.0,96.0,NO,2.28,NO,317.48,240.65,330.05,270.2,Oil & Gas Refining & Marketing
2,Energy,3,DINO,97.39,Extended Near High,Normal,108.32,1.39,3.66,97.0,97.0,96.0,97.0,NO,1.98,NO,89.07,65.9,93.23,73.47,Oil & Gas Refining & Marketing
2,Energy,4,PBF,97.37,Extended Near High,Loose,76.73,1.55,5.35,97.0,96.0,98.0,97.0,NO,2.91,NO,64.58,44.47,67.93,50.67,Oil & Gas Refining & Marketing
2,Energy,5,PSX,97.22,Extended Near High,Normal,259.15,0.68,2.62,96.0,96.0,95.0,94.0,NO,0.0,NO,216.05,172.99,225.23,189.13,Oil & Gas Refining & Marketing
3,Healthcare,1,VREX,98.02,Extended Near High,Very Tight,18.49,0.75,0.25,96.0,98.0,98.0,95.0,NO,0.0,NO,14.15,12.36,14.86,12.31,Medical Devices
3,Healthcare,2,TXG,97.39,Extended Near High,Loose,65.6,2.0,5.89,98.0,96.0,98.0,98.0,NO,0.0,NO,51.45,29.19,54.3,34.79,Medical Devices
3,Healthcare,3,OMER,97.07,Extended Near High,Loose,19.12,2.7,4.78,98.0,97.0,98.0,95.0,NO,0.0,NO,13.71,12.19,14.8,12.53,Biotechnology
3,Healthcare,4,ROIV,95.83,Extended Near High,Normal,41.48,2.4,3.95,97.0,93.0,96.0,91.0,NO,14.46,NO,35.43,28.59,35.94,31.51,Biotechnology
3,Healthcare,5,ATRC,95.71,Near Breakout,Normal,53.73,3.57,3.92,96.0,97.0,98.0,96.0,NO,0.0,NO,40.54,34.63,43.05,33.82,Medical Instruments & Supplies
4,Basic Materials,1,CLMT,97.5,Extended Near High,Loose,53.91,1.44,4.3,97.0,97.0,97.0,96.0,NO,0.0,NO,44.11,31.82,45.92,36.85,Specialty Chemicals
4,Basic Materials,2,AYA,93.86,Near Breakout,Loose,29.15,3.6,6.0,97.0,87.0,97.0,95.0,NO,0.0,NO,23.36,18.39,24.42,20.05,Silver
4,Basic Materials,3,TECK,93.63,Breakout Zone,Normal,71.97,0.81,3.01,94.0,89.0,86.0,92.0,NO,3.36,NO,63.02,56.79,64.49,60.27,Copper
4,Basic Materials,4,VHI,93.1,Extended Near High,Loose,18.69,2.61,4.91,90.0,94.0,94.0,91.0,NO,2.97,NO,15.44,14.18,15.8,14.65,Chemicals
4,Basic Materials,5,TX,92.97,Extended Near High,Normal,58.09,1.09,3.06,92.0,88.0,89.0,93.0,NO,0.05,NO,50.07,44.14,51.96,46.18,Steel
5,Technology,1,BVC,99.09,Extended Near High,Loose,18.0,0.0,10.26,98.0,97.0,98.0,97.0,NO,3.41,NO,12.11,8.95,13.03,10.7,Software - Application
5,Technology,2,DELL,97.19,Extended Near High,Loose,533.49,0.92,5.5,98.0,94.0,94.0,98.0,NO,0.0,NO,442.14,255.51,457.51,321.99,Computer Hardware
5,Technology,3,OKTA,94.16,Near Breakout,Loose,167.6,4.15,5.88,96.0,93.0,96.0,97.0,NO,0.0,NO,146.81,102.28,150.37,111.0,Software - Infrastructure
5,Technology,4,RDVT,93.5,Near Breakout,Normal,74.72,3.41,3.87,93.0,93.0,95.0,95.0,NO,0.0,NO,68.37,52.5,69.36,53.92,Software - Application
5,Technology,5,KSPI,93.39,Near Breakout,Normal,107.21,2.48,3.07,90.0,95.0,94.0,93.0,NO,0.0,NO,94.77,83.21,96.77,86.07,Software - Infrastructure
