Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1,NBY,5.64,783564.0,Healthcare,Biotechnology,99.0,98.0,98.0,98.0,989938.0,4072900.0,6.5,0.46,710700608.0,No
2,HYMC,23.77,3842738.0,Basic Materials,Gold,98.0,98.0,98.0,98.0,2547628.0,7065390.0,29.8,2.0,1932111232.0,No
3,AXTI,16.35,4938824.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,98.0,98.0,3487366.0,4325910.0,17.25,1.13,762288832.0,No
4,GLTO,23.01,33105.0,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,2633998.0,79790.0,38.33,2.01,36704656.0,No
5,CDTX,220.89,504026.0,Healthcare,Biotechnology,98.0,57.0,98.0,98.0,1353050.0,881320.0,221.2,15.22,6946174464.0,No
6,CELC,99.74,482117.0,Healthcare,Biotechnology,98.0,68.0,98.0,98.0,1116503.0,876440.0,112.64,7.58,4615095296.0,No
7,IBCA,25.94,145575.0,ETF,ETF,98.0,40.0,41.0,42.0,106871.0,310410.0,26.72,1.0,,No
8,PRAX,294.74,465739.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,1060257.0,631020.0,317.72,26.7,7370613760.0,No
9,AFJKU,66.0,156.0,Financial Services,Shell Companies,98.0,98.0,98.0,98.0,526.0,490.0,80.0,7.6,,No
10,ANRO,17.8,171592.0,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,1733809.0,519960.0,20.91,1.6,552980736.0,No
11,ZEPP,26.94,74393.0,Technology,Consumer Electronics,98.0,63.0,1.0,98.0,258193.0,194800.0,61.85,2.12,393997504.0,No
12,AFJK,64.01,469000.0,Financial Services,Shell Companies,98.0,99.0,98.0,98.0,192855.0,373680.0,130.37,6.75,391852128.0,No
13,BW,6.34,1758462.0,Industrials,Specialty Industrial Machinery,98.0,81.0,98.0,98.0,3765750.0,2598620.0,7.77,0.22,704374656.0,No
14,XWIN,6.0,286054.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",98.0,92.0,84.0,98.0,916209.0,1117180.0,6.23,0.41,251305376.0,No
15,KOD,27.96,1553832.0,Healthcare,Biotechnology,98.0,97.0,97.0,98.0,899638.0,1393690.0,31.18,1.92,1706914048.0,No
16,RHLD,206.43,162566.0,Industrials,Specialty Business Services,98.0,95.0,98.0,98.0,73680.0,87900.0,221.02,24.22,1760021888.0,No
17,VTYX,9.03,561665.0,Healthcare,Biotechnology,98.0,16.0,98.0,98.0,4404890.0,1105730.0,10.55,0.78,644368512.0,No
18,OLMA,25.0,847247.0,Healthcare,Biotechnology,98.0,5.0,98.0,98.0,3784498.0,2136920.0,36.26,2.86,2003997952.0,No
19,NBTX,23.12,15844.0,Healthcare,Biotechnology,98.0,94.0,92.0,98.0,80871.0,27510.0,30.35,2.82,1118522496.0,No
20,MULL,89.69,259453.0,ETF,ETF,98.0,97.0,98.0,98.0,342087.0,346650.0,98.5,6.04,,No
21,MUU,100.74,827420.0,ETF,ETF,98.0,97.0,98.0,98.0,1330249.0,1588210.0,110.53,6.77,,No
22,OPEN,5.83,45150236.0,Real Estate,Real Estate Services,98.0,2.0,4.0,98.0,113868095.0,56066350.0,10.87,0.51,5560584704.0,No
23,PVLA,104.67,387202.0,Healthcare,Biotechnology,98.0,92.0,97.0,98.0,239453.0,324470.0,114.69,11.28,1238925440.0,No
24,SLGL,42.14,26211.0,Healthcare,Biotechnology,98.0,91.0,95.0,98.0,18325.0,24210.0,52.26,4.02,117393064.0,No
25,NEGG,50.76,77555.0,Consumer Cyclical,Internet Retail,98.0,0.0,90.0,98.0,568306.0,101110.0,137.84,3.32,1064258496.0,No
26,SNDK,237.38,3845892.0,Technology,Computer Hardware,98.0,94.0,98.0,98.0,10791609.0,7319950.0,284.76,27.89,34788794368.0,No
27,INBX,79.0,222107.0,Healthcare,Biotechnology,98.0,22.0,98.0,98.0,400960.0,282750.0,94.56,10.8,1148955264.0,No
28,COGT,35.52,3421192.0,Healthcare,Biotechnology,98.0,5.0,98.0,98.0,3213142.0,2228570.0,43.73,3.72,5452517888.0,No
29,ONDS,9.76,154884086.0,Technology,Communication Equipment,98.0,97.0,94.0,98.0,82923785.0,60171940.0,11.7,0.57,3705466368.0,No
30,ANPA,22.15,4182.0,Industrials,Specialty Business Services,98.0,97.0,5.0,,10509.0,10360.0,54.75,2.8,276900000.0,No
31,SPRB,87.11,28575.0,Healthcare,Biotechnology,98.0,84.0,98.0,0.0,573988.0,34730.0,2508.75,7.0,93239928.0,No
32,MSDD,93.37,149.0,ETF,ETF,98.0,95.0,98.0,98.0,12720.0,1790.0,93.37,17.13,,No
33,LITE,368.59,1589354.0,Technology,Communication Equipment,98.0,95.0,98.0,98.0,4171557.0,2989670.0,401.6,45.65,26137671680.0,No
34,GDXU,243.66,400197.0,ETF,ETF,98.0,92.0,89.0,98.0,839684.0,612560.0,302.71,28.44,,No
35,BNR,20.15,8520.0,Healthcare,Diagnostics & Research,98.0,86.0,98.0,98.0,46363.0,62010.0,24.18,2.18,216946912.0,No
36,JFU,6.39,8919.0,Technology,Information Technology Services,98.0,98.0,98.0,98.0,53512.0,7140.0,9.48,1.01,75231600.0,No
37,TE,6.68,10765785.0,Industrials,Electrical Equipment & Parts,98.0,98.0,98.0,98.0,14379007.0,18878260.0,7.74,0.92,1418603520.0,No
