Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,GRAL,86.41,2065895,Healthcare,Diagnostics & Research,99.0,93.0,97.0,99.0,908485.0,1041740.0,89.57,12.76,3114890496.0,No
Leading Stocks (RS > 90),2,LTBR,26.41,3533791,Industrials,Electrical Equipment & Parts,99.0,98.0,98.0,99.0,1955078.0,2879990.0,31.34,4.35,788080064.0,No
Leading Stocks (RS > 90),3,PPTA,28.0,7072751,Basic Materials,Other Precious Metals & Mining,97.0,93.0,95.0,98.0,2779014.0,4578490.0,31.65,7.81,3011956224.0,No
Leading Stocks (RS > 90),4,SMR,47.74,37794292,Industrials,Specialty Industrial Machinery,97.0,97.0,99.0,97.0,17037484.0,26257020.0,57.42,11.08,6374663680.0,No
Leading Stocks (RS > 90),5,AU,78.57,4536971,Basic Materials,Gold,97.0,97.0,95.0,97.0,2997398.0,2788760.0,79.94,22.45,39657766912.0,No
Leading Stocks (RS > 90),6,XMTR,47.06,1404909,Industrials,Industrial Distribution,94.0,97.0,94.0,92.0,817687.0,645700.0,58.03,18.59,2390476288.0,No
"Top Movers (RS ≥ 85, Improving)",1,SION,32.89,457149,Healthcare,Biotechnology,95.0,88.0,55.0,1.0,243264.0,312980.0,34.0,7.25,1451758848.0,No
"Top Movers (RS ≥ 85, Improving)",2,UUUU,21.66,46501905,Energy,Uranium,99.0,98.0,97.0,15.0,18901620.0,36819970.0,27.33,3.2,4996442112.0,No
"Top Movers (RS ≥ 85, Improving)",3,MU,202.53,41386951,Technology,Semiconductors,97.0,94.0,80.0,13.0,23080465.0,24688830.0,206.34,61.54,227333046272.0,No
"Top Movers (RS ≥ 85, Improving)",4,STOK,34.23,2845900,Healthcare,Biotechnology,99.0,97.0,87.0,16.0,1091084.0,1655860.0,38.62,5.35,1879551360.0,No
"Top Movers (RS ≥ 85, Improving)",5,WDC,125.92,13760189,Technology,Computer Hardware,98.0,97.0,94.0,15.0,8509687.0,9714580.0,137.4,28.83,43164811264.0,No
"Top Movers (RS ≥ 85, Improving)",6,MUX,22.72,3943924,Basic Materials,Other Precious Metals & Mining,97.0,94.0,90.0,16.0,1446710.0,2070700.0,24.88,6.38,1229297792.0,No
"Top Movers (RS ≥ 85, Improving)",7,ERO,22.82,1412143,Basic Materials,Copper,93.0,58.0,35.0,12.0,855542.0,1383420.0,24.44,9.3,2361076992.0,No
"Top Movers (RS ≥ 85, Improving)",8,NAMS,36.38,2308966,Healthcare,Biotechnology,95.0,89.0,86.0,17.0,999046.0,1574890.0,41.47,14.06,4098549504.0,No
"Top Movers (RS ≥ 85, Improving)",9,VRDN,23.01,1506792,Healthcare,Biotechnology,88.0,73.0,64.0,12.0,787504.0,878100.0,27.2,9.9,1879051136.0,No
"Top Movers (RS ≥ 85, Improving)",10,VPG,36.51,182123,Technology,Scientific & Technical Instruments,91.0,88.0,82.0,16.0,106337.0,106930.0,38.01,18.57,484819328.0,No
"Top Movers (RS ≥ 85, Improving)",11,INCY,87.27,3350354,Healthcare,Biotechnology,87.0,86.0,65.0,28.0,1737037.0,1524120.0,92.86,53.56,17035890688.0,No
"Top Movers (RS ≥ 85, Improving)",12,AEIS,191.94,738347,Industrials,Electrical Equipment & Parts,94.0,92.0,91.0,38.0,405323.0,333680.0,194.69,75.01,7239983616.0,No
"Top Movers (RS ≥ 85, Improving)",13,KF,33.05,10358,Financial Services,Asset Management,90.0,88.0,87.0,35.0,6543.0,6910.0,33.29,18.15,137442960.0,No
"Top Movers (RS ≥ 85, Improving)",14,BCV,23.6,45578,Financial Services,Asset Management,87.0,80.0,77.0,62.0,28925.0,35130.0,23.88,15.63,138344576.0,No
