Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,MP,95.06,48521905,Basic Materials,Other Industrial Metals & Mining,99.0,99.0,99.0,95.0,15505700.0,17066800.0,98.97,15.56,16834965504.0,No
Leading Stocks (RS > 90),2,BE,109.94,27082619,Industrials,Electrical Equipment & Parts,99.0,99.0,95.0,93.0,12526400.0,13830340.0,115.14,9.02,25725736960.0,No
Leading Stocks (RS > 90),3,LTBR,26.91,3966752,Industrials,Electrical Equipment & Parts,99.0,98.0,99.0,99.0,1895759.0,2716130.0,27.59,3.2,803000128.0,No
Leading Stocks (RS > 90),4,ARQQ,58.44,1179717,Technology,Software - Infrastructure,99.0,97.0,99.0,92.0,596698.0,886820.0,62.0,3.97,894285888.0,No
Leading Stocks (RS > 90),5,IONQ,82.27,37892568,Technology,Computer Hardware,99.0,99.0,99.0,99.0,24559285.0,34956990.0,84.64,10.33,27165884416.0,No
Leading Stocks (RS > 90),6,IDR,48.72,1417373,Basic Materials,Gold,98.0,98.0,94.0,97.0,565045.0,733260.0,51.39,9.67,737036480.0,No
Leading Stocks (RS > 90),7,SEI,51.97,4652282,Energy,Oil & Gas Equipment & Services,98.0,94.0,96.0,94.0,2636542.0,4379000.0,52.26,12.78,3512620032.0,No
Leading Stocks (RS > 90),8,CMCL,35.04,385802,Basic Materials,Gold,98.0,98.0,95.0,95.0,242876.0,287630.0,38.75,8.8,676439680.0,No
Leading Stocks (RS > 90),9,IPX,58.37,227182,Basic Materials,Other Industrial Metals & Mining,97.0,97.0,95.0,91.0,92923.0,116480.0,58.38,12.28,1923113216.0,No
Leading Stocks (RS > 90),10,NNE,54.37,7157705,Industrials,Specialty Industrial Machinery,97.0,95.0,97.0,97.0,3842318.0,5775170.0,60.51,15.16,2263731456.0,No
Leading Stocks (RS > 90),11,PPTA,27.39,4473977,Basic Materials,Other Precious Metals & Mining,97.0,94.0,96.0,98.0,2648643.0,3584900.0,28.3,7.81,2946338560.0,No
Leading Stocks (RS > 90),12,SMR,45.19,27340611,Industrials,Specialty Industrial Machinery,97.0,97.0,99.0,96.0,16067476.0,19736000.0,53.5,11.08,6045285888.0,No
"Top Movers (RS ≥ 85, Improving)",1,CRML,23.28,61879201,Basic Materials,Other Industrial Metals & Mining,99.0,97.0,48.0,0.0,9954150.0,34098430.0,23.67,1.23,2488639232.0,No
"Top Movers (RS ≥ 85, Improving)",2,SION,29.5,372571,Healthcare,Biotechnology,94.0,86.0,31.0,2.0,237343.0,321870.0,31.02,7.25,1302124800.0,No
"Top Movers (RS ≥ 85, Improving)",3,UUUU,23.77,41894694,Energy,Uranium,99.0,98.0,96.0,12.0,17327718.0,29134370.0,25.69,3.2,5484296192.0,No
"Top Movers (RS ≥ 85, Improving)",4,SNDK,134.2,7683843,Technology,Computer Hardware,99.0,98.0,85.0,20.0,4831050.0,9086240.0,137.05,27.89,19647492096.0,No
"Top Movers (RS ≥ 85, Improving)",5,TWN,55.64,55090,Financial Services,Asset Management,89.0,87.0,85.0,13.0,11598.0,21820.0,57.01,26.45,354576960.0,No
"Top Movers (RS ≥ 85, Improving)",6,GMAB,32.68,2557001,Healthcare,Biotechnology,91.0,83.0,24.0,23.0,1597593.0,3360120.0,33.63,17.23,20116051968.0,No
