Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Semiconductor Equipment & Materials,91,88,81,90
🔹 RS > 80: Leading Sectors,Trucking,84,88,84,86
🔸 RS ≥ 75: Top Moving Sectors,Communication Equipment,81,75,71,70
🔸 RS ≥ 75: Top Moving Sectors,Electronic Components,81,79,76,74
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,84,46,9,77
🔹 RS ≥ 80: Breakout Sectors,Uranium,84,77,9,62
🔹 RS ≥ 80: Breakout Sectors,Copper,82,65,11,78
🔹 RS ≥ 80: Breakout Sectors,Gold,80,37,15,79
🕵️ Improving Watchlist (RS < 75),Luxury Goods,71,63,57,51
