Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Utilities - Independent Power Producers,93,88,82,93
🔹 RS > 80: Leading Sectors,Banks - Diversified,85,84,82,81
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,90,82,66,48
🔸 RS ≥ 75: Top Moving Sectors,Banks - Diversified,85,84,82,81
🔸 RS ≥ 75: Top Moving Sectors,Uranium,79,75,38,37
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,73,65,59,36
🕵️ Improving Watchlist (RS < 75),Pharmaceutical Retailers,72,66,61,6
🕵️ Improving Watchlist (RS < 75),Industrial Distribution,65,61,42,40
🕵️ Improving Watchlist (RS < 75),Conglomerates,57,50,47,37
🕵️ Improving Watchlist (RS < 75),Coking Coal,47,30,12,7
