Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Gold,89,93,84,90
🔸 RS ≥ 75: Top Moving Sectors,Aluminum,88,66,64,19
🔸 RS ≥ 75: Top Moving Sectors,Copper,85,74,49,17
🔸 RS ≥ 75: Top Moving Sectors,Solar,84,81,59,16
🔸 RS ≥ 75: Top Moving Sectors,Semiconductor Equipment & Materials,83,73,50,14
🔸 RS ≥ 75: Top Moving Sectors,Other Industrial Metals & Mining,77,76,58,47
🔸 RS ≥ 75: Top Moving Sectors,Electrical Equipment & Parts,77,72,70,43
🔸 RS ≥ 75: Top Moving Sectors,Communication Equipment,75,70,66,60
🔹 RS ≥ 80: Breakout Sectors,Uranium,95,95,82,34
🔹 RS ≥ 80: Breakout Sectors,Aluminum,88,66,64,19
🔹 RS ≥ 80: Breakout Sectors,Copper,85,74,49,17
🔹 RS ≥ 80: Breakout Sectors,Solar,84,81,59,16
🔹 RS ≥ 80: Breakout Sectors,Semiconductor Equipment & Materials,83,73,50,14
🕵️ Improving Watchlist (RS < 75),Electronic Components,73,67,65,51
🕵️ Improving Watchlist (RS < 75),Computer Hardware,73,71,69,43
🕵️ Improving Watchlist (RS < 75),Steel,72,60,46,37
🕵️ Improving Watchlist (RS < 75),Diagnostics & Research,64,57,42,38
🕵️ Improving Watchlist (RS < 75),Oil & Gas Refining & Marketing,61,57,52,35
🕵️ Improving Watchlist (RS < 75),Apparel Manufacturing,60,49,33,28
🕵️ Improving Watchlist (RS < 75),Oil & Gas Equipment & Services,60,48,45,32
🕵️ Improving Watchlist (RS < 75),Apparel Retail,56,46,41,30
🕵️ Improving Watchlist (RS < 75),Marine Shipping,53,52,46,24
🕵️ Improving Watchlist (RS < 75),Recreational Vehicles,53,42,40,10
🕵️ Improving Watchlist (RS < 75),Oil & Gas Drilling,53,29,28,16
🕵️ Improving Watchlist (RS < 75),Chemicals,39,38,32,24
