Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
101,GLW,255.69,21793293,Technology,Electronic Components,97.0,97.0,95.0,97.0,18.5311,15.8739,13968830.0,19262140.0,258.8,51.32,220056485888,NO,185.02,125.0,194.07,146.39,,11212,2.65,21793293,YES,NO,2002-07-31,244754000.0
102,SHAZ,81.0,1230992,Technology,Information Technology Services,97.0,83.0,98.0,,11.017,10.4634,670980.0,1537030.0,97.48,16.55,1367328000,NO,61.62,,67.83,,,91,0.0,1230992,NO,NO,2026-06-17,3956900.0
104,TTMI,186.8,3548970,Technology,Electronic Components,97.0,38.0,96.0,97.0,16.3843,14.1814,2519200.0,3554700.0,223.83,39.2,19399190528,NO,172.22,102.67,180.37,124.01,,6477,0.0,3548970,NO,NO,2016-11-17,20793200.0
107,PVLA,154.84,324187,Healthcare,Biotechnology,97.0,97.0,88.0,91.0,7.6371,7.3864,262370.0,361420.0,155.0,21.55,2220845824,NO,119.94,100.05,122.84,111.82,,2888,0.0,324187,NO,NO,2024-07-24,5845900.0
111,ASX,42.13,11163050,Technology,Semiconductors,97.0,72.0,96.0,97.0,2.7439,2.0482,9539596.0,13072890.0,44.47,9.3,92430942208,NO,35.32,21.94,36.78,26.41,,6472,0.0,11163050,YES,NO,2025-04-09,36777100.0
115,AMAT,694.64,13955235,Technology,Semiconductor Equipment & Materials,97.0,98.0,96.0,97.0,48.2979,36.6264,8261816.0,13655740.0,708.99,154.47,551515979776,NO,474.3,332.01,510.22,392.3,,11665,1.16,13955235,YES,NO,1997-10-24,245229200.0
116,TER,463.21,5071620,Technology,Semiconductor Equipment & Materials,97.0,94.0,93.0,97.0,36.3261,30.0511,4164854.0,6712050.0,472.37,88.6,72511889408,NO,381.78,263.23,387.49,315.57,,13451,0.86,5071620,NO,NO,2020-09-18,30212400.0
126,MKSI,416.0,2096717,Technology,Scientific & Technical Instruments,97.0,96.0,95.0,97.0,26.1446,20.8418,1225219.0,1574340.0,421.58,88.49,28098357248,NO,322.73,219.79,340.9,261.45,,6854,1.18,2096717,NO,NO,2017-11-21,9564400.0
128,CIEN,478.93,4062372,Technology,Communication Equipment,97.0,4.0,71.0,96.0,33.6043,33.3229,2913241.0,4078380.0,637.51,76.89,67793944576,NO,519.7,320.68,512.27,388.74,,7392,0.0,4062372,NO,NO,2011-06-08,36581000.0
132,LRCX,410.91,13704138,Technology,Semiconductor Equipment & Materials,97.0,96.0,96.0,97.0,29.9629,23.2464,10444446.0,14762610.0,414.98,90.94,513872134144,NO,313.34,218.71,330.81,257.03,,10619,1.36,13704138,YES,NO,2012-06-04,298766000.0
136,KLIC,129.12,1177691,Technology,Semiconductor Equipment & Materials,97.0,95.0,96.0,97.0,9.1971,8.5635,933066.0,1693460.0,133.41,31.32,6757220864,NO,102.64,65.47,108.48,78.34,,13451,0.0,1177691,NO,NO,2000-08-03,23567800.0
137,FORM,144.17,2168111,Technology,Semiconductor Equipment & Materials,97.0,87.0,91.0,97.0,13.7213,11.0328,1973787.0,2364780.0,159.09,26.08,11238738944,NO,135.51,85.11,134.55,104.35,,5798,2.53,2168111,NO,NO,2018-03-09,14323200.0
138,VSAT,76.69,4637701,Technology,Communication Equipment,97.0,8.0,94.0,96.0,6.1671,5.7943,2242780.0,3028440.0,89.79,14.0,10473474048,NO,68.16,47.21,69.99,53.92,,7438,8.8,4637701,NO,NO,2024-06-28,18455500.0
142,MBX,53.85,1045271,Healthcare,Biotechnology,97.0,98.0,95.0,94.0,3.7986,3.7485,728270.0,1244810.0,55.0,9.63,2563127296,NO,35.12,29.69,38.15,34.62,,448,0.62,1045271,NO,NO,2025-09-22,28303500.0
143,COHR,391.22,7544050,Technology,Scientific & Technical Instruments,97.0,73.0,93.0,96.0,39.8921,36.38,6171695.0,6076880.0,440.0,84.35,76538019840,NO,367.82,232.88,370.96,280.41,,9757,0.0,7544050,NO,NO,2026-03-20,51484800.0
