Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,LTBR,20.85,3974147,Industrials,Electrical Equipment & Parts,99.0,99.0,99.0,99.0,1595203.0,2254290.0,21.7,2.53,540318016.0,No
Leading Stocks (RS > 90),2,BE,77.33,21245286,Industrials,Electrical Equipment & Parts,99.0,99.0,94.0,97.0,10945603.0,14223510.0,86.89,9.02,18104424448.0,No
Leading Stocks (RS > 90),3,IONQ,75.06,37156558,Technology,Computer Hardware,99.0,97.0,99.0,99.0,21703626.0,36978190.0,76.13,7.5,24271087616.0,No
Leading Stocks (RS > 90),4,RKLB,52.89,37652450,Industrials,Aerospace & Defense,99.0,99.0,99.0,99.0,22909730.0,23213470.0,55.17,7.28,25596680192.0,No
Leading Stocks (RS > 90),5,PVLA,56.69,249593,Healthcare,Biotechnology,99.0,99.0,95.0,99.0,158101.0,164510.0,63.12,11.17,626972416.0,No
Leading Stocks (RS > 90),6,MNPR,67.67,75349,Healthcare,Biotechnology,99.0,99.0,99.0,99.0,49361.0,65770.0,69.65,4.12,417521248.0,No
Leading Stocks (RS > 90),7,IDCC,349.15,1358753,Technology,Software - Application,96.0,93.0,94.0,97.0,289049.0,370060.0,360.3,136.58,9006056448.0,No
Leading Stocks (RS > 90),8,SEI,38.99,6144690,Energy,Oil & Gas Equipment & Services,96.0,91.0,97.0,98.0,2013288.0,3625230.0,43.46,12.48,2635056640.0,No
Leading Stocks (RS > 90),9,ASTS,54.76,23751553,Technology,Communication Equipment,95.0,97.0,99.0,99.0,10924049.0,11792750.0,60.95,17.5,19639619584.0,No
"Top Movers (RS ≥ 85, Improving)",1,ODP,27.86,3063331,Consumer Cyclical,Specialty Retail,91.0,44.0,10.0,1.0,560847.0,1117710.0,32.21,11.85,837990464.0,No
"Top Movers (RS ≥ 85, Improving)",2,SA,21.89,1776114,Basic Materials,Gold,94.0,86.0,66.0,16.0,966784.0,2218870.0,22.74,9.4,2235605248.0,No
"Top Movers (RS ≥ 85, Improving)",3,MTSR,53.0,6395470,Healthcare,Biotechnology,97.0,84.0,57.0,24.0,1737319.0,4573790.0,54.47,12.3,5579767296.0,No
"Top Movers (RS ≥ 85, Improving)",4,EVI,33.81,38467,Industrials,Industrial Distribution,96.0,95.0,85.0,25.0,16785.0,21190.0,34.82,14.99,431419168.0,No
"Top Movers (RS ≥ 85, Improving)",5,AMX,21.32,3272488,Communication Services,Telecom Services,89.0,86.0,82.0,22.0,1902609.0,2347950.0,21.52,13.1,64283746304.0,No
"Top Movers (RS ≥ 85, Improving)",6,RMBS,102.62,3601368,Technology,Semiconductors,97.0,92.0,90.0,42.0,1626766.0,3696420.0,109.15,38.15,11041278976.0,No
