Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,IONQ,65.22,41607282,Technology,Computer Hardware,99.0,98.0,99.0,99.0,20348464.0,23329870.0,66.39,7.5,19446669312.0,No
Leading Stocks (RS > 90),2,GDS,40.14,5520915,Technology,Information Technology Services,96.0,94.0,97.0,99.0,2314240.0,3312120.0,52.5,16.93,7476073472.0,No
Leading Stocks (RS > 90),3,NCSM,49.44,17163,Energy,Oil & Gas Equipment & Services,95.0,92.0,92.0,98.0,11095.0,21770.0,51.49,16.81,125619624.0,No
Leading Stocks (RS > 90),4,ESLT,480.0,248241,Industrials,Aerospace & Defense,94.0,96.0,97.0,98.0,130864.0,94370.0,510.58,188.53,22248681472.0,No
Leading Stocks (RS > 90),5,SRAD,28.84,2960454,Technology,Software - Application,94.0,97.0,97.0,98.0,1908388.0,1570250.0,32.22,11.72,8542644224.0,No
Leading Stocks (RS > 90),6,SEI,33.29,3413067,Energy,Oil & Gas Equipment & Services,93.0,94.0,97.0,98.0,1817474.0,2644970.0,39.02,12.48,2249834240.0,No
"Top Movers (RS ≥ 85, Improving)",1,WBTN,21.0,2606458,Communication Services,Internet Content & Information,98.0,94.0,5.0,2.0,851654.0,1713650.0,21.99,6.75,2742773760.0,No
"Top Movers (RS ≥ 85, Improving)",2,TRML,47.7,1532059,Healthcare,Biotechnology,98.0,94.0,20.0,12.0,676224.0,3237440.0,47.75,11.56,1225522688.0,No
"Top Movers (RS ≥ 85, Improving)",3,HUT,37.74,8557314,Financial Services,Capital Markets,98.0,92.0,79.0,17.0,5675341.0,6209090.0,38.35,10.04,3981571328.0,No
"Top Movers (RS ≥ 85, Improving)",4,RKT,21.18,31969906,Financial Services,Mortgage Finance,92.0,91.0,63.0,37.0,21199341.0,28259650.0,22.55,10.06,44704325632.0,No
"Top Movers (RS ≥ 85, Improving)",5,NVMI,295.71,568045,Technology,Semiconductor Equipment & Materials,92.0,85.0,83.0,44.0,342995.0,618620.0,304.78,154.0,8760535040.0,No
"Top Movers (RS ≥ 85, Improving)",6,LITE,163.34,4692439,Technology,Communication Equipment,98.0,96.0,94.0,77.0,2971482.0,4490570.0,171.87,45.65,11417465856.0,No
