Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Oil & Gas Drilling,95,92,86,96
🔹 RS > 80: Leading Sectors,Semiconductors,91,88,94,91
🔹 RS ≥ 80: Breakout Sectors,Copper,88,27,20,80
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,86,29,21,73
🔹 RS ≥ 80: Breakout Sectors,Uranium,80,9,11,66
🔹 RS ≥ 80: Breakout Sectors,Real Estate - Diversified,80,22,38,81
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,66,63,58,53
