Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
258,INOD,88.19,1769920.0,Technology,Information Technology Services,97.0,99.0,98.0,93.0,1624906.0,5012580.0,114.77,33.77,2879876096.0,No,,50.44,55.79,55.73,54.73
263,IMOS,49.0,103892.0,Technology,Semiconductors,97.0,92.0,95.0,94.0,70678.0,118810.0,61.27,15.06,1703774336.0,No,,43.95,30.98,45.0,36.87
268,VRT,322.63,8602050.0,Industrials,Electrical Equipment & Parts,97.0,77.0,94.0,96.0,7552942.0,5542810.0,379.94,101.0,123925020672.0,No,,299.77,204.99,305.6,231.04
297,ACMR,66.45,1757145.0,Technology,Semiconductor Equipment & Materials,96.0,98.0,65.0,97.0,1330045.0,2050370.0,71.65,21.87,4592325120.0,No,,50.32,43.23,52.11,48.12
303,NWPX,107.2,168290.0,Basic Materials,Steel,96.0,97.0,96.0,96.0,137034.0,143970.0,114.27,37.99,1033087232.0,No,,87.84,66.91,91.52,74.6
310,MTZ,385.0,1122248.0,Industrials,Engineering & Construction,96.0,81.0,96.0,97.0,1001400.0,1078160.0,441.43,145.46,30422145024.0,No,,359.74,253.37,369.27,281.23
316,ALAB,244.26,9381744.0,Technology,Semiconductors,96.0,98.0,98.0,95.0,5212637.0,6165300.0,262.9,84.78,41868099584.0,No,,163.11,168.54,176.1,161.01
325,COHU,42.77,1856728.0,Technology,Semiconductor Equipment & Materials,96.0,30.0,95.0,97.0,981073.0,1183820.0,52.43,16.46,2017689600.0,No,,38.69,27.78,40.22,30.97
342,BELFB,249.71,320580.0,Technology,Electronic Components,96.0,41.0,85.0,95.0,218019.0,389290.0,308.27,69.0,3551552256.0,No,,240.45,185.73,246.69,206.07
360,KEYS,344.11,3796343.0,Technology,Scientific & Technical Instruments,96.0,77.0,95.0,97.0,1532186.0,1369580.0,370.18,152.85,59015720960.0,No,2026-05-19,320.65,227.63,325.91,254.18
362,AMAT,406.91,7615545.0,Technology,Semiconductor Equipment & Materials,96.0,82.0,82.0,96.0,6826950.0,9090500.0,448.45,153.47,322927788032.0,No,,383.94,283.51,392.42,325.61
369,THR,63.42,738218.0,Industrials,Specialty Industrial Machinery,96.0,94.0,92.0,96.0,645122.0,770460.0,71.24,23.86,2084585984.0,No,2026-05-19,55.44,40.04,56.71,46.39
380,SEDG,54.53,4277138.0,Technology,Solar,96.0,98.0,96.0,93.0,4002378.0,5752570.0,63.53,13.73,3316416256.0,No,,44.51,36.66,47.86,38.62
384,LSCC,124.24,3006597.0,Technology,Semiconductors,96.0,84.0,92.0,97.0,1990740.0,2807480.0,130.0,43.9,17021855744.0,No,,108.11,83.25,111.25,90.56
393,TWN,88.93,52946.0,Financial Services,Asset Management,95.0,90.0,95.0,94.0,33426.0,30940.0,99.77,36.0,510610848.0,No,,77.96,61.08,80.56,65.5
397,JAZZ,237.45,1172589.0,Healthcare,Biotechnology,95.0,94.0,95.0,95.0,1008165.0,1068550.0,238.55,105.0,14898282496.0,No,,199.97,163.0,203.91,178.95
404,TWLO,195.95,2510404.0,Technology,Software - Infrastructure,95.0,98.0,98.0,94.0,2397193.0,2870620.0,203.71,91.84,29740087296.0,No,,147.83,125.76,155.59,136.29
408,IESC,639.44,233167.0,Industrials,Engineering & Construction,95.0,94.0,93.0,96.0,214860.0,211790.0,700.2,235.99,12740130816.0,No,,549.56,442.48,570.75,477.2
414,PDFS,42.57,597138.0,Technology,Software - Application,95.0,37.0,93.0,95.0,554262.0,1386980.0,56.46,17.35,1782308864.0,No,,39.89,30.45,41.37,33.94
418,KALU,163.0,261578.0,Basic Materials,Aluminum,95.0,88.0,88.0,96.0,258063.0,201890.0,183.0,68.22,2663518720.0,No,,146.12,111.83,150.84,127.25
425,SYNA,123.64,984790.0,Technology,Semiconductors,95.0,98.0,96.0,97.0,807231.0,1236820.0,134.27,57.54,4777163264.0,No,,87.69,77.4,93.56,82.66
438,ENS,217.41,424440.0,Industrials,Electrical Equipment & Parts,95.0,89.0,91.0,94.0,363609.0,393950.0,239.69,76.6,8011857920.0,No,,194.6,150.78,201.0,170.58
448,MTRN,194.0,346392.0,Basic Materials,Other Industrial Metals & Mining,95.0,88.0,92.0,95.0,249781.0,296430.0,215.62,73.61,4035488000.0,No,,167.97,137.69,174.04,147.5
449,CAT,860.15,2664391.0,Industrials,Farm & Heavy Construction Machinery,95.0,88.0,86.0,94.0,2531124.0,2541920.0,931.35,336.24,396178194432.0,No,,788.91,619.33,804.52,691.69
450,PWR,714.13,1419484.0,Industrials,Engineering & Construction,95.0,95.0,94.0,95.0,1141283.0,1322970.0,788.75,320.56,107162451968.0,No,,630.4,489.28,644.94,531.52
452,ECPG,80.51,410756.0,Financial Services,Credit Services,95.0,39.0,95.0,94.0,352259.0,458540.0,92.64,35.67,1726274816.0,No,,76.54,56.46,77.73,63.04
453,NVT,158.23,2408371.0,Industrials,Electrical Equipment & Parts,95.0,94.0,94.0,92.0,2313762.0,2105000.0,175.0,63.15,25589026816.0,No,,136.58,111.67,141.48,119.8
454,ARM,223.15,10997831.0,Technology,Semiconductors,95.0,97.0,98.0,94.0,8142647.0,12254540.0,239.5,100.02,237431275520.0,No,,171.94,144.83,183.28,144.81
462,SHAZ,52.48,926375.0,Technology,Information Technology Services,95.0,98.0,,,314395.0,617460.0,60.75,16.55,853928960.0,No,,35.84,,38.51,
466,GHM,92.95,242631.0,Industrials,Specialty Industrial Machinery,95.0,69.0,87.0,94.0,141824.0,197550.0,103.53,35.85,1029214848.0,No,,89.61,69.39,90.74,76.82
475,GOOGL,387.66,38640994.0,Communication Services,Internet Content & Information,95.0,93.0,93.0,91.0,28976844.0,25421760.0,408.61,162.0,4696673091584.0,No,,336.34,293.32,344.54,321.62
477,MOD,244.49,1681894.0,Consumer Cyclical,Auto Parts,95.0,33.0,84.0,96.0,1012377.0,1063400.0,294.06,86.48,12892250112.0,No,,236.95,176.84,242.23,191.36
