Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,REIT - Hotel & Motel,91,93,92,91
🔹 RS > 80: Leading Sectors,Textile Manufacturing,90,93,95,84
🕵️ Improving Watchlist (RS < 75),Biotechnology,68,64,60,56
