Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
6,SNDK,2090.71,16567766,Technology,Computer Hardware,99.0,97.0,99.0,99.0,217.247,166.3588,14124222.0,11391130.0,2354.39,40.1,,309612740608,No,1521.57,664.52,1613.54,889.09
12,AGL,119.25,637506,Healthcare,Medical Care Facilities,99.0,98.0,99.0,99.0,10.8944,10.8323,430630.0,311700.0,119.25,7.48,,1989541504,No,73.18,32.41,81.32,38.6
16,MXL,96.6,7470681,Technology,Semiconductors,99.0,22.0,99.0,99.0,9.1857,8.5364,4757322.0,3001100.0,106.28,12.77,,8650139648,No,79.04,32.65,87.25,41.4
23,MU,1132.33,84431604,Technology,Semiconductors,99.0,96.0,99.0,99.0,107.1772,78.6623,51577108.0,56595390.0,1255.0,103.38,,1278845648896,No,802.14,425.84,834.43,522.55
46,ORKA,90.6,4732649,Healthcare,Biotechnology,99.0,99.0,97.0,98.0,5.5036,4.86,1686782.0,1652170.0,91.12,10.83,,5464275968,No,66.87,40.45,67.02,47.44
47,VICR,326.93,4158203,Technology,Electronic Components,99.0,19.0,98.0,99.0,28.155,24.7329,833496.0,678390.0,369.4,41.76,,14901928960,No,288.65,162.4,290.8,197.91
52,ICHR,94.0,2556128,Technology,Semiconductor Equipment & Materials,99.0,97.0,98.0,99.0,8.3043,7.0164,1002627.0,1146800.0,101.65,13.12,,3277502976,No,74.16,40.37,76.58,49.84
55,DFTX,44.95,9633533,Healthcare,Biotechnology,99.0,99.0,98.0,99.0,3.5294,2.5494,2570140.0,5742570.0,47.01,6.4,,5966809600,No,24.52,17.07,25.16,19.44
58,LITE,816.98,8542953,Technology,Communication Equipment,99.0,13.0,78.0,97.0,75.8979,70.1311,6018140.0,5477370.0,1085.68,88.37,,63561043968,No,903.65,530.04,896.01,662.09
60,DD,137.22,1487249,Basic Materials,Specialty Chemicals,99.0,99.0,99.0,99.0,9.8993,3.0,1222971.0,1527890.0,157.98,85.02,,18527363072,No,58.78,45.47,66.36,51.95
61,STX,899.9,9175598,Technology,Computer Hardware,99.0,75.0,98.0,99.0,85.5014,73.1136,4143516.0,5243250.0,1145.0,138.3,,203604279296,No,810.4,442.45,833.25,527.84
62,UCTT,118.82,2602750,Technology,Semiconductor Equipment & Materials,99.0,97.0,98.0,99.0,9.9193,8.1968,1115459.0,1315260.0,125.0,21.28,,5326504960,No,89.65,52.07,93.13,63.06
63,VPG,127.82,591789,Technology,Scientific & Technical Instruments,99.0,68.0,99.0,99.0,12.0279,11.3671,469624.0,556530.0,148.39,25.58,,1700133760,No,99.59,54.82,105.07,64.45
70,PRAX,327.79,1708108,Healthcare,Biotechnology,99.0,14.0,57.0,80.0,18.4734,17.8541,460008.0,568150.0,366.52,37.19,,9138383872,No,314.75,252.07,316.58,307.11
72,VSH,56.35,6809767,Technology,Semiconductors,99.0,92.0,99.0,99.0,6.6407,5.84,5805253.0,7450450.0,69.47,11.77,,7669562880,No,44.35,23.67,46.64,27.56
73,HUT,123.02,11523319,Financial Services,Capital Markets,99.0,78.0,98.0,98.0,10.901,10.6596,4717774.0,3776960.0,140.8,17.42,,13851327488,No,103.51,62.11,106.41,70.66
77,SYRE,87.89,3406107,Healthcare,Biotechnology,99.0,95.0,97.0,98.0,6.2379,5.1071,1339054.0,2027650.0,102.06,14.0,,7632477696,No,75.95,42.77,76.73,51.92
