Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
4,SNDK,1562.34,19524383.0,Technology,Computer Hardware,99.0,98.0,99.0,99.0,18122832.0,16409110.0,1564.0,35.79,231366557696.0,No,,837.6,386.82,872.81,523.98
6,AXTI,116.36,12357394.0,Technology,Semiconductor Equipment & Materials,99.0,98.0,99.0,99.0,11705670.0,12409740.0,129.43,1.24,7612641792.0,No,,63.89,24.18,68.42,33.74
16,MXL,99.83,7740398.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,2920064.0,10020700.0,101.3,10.96,8939373568.0,No,,31.44,20.43,36.84,23.74
21,LITE,903.8,6681521.0,Technology,Communication Equipment,99.0,42.0,97.0,99.0,6240817.0,6133280.0,1021.0,63.98,70315638784.0,No,,788.21,400.01,794.36,507.88
22,AAOI,148.94,20609844.0,Technology,Communication Equipment,99.0,82.0,99.0,99.0,11039496.0,10371280.0,191.87,12.56,11922298880.0,No,,125.36,54.85,128.67,67.58
23,BE,261.03,13465348.0,Industrials,Electrical Equipment & Parts,99.0,98.0,98.0,96.0,10494533.0,10880870.0,302.99,17.01,74248380416.0,No,,186.94,120.69,186.6,144.13
24,AEHR,97.23,3798616.0,Technology,Semiconductor Equipment & Materials,99.0,96.0,99.0,99.0,2787522.0,2908200.0,103.83,8.17,3058200064.0,No,,60.34,33.9,62.31,37.89
37,INBX,134.35,371175.0,Healthcare,Biotechnology,99.0,98.0,96.0,94.0,321353.0,514330.0,155.29,10.84,1962488960.0,No,,85.94,64.24,87.65,79.98
38,MU,746.81,63166598.0,Technology,Semiconductors,99.0,98.0,98.0,99.0,42020083.0,44785520.0,747.21,84.68,842203070464.0,No,,448.96,290.6,460.42,356.39
46,INTC,124.92,222288356.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,107289332.0,175878050.0,130.57,18.97,627847921664.0,No,,62.11,42.34,66.45,49.71
51,STX,782.64,4314257.0,Technology,Computer Hardware,99.0,97.0,98.0,99.0,3950245.0,5934710.0,802.0,95.63,175490580480.0,No,,496.16,321.42,510.39,378.86
62,HUT,98.46,5281697.0,Financial Services,Capital Markets,99.0,97.0,98.0,97.0,4746111.0,5701020.0,111.33,13.48,11086016512.0,No,,62.58,46.91,63.17,53.86
65,STRO,40.24,234793.0,Healthcare,Biotechnology,99.0,97.0,99.0,99.0,210791.0,254570.0,41.88,6.7,666691776.0,No,,27.89,14.98,28.38,17.6
68,BAND,49.89,863341.0,Technology,Software - Infrastructure,99.0,99.0,99.0,99.0,681603.0,1717320.0,50.0,12.5,1597343488.0,No,,22.0,16.65,24.02,17.73
