Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Utilities - Independent Power Producers,93,86,84,93
🔹 RS > 80: Leading Sectors,Gold,87,88,85,81
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,94,86,66,59
🔹 RS ≥ 80: Breakout Sectors,Uranium,82,72,37,38
🕵️ Improving Watchlist (RS < 75),Auto Parts,67,64,48,37
🕵️ Improving Watchlist (RS < 75),Industrial Distribution,63,61,44,41
🕵️ Improving Watchlist (RS < 75),Food Distribution,60,59,58,53
🕵️ Improving Watchlist (RS < 75),Other Industrial Metals & Mining,58,50,48,44
🕵️ Improving Watchlist (RS < 75),Marine Shipping,48,33,21,18
🕵️ Improving Watchlist (RS < 75),Lumber & Wood Production,22,16,15,14
