Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),1,WOLF,69.96,17649490.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,3921626.0,11713400.0,73.74,8.05,3381801984.0,No,,26.29,,29.93,22.83
Leading Stocks (RS > 90),2,POET,20.57,117120889.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,27173768.0,57447310.0,20.81,3.87,3141268992.0,No,2026-05-14,8.06,6.61,9.23,7.24
Leading Stocks (RS > 90),3,MRAM,40.63,6837166.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,1962698.0,9589750.0,51.5,5.49,952675008.0,No,,14.33,10.63,16.17,12.23
Leading Stocks (RS > 90),4,FCEL,21.6,12849602.0,Industrials,Electrical Equipment & Parts,99.0,99.0,99.0,99.0,4276493.0,11553730.0,22.31,3.78,1144321920.0,No,,9.35,7.85,10.0,8.61
Leading Stocks (RS > 90),5,VPG,100.34,1160724.0,Technology,Scientific & Technical Instruments,98.0,99.0,98.0,99.0,267508.0,502000.0,105.17,24.89,1334622336.0,No,,52.86,40.71,55.95,45.85
Leading Stocks (RS > 90),6,BRUN,26.04,2918204.0,Technology,Software - Infrastructure,97.0,99.0,98.0,97.0,500045.0,890120.0,26.21,10.1,1270196608.0,No,,13.77,12.17,14.85,12.89
Leading Stocks (RS > 90),7,NBTX,55.07,142426.0,Healthcare,Biotechnology,99.0,98.0,98.0,98.0,72447.0,115170.0,57.0,3.6,2670647808.0,No,,34.71,22.78,35.65,26.98
Leading Stocks (RS > 90),8,NBIS,221.15,29244903.0,Communication Services,Internet Content & Information,99.0,96.0,99.0,97.0,16565888.0,18103200.0,233.73,34.72,56149581824.0,No,,138.13,105.01,144.22,112.16
Leading Stocks (RS > 90),9,SILC,50.98,261131.0,Technology,Communication Equipment,98.0,99.0,99.0,99.0,82193.0,225830.0,52.58,13.34,290899104.0,No,,27.47,19.33,29.95,20.92
Leading Stocks (RS > 90),10,AIP,37.34,1647923.0,Technology,Semiconductors,98.0,99.0,99.0,98.0,631954.0,1148460.0,38.47,6.88,1724061952.0,No,,21.62,15.49,23.08,17.89
Leading Stocks (RS > 90),11,QUIK,20.62,765683.0,Technology,Semiconductors,98.0,98.0,99.0,99.0,390775.0,880060.0,22.69,4.8,365468896.0,No,,12.37,8.04,13.08,9.13
Leading Stocks (RS > 90),12,ELVR,83.24,142092.0,Basic Materials,Other Industrial Metals & Mining,98.0,95.0,95.0,98.0,84326.0,78770.0,101.5,15.54,1508428800.0,No,,68.87,,71.22,54.06
Leading Stocks (RS > 90),13,MOVE,20.92,126878.0,Technology,Software - Infrastructure,98.0,97.0,98.0,97.0,79158.0,66990.0,25.68,3.44,1396115328.0,No,,13.04,8.09,13.6,9.51
Leading Stocks (RS > 90),14,STRZ,21.93,533344.0,Communication Services,Entertainment,97.0,96.0,99.0,97.0,174093.0,145450.0,23.58,8.4,368190752.0,No,,16.0,12.86,16.48,12.76
Leading Stocks (RS > 90),15,PENG,49.44,4142295.0,Technology,Information Technology Services,97.0,99.0,99.0,98.0,1787670.0,4291700.0,53.27,16.04,2598574080.0,No,,25.63,22.84,27.82,22.62
Leading Stocks (RS > 90),16,AMBQ,73.3,1024595.0,Technology,Semiconductors,97.0,99.0,99.0,98.0,452655.0,930740.0,73.32,22.12,1566842880.0,No,,33.56,32.16,35.88,31.64
Leading Stocks (RS > 90),17,VSH,37.99,5182941.0,Technology,Semiconductors,97.0,98.0,98.0,98.0,2810781.0,5631530.0,40.07,11.77,5170637824.0,No,,23.51,17.98,24.79,19.27
Leading Stocks (RS > 90),18,LGN,89.0,3000190.0,Industrials,Engineering & Construction,97.0,95.0,97.0,98.0,1604372.0,1666880.0,107.24,26.96,14618017792.0,No,2026-05-14,68.72,,70.95,54.09
Leading Stocks (RS > 90),19,ASRT,23.32,721289.0,Healthcare,Drug Manufacturers - Specialty & Generic,96.0,95.0,98.0,95.0,246265.0,672360.0,23.36,8.61,150698032.0,No,,17.54,13.19,18.19,13.58
Leading Stocks (RS > 90),20,KGS,74.23,6366153.0,Energy,Oil & Gas Equipment & Services,95.0,92.0,94.0,97.0,1381865.0,1839520.0,76.68,30.06,6589473280.0,No,,62.27,43.86,62.89,47.96
Leading Stocks (RS > 90),21,ALMU,26.65,5192522.0,Technology,Semiconductors,95.0,98.0,97.0,96.0,1352231.0,2129200.0,31.79,10.2,481013984.0,No,,17.42,17.28,17.64,16.66
