Section,Type,Ticker,Price,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile,Sector,Industry,Rank
🔸 RS ≥ 85: Top Movers,Stock,GHLD,19.86,94,93.0,43.0,12.0,Financial Services,Mortgage Finance,528
🔸 RS ≥ 85: Top Movers,Stock,SLVR,32.68,93,92.0,86.0,48.0,ETF,ETF,529
🔸 RS ≥ 85: Top Movers,Stock,DLTR,113.73,93,90.0,44.0,8.0,Consumer Defensive,Discount Stores,563
🔸 RS ≥ 85: Top Movers,Stock,RYAAY,61.99,93,90.0,73.0,28.0,Industrials,Airlines,571
🔸 RS ≥ 85: Top Movers,Stock,MRUS,65.79,93,81.0,43.0,9.0,Healthcare,Biotechnology,584
🔸 RS ≥ 85: Top Movers,Stock,RILYG,17.09,93,18.0,8.0,3.0,,,598
🔸 RS ≥ 85: Top Movers,Stock,MTW,13.13,92,91.0,9.0,7.0,Industrials,Farm & Heavy Construction Machinery,632
🔸 RS ≥ 85: Top Movers,Stock,CX,8.37,92,79.0,39.0,15.0,Basic Materials,Building Materials,639
🔸 RS ≥ 85: Top Movers,Stock,AMD,165.76,92,80.0,7.0,5.0,Technology,Semiconductors,644
🔸 RS ≥ 85: Top Movers,Stock,ATRA,11.56,92,40.0,11.0,4.0,Healthcare,Biotechnology,653
🔸 RS ≥ 85: Top Movers,Stock,TEL,204.21,92,82.0,51.0,38.0,Technology,Electronic Components,666
🔸 RS ≥ 85: Top Movers,Stock,SHG,50.4,92,90.0,36.0,17.0,Financial Services,Banks - Regional,672
🔸 RS ≥ 85: Top Movers,Stock,RCMT,26.08,92,91.0,20.0,11.0,Industrials,Conglomerates,681
🔸 RS ≥ 85: Top Movers,Stock,VNM,16.33,92,75.0,72.0,18.0,ETF,ETF,686
🔸 RS ≥ 85: Top Movers,Stock,SIMO,74.35,91,90.0,11.0,10.0,Technology,Semiconductors,707
🔸 RS ≥ 85: Top Movers,Stock,ECNS,35.17,91,87.0,86.0,52.0,ETF,ETF,710
🔸 RS ≥ 85: Top Movers,Stock,CHN,15.95,91,89.0,83.0,73.0,Financial Services,Asset Management,712
🔸 RS ≥ 85: Top Movers,Stock,SMCL,20.05,91,82.0,8.0,1.0,ETF,ETF,736
🔸 RS ≥ 85: Top Movers,Stock,EDC,41.62,91,86.0,36.0,21.0,ETF,ETF,759
🔸 RS ≥ 85: Top Movers,Stock,GMS,109.54,91,88.0,15.0,14.0,Industrials,Building Products & Equipment,768
🔸 RS ≥ 85: Top Movers,Stock,GAMR,87.52,91,90.0,84.0,76.0,ETF,ETF,773
🔸 RS ≥ 85: Top Movers,Stock,ULTA,510.36,91,85.0,58.0,53.0,Consumer Cyclical,Specialty Retail,783
🔸 RS ≥ 85: Top Movers,Stock,SRI,7.91,91,12.0,1.0,0.0,Consumer Cyclical,Auto Parts,791
🔸 RS ≥ 85: Top Movers,Stock,HLF,9.73,90,48.0,47.0,2.0,Consumer Defensive,Packaged Foods,798
🔸 RS ≥ 85: Top Movers,Stock,QXO,21.89,90,89.0,4.0,1.0,Technology,Software - Application,803
🔸 RS ≥ 85: Top Movers,Stock,BA,230.74,90,85.0,82.0,48.0,Industrials,Aerospace & Defense,804
🔸 RS ≥ 85: Top Movers,Stock,REMX,54.95,90,32.0,21.0,9.0,ETF,ETF,807
🔸 RS ≥ 85: Top Movers,Stock,RAPT,12.8,90,3.0,1.0,0.0,Healthcare,Biotechnology,827
🔸 RS ≥ 85: Top Movers,Stock,EVI,24.96,90,80.0,20.0,8.0,Industrials,Industrial Distribution,836
🔸 RS ≥ 85: Top Movers,Stock,VNAM,20.17,90,68.0,56.0,19.0,ETF,ETF,840
🔸 RS ≥ 85: Top Movers,Stock,GRFS,10.07,90,84.0,46.0,9.0,Healthcare,Drug Manufacturers - General,850
🔸 RS ≥ 85: Top Movers,Stock,CVI,27.31,90,89.0,14.0,6.0,Energy,Oil & Gas Refining & Marketing,861
🔸 RS ≥ 85: Top Movers,Stock,NUS,8.83,90,55.0,10.0,3.0,Consumer Defensive,Household & Personal Products,873
🔸 RS ≥ 85: Top Movers,Stock,MUX,11.52,90,80.0,14.0,12.0,Basic Materials,Other Precious Metals & Mining,875
🔸 RS ≥ 85: Top Movers,Stock,SMCI,52.31,89,87.0,18.0,1.0,Technology,Computer Hardware,887
🔸 RS ≥ 85: Top Movers,Stock,VC,113.9,89,60.0,16.0,5.0,Consumer Cyclical,Auto Parts,908
🔸 RS ≥ 85: Top Movers,Stock,DMAT,19.38,89,78.0,40.0,17.0,ETF,ETF,923
🔸 RS ≥ 85: Top Movers,Stock,RTX,155.19,89,86.0,83.0,82.0,Industrials,Aerospace & Defense,939
🔸 RS ≥ 85: Top Movers,Stock,LI,29.53,89,86.0,76.0,12.0,Consumer Cyclical,Auto Manufacturers,943
🔸 RS ≥ 85: Top Movers,Stock,SCHW,97.17,89,87.0,85.0,84.0,Financial Services,Capital Markets,945
🔸 RS ≥ 85: Top Movers,Stock,AGQ,54.83,89,85.0,83.0,79.0,ETF,ETF,950
🔸 RS ≥ 85: Top Movers,Stock,TRS,31.38,89,84.0,28.0,16.0,Consumer Cyclical,Packaging & Containers,955
🔸 RS ≥ 85: Top Movers,Stock,SHLS,5.64,89,62.0,6.0,3.0,Technology,Solar,957
🔸 RS ≥ 85: Top Movers,Stock,FCA,25.81,89,83.0,80.0,50.0,ETF,ETF,959
🔸 RS ≥ 85: Top Movers,Stock,SETM,20.42,89,76.0,18.0,10.0,ETF,ETF,963
🔸 RS ≥ 85: Top Movers,Stock,XME,77.13,89,82.0,33.0,20.0,ETF,ETF,965
🔸 RS ≥ 85: Top Movers,Stock,MYE,14.96,88,85.0,10.0,5.0,Consumer Cyclical,Packaging & Containers,972
🔸 RS ≥ 85: Top Movers,Stock,KURE,18.93,88,83.0,82.0,19.0,ETF,ETF,983
🔸 RS ≥ 85: Top Movers,Stock,PLAY,32.0,88,85.0,3.0,1.0,Communication Services,Entertainment,985
🔸 RS ≥ 85: Top Movers,Stock,GSL,29.0,88,69.0,32.0,14.0,Industrials,Marine Shipping,989
🔸 RS ≥ 85: Top Movers,Stock,GOLF,82.08,88,72.0,65.0,48.0,Consumer Cyclical,Leisure,1007
🔸 RS ≥ 85: Top Movers,Stock,ION,33.74,88,68.0,33.0,12.0,ETF,ETF,1016
🔸 RS ≥ 85: Top Movers,Stock,WYNN,108.16,88,66.0,31.0,16.0,Consumer Cyclical,Resorts & Casinos,1022
🔸 RS ≥ 85: Top Movers,Stock,NOAH,12.48,87,84.0,23.0,19.0,Financial Services,Asset Management,1056
🔸 RS ≥ 85: Top Movers,Stock,REX,53.91,87,85.0,21.0,10.0,Basic Materials,Chemicals,1059
🔸 RS ≥ 85: Top Movers,Stock,BSY,58.35,87,84.0,24.0,15.0,Technology,Software - Application,1070
🔸 RS ≥ 85: Top Movers,Stock,HYDR,25.39,87,49.0,10.0,9.0,ETF,ETF,1086
🔸 RS ≥ 85: Top Movers,Stock,CTEC,8.45,87,45.0,13.0,7.0,ETF,ETF,1111
🔸 RS ≥ 85: Top Movers,Stock,IDXX,551.41,87,85.0,46.0,10.0,Healthcare,Diagnostics & Research,1114
🔸 RS ≥ 85: Top Movers,Stock,VERB,8.47,87,43.0,1.0,0.0,Technology,Software - Application,1131
🔸 RS ≥ 85: Top Movers,Stock,SFST,43.8,87,84.0,81.0,66.0,Financial Services,Banks - Regional,1135
🔸 RS ≥ 85: Top Movers,Stock,SCHL,25.66,86,16.0,8.0,2.0,Communication Services,Publishing,1150
🔸 RS ≥ 85: Top Movers,Stock,VOD,11.34,86,84.0,83.0,17.0,Communication Services,Telecom Services,1158
🔸 RS ≥ 85: Top Movers,Stock,FRNW,17.3,86,75.0,39.0,12.0,ETF,ETF,1162
🔸 RS ≥ 85: Top Movers,Stock,COPJ,26.49,86,85.0,73.0,9.0,ETF,ETF,1163
🔸 RS ≥ 85: Top Movers,Stock,PALL,112.15,86,84.0,38.0,25.0,ETF,ETF,1165
🔸 RS ≥ 85: Top Movers,Stock,TAYD,45.99,86,68.0,10.0,4.0,Industrials,Specialty Industrial Machinery,1169
🔸 RS ≥ 85: Top Movers,Stock,EET,67.57,86,83.0,55.0,28.0,ETF,ETF,1181
🔸 RS ≥ 85: Top Movers,Stock,JBGS,19.33,86,73.0,26.0,17.0,Real Estate,REIT - Office,1209
🔸 RS ≥ 85: Top Movers,Stock,EWH,20.72,86,84.0,79.0,31.0,ETF,ETF,1217
🔸 RS ≥ 85: Top Movers,Stock,HDSN,8.35,86,85.0,28.0,2.0,Basic Materials,Specialty Chemicals,1222
🔸 RS ≥ 85: Top Movers,Stock,SIG,84.03,85,73.0,13.0,2.0,Consumer Cyclical,Luxury Goods,1245
🔸 RS ≥ 85: Top Movers,Stock,DRAI,28.72,85,83.0,38.0,17.0,ETF,ETF,1258
🔸 RS ≥ 85: Top Movers,Stock,FHTX,6.38,85,28.0,14.0,4.0,Healthcare,Biotechnology,1266
🔸 RS ≥ 85: Top Movers,Stock,DELL,129.15,85,79.0,16.0,15.0,Technology,Computer Hardware,1307
🔸 RS ≥ 85: Top Movers,Stock,IPOS,15.78,85,79.0,77.0,44.0,ETF,ETF,1311
🔹 Breakout: New Leader,Stock,SBDS,16.29,99,3.0,0.0,1.0,,,9
🔹 Breakout: New Leader,Stock,NEGG,34.03,99,96.0,0.0,1.0,Consumer Cyclical,Internet Retail,10
🔹 Breakout: New Leader,Stock,SBET,22.86,99,97.0,0.0,1.0,Consumer Cyclical,Gambling,20
🔹 Breakout: New Leader,Stock,QNTM,22.75,99,99.0,96.0,0.0,Healthcare,Biotechnology,26
🔹 Breakout: New Leader,Stock,DDC,17.25,99,98.0,0.0,0.0,Consumer Defensive,Packaged Foods,29
🔹 Breakout: New Leader,Stock,QBTX,110.7,99,99.0,17.0,99.0,ETF,ETF,35
🔹 Breakout: New Leader,Stock,ZEPP,11.52,99,11.0,31.0,8.0,Technology,Consumer Electronics,36
🔹 Breakout: New Leader,Stock,MB,14.45,99,98.0,13.0,99.0,Consumer Cyclical,Restaurants,38
🔹 Breakout: New Leader,Stock,NVTS,9.04,99,99.0,3.0,10.0,Technology,Semiconductors,45
🔹 Breakout: New Leader,Stock,VIGL,8.06,99,99.0,6.0,3.0,Healthcare,Biotechnology,46
🔹 Breakout: New Leader,Stock,QSG,9.5,99,99.0,99.0,7.0,Consumer Defensive,Education & Training Services,47
🔹 Breakout: New Leader,Stock,BTM,5.17,99,99.0,33.0,14.0,Financial Services,Capital Markets,48
🔹 Breakout: New Leader,Stock,HYPD,8.28,99,99.0,0.0,0.0,Healthcare,Biotechnology,49
🔹 Breakout: New Leader,Stock,VVPR,5.13,99,98.0,99.0,8.0,Technology,Solar,59
🔹 Breakout: New Leader,Stock,TZUP,13.63,99,96.0,88.0,3.0,Communication Services,Advertising Agencies,60
🔹 Breakout: New Leader,Stock,OCG,5.52,99,99.0,99.0,13.0,Consumer Cyclical,Internet Retail,68
🔹 Breakout: New Leader,Stock,OUST,27.33,99,99.0,14.0,90.0,Technology,Electronic Components,70
🔹 Breakout: New Leader,Stock,TAOX,8.49,99,96.0,5.0,10.0,Technology,Software - Infrastructure,72
🔹 Breakout: New Leader,Stock,SGMT,10.63,99,99.0,15.0,10.0,Healthcare,Biotechnology,73
🔹 Breakout: New Leader,Stock,PAYS,8.2,99,99.0,6.0,2.0,Technology,Software - Infrastructure,74
🔹 Breakout: New Leader,Stock,PGY,31.84,99,97.0,85.0,4.0,Technology,Software - Infrastructure,75
🔹 Breakout: New Leader,Stock,AMUU,45.2,99,98.0,41.0,99.0,ETF,ETF,76
🔹 Breakout: New Leader,Stock,TNGX,6.73,99,97.0,0.0,0.0,Healthcare,Biotechnology,79
🔹 Breakout: New Leader,Stock,MEIP,6.4,99,62.0,6.0,7.0,Healthcare,Biotechnology,80
🔹 Breakout: New Leader,Stock,PRPO,14.21,98,98.0,40.0,78.0,Healthcare,Diagnostics & Research,90
🔹 Breakout: New Leader,Stock,QS,11.31,98,96.0,7.0,11.0,Consumer Cyclical,Auto Parts,92
🔹 Breakout: New Leader,Stock,SOGP,5.43,98,98.0,53.0,49.0,Communication Services,Internet Content & Information,94
🔹 Breakout: New Leader,Stock,ONEG,6.07,98,97.0,4.0,4.0,Industrials,Engineering & Construction,96
🔹 Breakout: New Leader,Stock,LAYS,40.95,98,97.0,18.0,98.0,ETF,ETF,98
🔹 Breakout: New Leader,Stock,GRPN,32.94,98,99.0,98.0,11.0,Communication Services,Internet Content & Information,101
🔹 Breakout: New Leader,Stock,CAR,208.25,98,98.0,54.0,12.0,Industrials,Rental & Leasing Services,106
🔹 Breakout: New Leader,Stock,BKSY,19.91,98,99.0,23.0,97.0,Industrials,Specialty Business Services,108
🔹 Breakout: New Leader,Stock,SRFM,5.53,98,95.0,26.0,96.0,Industrials,Airlines,110
🔹 Breakout: New Leader,Stock,PHOE,9.51,98,98.0,13.0,98.0,Industrials,Engineering & Construction,113
🔹 Breakout: New Leader,Stock,PVLA,38.6,98,93.0,98.0,8.0,Healthcare,Biotechnology,116
🔹 Breakout: New Leader,Stock,YSG,8.69,98,99.0,87.0,8.0,Consumer Defensive,Household & Personal Products,120
🔹 Breakout: New Leader,Stock,ORCX,34.29,98,96.0,3.0,98.0,ETF,ETF,121
🔹 Breakout: New Leader,Stock,ISSC,15.56,98,98.0,22.0,95.0,Industrials,Aerospace & Defense,122
🔹 Breakout: New Leader,Stock,EYE,25.14,98,98.0,57.0,8.0,Consumer Cyclical,Specialty Retail,123
🔹 Breakout: New Leader,Stock,METC,22.68,98,86.0,25.0,4.0,Basic Materials,Coking Coal,127
🔹 Breakout: New Leader,Stock,TNXP,46.25,98,92.0,0.0,91.0,Healthcare,Biotechnology,131
🔹 Breakout: New Leader,Stock,SBSW,9.4,98,97.0,86.0,6.0,Basic Materials,Other Precious Metals & Mining,132
🔹 Breakout: New Leader,Stock,DOMO,16.0,98,98.0,37.0,31.0,Technology,Software - Application,138
🔹 Breakout: New Leader,Stock,AIRS,6.46,98,93.0,1.0,7.0,Healthcare,Medical Care Facilities,139
🔹 Breakout: New Leader,Stock,IREN,17.73,98,96.0,10.0,95.0,Financial Services,Capital Markets,140
🔹 Breakout: New Leader,Stock,SORA,6.78,98,97.0,5.0,98.0,Consumer Cyclical,Luxury Goods,143
🔹 Breakout: New Leader,Stock,SNES,5.74,98,97.0,4.0,2.0,Basic Materials,Specialty Chemicals,144
🔹 Breakout: New Leader,Stock,OSS,5.44,98,96.0,13.0,95.0,Technology,Computer Hardware,145
🔹 Breakout: New Leader,Stock,CEP,28.29,98,99.0,99.0,49.0,Financial Services,Shell Companies,147
🔹 Breakout: New Leader,Stock,RFIL,8.38,98,94.0,45.0,93.0,Industrials,Electrical Equipment & Parts,148
🔹 Breakout: New Leader,Stock,ETU,30.02,98,5.0,0.0,92.0,ETF,ETF,150
🔹 Breakout: New Leader,Stock,SPCY,32.95,98,96.0,18.0,98.0,ETF,ETF,151
🔹 Breakout: New Leader,Stock,LASR,19.42,98,98.0,7.0,12.0,Technology,Semiconductors,152
🔹 Breakout: New Leader,Stock,VRTL,42.26,98,97.0,11.0,97.0,ETF,ETF,153
🔹 Breakout: New Leader,Stock,AMDG,21.72,98,91.0,2.0,10.0,ETF,ETF,154
🔹 Breakout: New Leader,Stock,GOGO,15.7,98,97.0,33.0,62.0,Communication Services,Telecom Services,158
🔹 Breakout: New Leader,Stock,TARK,65.62,98,97.0,17.0,96.0,ETF,ETF,160
🔹 Breakout: New Leader,Stock,ARTL,13.97,98,69.0,14.0,15.0,Healthcare,Biotechnology,161
🔹 Breakout: New Leader,Stock,OWLT,8.43,98,97.0,24.0,16.0,Healthcare,Medical Devices,165
🔹 Breakout: New Leader,Stock,SYM,51.75,98,96.0,7.0,13.0,Industrials,Specialty Industrial Machinery,169
🔹 Breakout: New Leader,Stock,AAOI,27.22,98,97.0,23.0,98.0,Technology,Communication Equipment,171
🔹 Breakout: New Leader,Stock,TPC,48.74,98,98.0,37.0,92.0,Industrials,Engineering & Construction,172
🔹 Breakout: New Leader,Stock,CONL,55.28,98,98.0,0.0,93.0,ETF,ETF,175
🔹 Breakout: New Leader,Stock,OPRX,14.06,98,97.0,96.0,2.0,Healthcare,Health Information Services,176
🔹 Breakout: New Leader,Stock,TIL,30.9,97,85.0,6.0,93.0,Healthcare,Biotechnology,177
🔹 Breakout: New Leader,Stock,PCT,15.49,97,97.0,18.0,92.0,Industrials,Pollution & Treatment Controls,179
🔹 Breakout: New Leader,Stock,IDN,5.14,97,98.0,26.0,61.0,Technology,Software - Application,181
🔹 Breakout: New Leader,Stock,FLYE,5.29,97,96.0,2.0,0.0,Consumer Cyclical,Auto Manufacturers,183
🔹 Breakout: New Leader,Stock,APPS,5.27,97,99.0,96.0,11.0,Technology,Software - Application,185
🔹 Breakout: New Leader,Stock,LFMD,10.59,97,99.0,97.0,30.0,Healthcare,Health Information Services,187
🔹 Breakout: New Leader,Stock,FULC,7.86,97,98.0,11.0,5.0,Healthcare,Biotechnology,193
🔹 Breakout: New Leader,Stock,UUUU,9.64,97,89.0,12.0,9.0,Energy,Uranium,194
🔹 Breakout: New Leader,Stock,SUPX,11.79,97,97.0,99.0,7.0,Technology,Software - Infrastructure,198
🔹 Breakout: New Leader,Stock,AAPG,39.76,97,98.0,96.0,44.0,Healthcare,Biotechnology,199
🔹 Breakout: New Leader,Stock,EVEX,7.03,97,96.0,23.0,90.0,Industrials,Aerospace & Defense,200
🔹 Breakout: New Leader,Stock,ELTX,9.81,97,91.0,7.0,97.0,Healthcare,Biotechnology,201
🔹 Breakout: New Leader,Stock,MIMI,7.94,97,95.0,17.0,92.0,Industrials,Engineering & Construction,203
🔹 Breakout: New Leader,Stock,AEHR,21.39,97,88.0,5.0,5.0,Technology,Semiconductor Equipment & Materials,204
