Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,APP,437.27,20033065,Communication Services,Advertising Agencies,99.0,98.0,99.0,99.0,5766693.0,5216440.0,525.15,66.16,147941818368.0,No
Leading Stocks (RS > 90),2,NBIS,65.31,43723669,Communication Services,Internet Content & Information,99.0,98.0,95.0,98.0,13500043.0,10059870.0,70.54,14.09,15590083584.0,No
Leading Stocks (RS > 90),3,CTEV,54.91,368070,Healthcare,Health Information Services,99.0,99.0,97.0,98.0,126108.0,104440.0,54.91,4.8,904483008.0,No
Leading Stocks (RS > 90),4,RIGL,30.22,734735,Healthcare,Biotechnology,98.0,92.0,95.0,94.0,255493.0,517370.0,30.43,9.92,541891136.0,No
Leading Stocks (RS > 90),5,TPC,54.98,2199901,Industrials,Engineering & Construction,98.0,98.0,97.0,92.0,742088.0,605020.0,63.96,18.29,2897583360.0,No
Leading Stocks (RS > 90),6,SEI,30.61,3315666,Energy,Oil & Gas Equipment & Services,97.0,98.0,97.0,99.0,1541012.0,2192740.0,39.02,10.96,2068712448.0,No
Leading Stocks (RS > 90),7,VST,205.59,8848939,Utilities,Utilities - Independent Power Producers,97.0,96.0,93.0,98.0,5312601.0,5133500.0,216.85,72.9,69763268608.0,No
Leading Stocks (RS > 90),8,LMND,47.22,3975246,Financial Services,Insurance - Property & Casualty,97.0,96.0,96.0,97.0,2568300.0,3516390.0,53.85,14.9,3491871232.0,No
Leading Stocks (RS > 90),9,DASH,270.99,10738182,Consumer Cyclical,Internet Retail,96.0,95.0,94.0,95.0,3832985.0,2995330.0,278.15,121.18,114830385152.0,No
Leading Stocks (RS > 90),10,DXPE,104.99,359039,Industrials,Industrial Distribution,95.0,94.0,94.0,98.0,165551.0,196530.0,115.0,45.0,1643664128.0,No
Leading Stocks (RS > 90),11,OPOF,40.02,48241,Financial Services,Banks - Regional,95.0,96.0,99.0,95.0,26266.0,11260.0,41.61,17.02,204214064.0,No
Leading Stocks (RS > 90),12,GH,50.39,8520913,Healthcare,Diagnostics & Research,93.0,96.0,96.0,97.0,2223919.0,3102970.0,53.68,20.14,6283935232.0,No
Leading Stocks (RS > 90),13,ASA,34.88,139660,Financial Services,Asset Management,94.0,93.0,95.0,94.0,66580.0,73260.0,35.0,17.61,658171456.0,No
Leading Stocks (RS > 90),14,LINC,23.56,457279,Consumer Defensive,Education & Training Services,94.0,96.0,97.0,92.0,288453.0,227170.0,24.99,11.22,743378624.0,No
Leading Stocks (RS > 90),15,APEI,28.98,605174,Consumer Defensive,Education & Training Services,93.0,96.0,96.0,94.0,300616.0,208600.0,32.24,11.83,522970912.0,No
Leading Stocks (RS > 90),16,LMB,115.88,345197,Industrials,Building Products & Equipment,91.0,98.0,98.0,95.0,211345.0,246550.0,154.05,56.87,1346732288.0,No
"Top Movers (RS ≥ 85, Improving)",1,VSAT,26.22,7570613,Technology,Communication Equipment,99.0,94.0,17.0,4.0,3933398.0,5654800.0,28.59,6.69,3520139776.0,No
"Top Movers (RS ≥ 85, Improving)",2,SYM,54.21,7375939,Industrials,Specialty Industrial Machinery,98.0,97.0,14.0,7.0,2231650.0,2470130.0,64.16,16.32,31962812416.0,No
"Top Movers (RS ≥ 85, Improving)",3,METC,21.72,5412152,Basic Materials,Coking Coal,98.0,96.0,8.0,7.0,2213306.0,3197410.0,24.75,6.3,1116268672.0,No
"Top Movers (RS ≥ 85, Improving)",4,ASMB,21.24,142201,Healthcare,Biotechnology,96.0,95.0,17.0,8.0,29669.0,34240.0,22.5,7.75,162221568.0,No
"Top Movers (RS ≥ 85, Improving)",5,AMD,172.16,89495083,Technology,Semiconductors,94.0,74.0,12.0,4.0,52914412.0,76490300.0,182.5,76.48,279266459648.0,No
"Top Movers (RS ≥ 85, Improving)",6,BWMN,35.72,181937,Industrials,Engineering & Construction,93.0,86.0,54.0,8.0,111691.0,180010.0,37.34,17.9,615566336.0,No
"Top Movers (RS ≥ 85, Improving)",7,IBP,255.24,1506994,Consumer Cyclical,Residential Construction,91.0,47.0,10.0,8.0,457529.0,518660.0,263.19,150.83,7048555008.0,No
"Top Movers (RS ≥ 85, Improving)",8,BLBD,52.31,2460910,Industrials,Farm & Heavy Construction Machinery,89.0,77.0,30.0,11.0,409422.0,427280.0,55.7,30.04,1651191296.0,No
"Top Movers (RS ≥ 85, Improving)",9,APPF,300.24,517639,Technology,Software - Application,92.0,40.0,38.0,14.0,295061.0,488610.0,326.04,189.01,10764504064.0,No
"Top Movers (RS ≥ 85, Improving)",10,CPA,116.25,707710,Industrials,Airlines,87.0,85.0,78.0,20.0,336488.0,298600.0,118.24,81.5,4786128896.0,No
