Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Trucking,90,96,94,93
🔹 RS > 80: Leading Sectors,REIT - Hotel & Motel,89,94,91,91
🔹 RS > 80: Leading Sectors,Textile Manufacturing,86,96,92,92
🔹 RS ≥ 80: Breakout Sectors,Silver,80,3,16,64
