Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Copper,94,93,94,90
🔹 RS > 80: Leading Sectors,Aluminum,94,96,95,92
🔹 RS > 80: Leading Sectors,Banks - Diversified,87,86,83,84
🔹 RS ≥ 80: Breakout Sectors,Uranium,81,54,28,79
🕵️ Improving Watchlist (RS < 75),Resorts & Casinos,49,45,42,38
