Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),1,STI,35.72,37916488.0,Industrials,Electrical Equipment & Parts,99.0,99.0,99.0,99.0,67723.0,47800.0,46.0,2.94,276675840.0,No,,6.39,7.26,8.51,7.57
Leading Stocks (RS > 90),2,MRVL,263.47,88753188.0,Technology,Semiconductors,99.0,99.0,99.0,98.0,30691420.0,51396420.0,324.2,61.44,230483558400.0,No,,165.35,103.49,171.64,113.86
Leading Stocks (RS > 90),3,VSH,57.2,9501732.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,4050931.0,8657000.0,66.07,11.77,7785253376.0,No,,33.24,20.57,35.27,22.86
Leading Stocks (RS > 90),4,BAND,72.2,1804422.0,Technology,Software - Infrastructure,99.0,99.0,99.0,99.0,818530.0,1077820.0,75.5,12.5,2311649536.0,No,,38.68,20.99,42.86,24.07
Leading Stocks (RS > 90),5,MU,864.01,75470812.0,Technology,Semiconductors,99.0,97.0,98.0,99.0,48323617.0,52037290.0,1089.29,103.38,974373453824.0,No,,617.36,360.85,633.83,437.31
Leading Stocks (RS > 90),6,PENG,59.86,4738340.0,Technology,Information Technology Services,98.0,99.0,99.0,99.0,2268411.0,3244760.0,73.24,16.04,3146251008.0,No,,37.03,25.27,39.23,25.95
Leading Stocks (RS > 90),7,STM,70.72,19910444.0,Technology,Semiconductors,98.0,96.0,98.0,98.0,10981231.0,12016390.0,81.42,21.11,62855520256.0,No,,53.2,34.34,55.17,37.45
Leading Stocks (RS > 90),8,ATEX,66.64,498660.0,Communication Services,Telecom Services,98.0,97.0,97.0,99.0,325604.0,381600.0,68.31,17.58,1248359680.0,No,,50.17,31.29,52.04,35.96
Leading Stocks (RS > 90),9,HPE,49.2,35727592.0,Technology,Communication Equipment,98.0,99.0,98.0,98.0,23133823.0,52322880.0,64.25,17.49,65150812160.0,No,,31.54,25.14,32.69,25.87
Leading Stocks (RS > 90),10,MTSI,345.4,2940970.0,Technology,Semiconductors,97.0,93.0,96.0,97.0,1320628.0,1640460.0,418.9,118.16,26352560128.0,No,,309.13,210.39,317.67,241.12
Leading Stocks (RS > 90),11,CEVA,43.58,1406265.0,Technology,Semiconductors,97.0,97.0,98.0,97.0,673269.0,955180.0,51.25,17.02,1213971968.0,No,,30.8,25.08,32.13,24.88
Leading Stocks (RS > 90),12,TWST,69.22,2471959.0,Healthcare,Diagnostics & Research,97.0,95.0,95.0,98.0,1339403.0,1687320.0,73.7,23.3,4310420480.0,No,,57.26,40.93,58.2,45.4
Leading Stocks (RS > 90),13,ON,117.26,19027944.0,Technology,Semiconductors,97.0,93.0,98.0,97.0,10375209.0,10793290.0,134.92,44.56,45591064576.0,No,,95.55,65.47,98.57,71.88
Leading Stocks (RS > 90),14,ARCB,155.09,484244.0,Industrials,Trucking,97.0,97.0,96.0,98.0,313980.0,251490.0,155.68,59.43,3452889600.0,No,,119.27,90.02,123.6,98.27
Leading Stocks (RS > 90),15,BTSG,57.4,7670102.0,Healthcare,Health Information Services,96.0,91.0,93.0,95.0,2685279.0,2200260.0,62.11,19.01,11324152832.0,No,,51.34,38.77,52.68,43.18
Leading Stocks (RS > 90),16,MEC,33.25,746745.0,Industrials,Metal Fabrication,96.0,98.0,97.0,97.0,294155.0,839920.0,33.5,12.1,847675712.0,No,,23.32,18.63,24.2,20.44
Leading Stocks (RS > 90),17,RMBS,145.31,4355862.0,Technology,Semiconductors,96.0,93.0,96.0,93.0,2322047.0,2209340.0,174.1,56.21,15713382400.0,No,,124.93,103.97,129.08,108.69
Leading Stocks (RS > 90),18,MTRN,220.75,435105.0,Basic Materials,Other Industrial Metals & Mining,96.0,94.0,95.0,96.0,256073.0,289490.0,233.45,76.09,4591927808.0,No,,187.13,144.34,192.87,155.2
Leading Stocks (RS > 90),19,MOV,37.26,271777.0,Consumer Cyclical,Luxury Goods,96.0,98.0,96.0,96.0,178874.0,329290.0,38.77,14.71,828186624.0,No,,28.44,22.81,29.31,24.76
Leading Stocks (RS > 90),20,OUST,39.68,5474119.0,Technology,Electronic Components,96.0,98.0,98.0,95.0,3374690.0,5153230.0,49.39,13.45,2526542592.0,No,,29.02,26.31,30.19,24.62
Leading Stocks (RS > 90),21,SYNA,122.78,1328196.0,Technology,Semiconductors,95.0,95.0,97.0,95.0,848612.0,828340.0,149.11,58.28,4743934976.0,No,,103.21,81.83,107.59,87.43
Leading Stocks (RS > 90),22,MRCY,111.27,907851.0,Industrials,Aerospace & Defense,94.0,96.0,91.0,94.0,599690.0,742870.0,117.37,48.75,6681015808.0,No,,87.96,81.23,89.83,83.82
Leading Stocks (RS > 90),23,NVEC,102.11,208365.0,Technology,Semiconductors,93.0,96.0,95.0,94.0,92838.0,163400.0,114.36,57.21,493923136.0,No,,84.62,71.32,86.89,73.0
Leading Stocks (RS > 90),24,PDEX,65.21,66980.0,Healthcare,Medical Instruments & Supplies,93.0,93.0,94.0,95.0,30419.0,47530.0,68.99,23.47,208199808.0,No,,55.85,42.82,56.9,46.13
Leading Stocks (RS > 90),25,NTCT,40.59,980886.0,Technology,Software - Infrastructure,93.0,95.0,93.0,93.0,624631.0,697950.0,43.8,20.39,2901990912.0,No,,36.13,29.52,36.6,31.02
