Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
34,MU,891.88,53807408.0,Technology,Semiconductors,99.0,93.0,98.0,99.0,81.1336,62.9336,49957127.0,57974660.0,1089.29,103.38,,1005803405312.0,No,652.21,372.99,686.4,458.81
46,BAND,59.31,936247.0,Technology,Software - Infrastructure,99.0,96.0,99.0,99.0,5.8319,5.8212,873588.0,1208800.0,75.98,12.5,,1898946560.0,No,41.48,21.73,46.99,25.57
55,VPG,122.25,678924.0,Technology,Scientific & Technical Instruments,99.0,99.0,99.0,99.0,11.6871,11.4343,408309.0,660360.0,136.21,25.49,,1626047232.0,No,79.93,48.86,86.74,57.08
57,VSH,54.65,8830395.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,6.3286,5.9021,4467066.0,9593720.0,66.24,11.77,,7438183424.0,No,35.63,21.2,38.88,24.24
70,MRVL,252.59,52732404.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,31.0879,25.6264,32300741.0,70997760.0,324.2,61.44,,220965732352.0,No,175.9,106.46,186.19,119.4
71,ICHR,72.17,1708862.0,Technology,Semiconductor Equipment & Materials,99.0,20.0,97.0,99.0,6.0204,5.5818,904798.0,1171500.0,80.74,13.12,,2516355072.0,No,65.94,36.28,68.18,43.99
90,UCTT,90.9,1309311.0,Technology,Semiconductor Equipment & Materials,99.0,88.0,96.0,99.0,7.1964,6.7143,1055298.0,1298610.0,100.33,19.51,,4074897152.0,No,79.86,47.13,82.85,56.04
111,SILC,44.77,242432.0,Technology,Communication Equipment,98.0,82.0,99.0,99.0,4.4,4.2386,116643.0,159990.0,52.58,13.34,,255463984.0,No,36.05,21.79,38.49,24.31
129,STRL,770.25,763028.0,Industrials,Engineering & Construction,98.0,12.0,98.0,98.0,66.7693,63.8486,584325.0,743800.0,1005.68,196.76,,23635855360.0,No,655.35,432.25,688.0,474.21
130,ENLT,89.94,257695.0,Utilities,Utilities - Renewable,98.0,26.0,92.0,98.0,5.7291,3.9266,182943.0,305130.0,108.65,18.22,,12565991424.0,No,87.43,56.71,89.24,67.1
132,POWL,262.34,725093.0,Industrials,Electrical Equipment & Parts,98.0,7.0,96.0,98.0,20.2536,19.7271,660025.0,521100.0,328.0,56.7,,9557478400.0,No,263.56,163.06,271.29,188.05
134,ALAB,330.86,5841486.0,Technology,Semiconductors,98.0,99.0,99.0,97.0,31.6994,29.183,5608437.0,5741690.0,372.37,84.78,,56712028160.0,No,226.4,180.22,246.87,179.57
143,STM,70.74,16034841.0,Technology,Semiconductors,98.0,96.0,98.0,99.0,4.935,3.6614,11205993.0,14088950.0,81.42,21.11,,62873292800.0,No,55.65,35.04,58.81,39.03
145,VECO,65.94,3440276.0,Technology,Semiconductor Equipment & Materials,98.0,89.0,98.0,98.0,4.6679,4.4907,1352708.0,1126830.0,72.0,19.29,,4024548096.0,No,51.83,35.44,54.46,38.95
