Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Oil & Gas Drilling,95,95,92,96
🔹 RS > 80: Leading Sectors,Semiconductors,91,89,92,89
🔹 RS ≥ 80: Breakout Sectors,Copper,87,12,20,78
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,86,23,25,72
🔹 RS ≥ 80: Breakout Sectors,Uranium,81,11,26,68
🔹 RS ≥ 80: Breakout Sectors,Gold,81,12,24,68
🕵️ Improving Watchlist (RS < 75),Diagnostics & Research,46,35,33,31
