Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
28,MXL,91.39,5445475.0,Technology,Semiconductors,99.0,91.0,99.0,99.0,11.4979,11.3971,4068280.0,5316860.0,106.28,11.63,,8183605248.0,No,57.63,27.06,67.81,34.19
37,PL,43.13,13710107.0,Industrials,Aerospace & Defense,99.0,88.0,96.0,99.0,4.4101,4.1794,13393820.0,12059680.0,51.76,3.78,,15371238400.0,No,38.52,22.47,40.06,27.87
56,VSH,63.97,12025503.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,4.1707,3.8186,3881333.0,8029070.0,66.07,11.77,,8706690048.0,No,31.56,20.12,35.95,23.08
57,MRVL,301.65,108602556.0,Technology,Semiconductors,99.0,98.0,99.0,99.0,20.9743,17.4521,29036744.0,42004540.0,324.15,61.44,,263883407360.0,No,157.56,101.34,175.46,115.14
72,PENG,71.41,3217781.0,Technology,Information Technology Services,99.0,99.0,99.0,99.0,5.3809,5.1275,2226060.0,3217230.0,73.24,16.04,,3753320960.0,No,35.14,24.86,40.39,26.33
87,SIMO,306.57,1255810.0,Technology,Semiconductors,99.0,96.0,98.0,99.0,20.3236,20.1101,868106.0,1247720.0,314.34,64.19,,10395125760.0,No,193.77,124.61,214.15,143.75
90,TTMI,189.6,2556825.0,Technology,Electronic Components,99.0,93.0,97.0,98.0,13.8214,12.8628,2203268.0,3156620.0,200.68,31.83,,19689971712.0,No,141.78,89.9,153.11,107.47
98,PRAX,278.93,675866.0,Healthcare,Biotechnology,98.0,5.0,11.0,92.0,22.9899,21.8963,412803.0,426920.0,366.52,37.19,,7776226304.0,No,326.29,233.6,328.31,297.14
102,DELL,421.08,13934779.0,Technology,Computer Hardware,98.0,99.0,99.0,98.0,28.7236,20.4514,8717473.0,15255680.0,469.47,109.17,,273520197632.0,No,232.72,158.78,261.46,175.47
105,ARM,411.83,11507157.0,Technology,Semiconductors,98.0,99.0,99.0,98.0,31.5316,27.2742,9694798.0,14645940.0,427.99,100.02,,439866884096.0,No,214.92,154.85,240.48,162.35
