Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Semiconductors,91,94,92,88
🔸 RS ≥ 75: Top Moving Sectors,Oil & Gas Refining & Marketing,75,72,70,67
🔹 RS ≥ 80: Breakout Sectors,Copper,92,54,36,89
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,90,59,33,88
🔹 RS ≥ 80: Breakout Sectors,Gold,87,35,30,83
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,70,59,57,54
🕵️ Improving Watchlist (RS < 75),Electrical Equipment & Parts,64,63,62,55
