Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),1,DOCN,152.77,14332818.0,Technology,Software - Infrastructure,99.0,98.0,99.0,99.0,4340023.0,3074170.0,153.47,25.56,15942075392.0,No,2026-05-05,80.98,52.74,88.92,63.4
Leading Stocks (RS > 90),2,STRL,806.0,2417305.0,Industrials,Engineering & Construction,98.0,99.0,99.0,98.0,509831.0,432590.0,807.3,167.0,24728672256.0,No,,447.83,362.23,477.73,397.38
Leading Stocks (RS > 90),3,BAND,47.33,1605558.0,Technology,Software - Infrastructure,99.0,99.0,99.0,99.0,643201.0,1478370.0,48.9,11.93,1515379200.0,No,,19.95,16.16,23.76,17.64
Leading Stocks (RS > 90),4,SILC,46.28,259008.0,Technology,Communication Equipment,98.0,99.0,99.0,99.0,63491.0,134340.0,48.92,13.34,264080240.0,No,,23.93,18.31,26.9,19.84
Leading Stocks (RS > 90),5,INTC,108.15,189332662.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,104831373.0,161793550.0,110.48,18.97,543561908224.0,No,,57.93,40.95,64.78,49.15
Leading Stocks (RS > 90),6,CELC,141.69,1389369.0,Healthcare,Biotechnology,99.0,92.0,91.0,97.0,791093.0,1256300.0,151.02,9.51,6848823808.0,No,,116.33,86.13,118.19,104.15
Leading Stocks (RS > 90),7,STX,771.01,6339902.0,Technology,Computer Hardware,99.0,98.0,97.0,99.0,3853361.0,5232110.0,792.01,91.92,172882804736.0,No,,474.0,311.99,509.22,378.47
Leading Stocks (RS > 90),8,SYRE,71.01,1673177.0,Healthcare,Biotechnology,99.0,96.0,99.0,99.0,1049623.0,1080220.0,76.0,12.29,6125277184.0,No,2026-05-05,53.24,31.76,55.06,39.03
Leading Stocks (RS > 90),9,SIMO,238.41,2091170.0,Technology,Semiconductors,98.0,99.0,98.0,98.0,684040.0,1339390.0,248.59,51.31,8083967488.0,No,,136.97,105.36,148.21,118.76
Leading Stocks (RS > 90),10,ORKA,68.95,1812897.0,Healthcare,Biotechnology,99.0,91.0,98.0,98.0,1190481.0,3255530.0,91.0,8.91,4127133952.0,No,,51.15,31.18,53.87,38.35
Leading Stocks (RS > 90),11,ICHR,67.77,2653065.0,Technology,Semiconductor Equipment & Materials,98.0,96.0,99.0,99.0,939051.0,951980.0,72.87,13.12,2354649088.0,No,,53.66,29.78,54.8,35.36
Leading Stocks (RS > 90),12,IMOS,54.8,134338.0,Technology,Semiconductors,98.0,96.0,96.0,99.0,58598.0,83630.0,55.06,15.06,1905445504.0,No,,41.14,29.13,41.95,34.72
Leading Stocks (RS > 90),13,POWL,294.69,1353433.0,Industrials,Electrical Equipment & Parts,98.0,97.0,98.0,98.0,704473.0,693890.0,312.0,54.75,10734627840.0,No,,205.45,136.81,215.75,160.49
Leading Stocks (RS > 90),14,ENLT,90.7,302284.0,Utilities,Utilities - Renewable,98.0,94.0,95.0,99.0,169341.0,120360.0,93.0,16.59,12637828096.0,No,2026-05-05,76.39,48.08,78.09,57.41
Leading Stocks (RS > 90),15,ECG,168.34,2008039.0,Industrials,Engineering & Construction,97.0,95.0,98.0,97.0,604713.0,509580.0,169.85,43.86,8592344064.0,No,2026-05-05,124.92,95.71,128.76,105.35
Leading Stocks (RS > 90),16,UCTT,83.14,2107909.0,Technology,Semiconductor Equipment & Materials,98.0,94.0,98.0,99.0,1387893.0,1167060.0,84.43,18.52,3727029248.0,No,,66.81,39.36,68.13,46.17
Leading Stocks (RS > 90),17,ON,102.67,21990009.0,Technology,Semiconductors,97.0,97.0,97.0,98.0,9144285.0,12638340.0,105.81,37.19,40382914560.0,No,,71.86,58.59,75.1,63.0
Leading Stocks (RS > 90),18,THR,69.76,1309409.0,Industrials,Specialty Industrial Machinery,97.0,95.0,95.0,98.0,598683.0,668460.0,70.04,23.86,2292978944.0,No,,52.03,38.15,53.44,44.05
Leading Stocks (RS > 90),19,PENG,36.45,4731847.0,Technology,Information Technology Services,96.0,98.0,98.0,95.0,1316131.0,1812210.0,36.91,16.04,1915817728.0,No,,22.29,22.17,23.93,21.43
Leading Stocks (RS > 90),20,PRPO,32.37,47570.0,Healthcare,Diagnostics & Research,97.0,92.0,93.0,94.0,28215.0,46030.0,32.65,5.94,57774944.0,No,,27.35,22.03,27.95,24.5
Leading Stocks (RS > 90),21,KF,64.67,83585.0,Financial Services,Asset Management,96.0,96.0,94.0,96.0,26480.0,17030.0,64.98,20.77,268920352.0,No,,51.19,38.94,51.41,43.85
Leading Stocks (RS > 90),22,PRIM,202.92,1956076.0,Industrials,Engineering & Construction,96.0,95.0,92.0,91.0,805983.0,769690.0,205.5,63.36,11004661760.0,No,2026-05-05,153.79,135.24,157.76,144.84
Leading Stocks (RS > 90),23,VECO,49.54,2935176.0,Technology,Semiconductor Equipment & Materials,96.0,96.0,97.0,96.0,1203520.0,1419650.0,53.43,18.31,2991822592.0,No,2026-05-05,37.79,30.75,39.61,33.51
Leading Stocks (RS > 90),24,LSCC,122.27,4277815.0,Technology,Semiconductors,96.0,92.0,96.0,95.0,1998068.0,2583770.0,127.95,43.9,16735024128.0,No,,102.13,79.64,103.45,86.89
Leading Stocks (RS > 90),25,GFS,74.04,8382434.0,Technology,Semiconductors,96.0,98.0,98.0,98.0,4013970.0,4060080.0,74.39,31.51,40653320192.0,No,2026-05-05,50.12,40.26,52.29,43.47
Leading Stocks (RS > 90),26,AOSL,43.75,1190114.0,Technology,Semiconductors,96.0,98.0,98.0,94.0,563021.0,1328240.0,45.97,17.01,1302036096.0,No,,27.52,25.38,29.81,24.78
Leading Stocks (RS > 90),27,VSH,32.09,4821687.0,Technology,Semiconductors,96.0,98.0,96.0,97.0,2346178.0,3215750.0,32.59,11.77,4367617024.0,No,,21.25,17.35,22.44,18.48
Leading Stocks (RS > 90),28,KALV,26.71,4997724.0,Healthcare,Biotechnology,96.0,94.0,97.0,98.0,2515138.0,10093220.0,26.76,9.83,1420116864.0,No,,19.03,15.18,20.23,16.38
