Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
Leading Stocks (RS > 90),1,SILC,41.44,297937.0,Technology,Communication Equipment,98.0,99.0,99.0,99.0,59248.0,125600.0,46.08,13.34,236462512.0,No,,23.39,18.15,26.42,19.68
Leading Stocks (RS > 90),2,ICHR,69.72,2191092.0,Technology,Semiconductor Equipment & Materials,99.0,97.0,99.0,99.0,916770.0,781680.0,72.87,13.12,2422401280.0,No,2026-05-04,53.32,29.56,55.0,35.43
Leading Stocks (RS > 90),3,MXL,78.12,5417537.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,2735415.0,10742010.0,83.82,10.16,6995330560.0,No,,25.99,19.02,34.67,23.02
Leading Stocks (RS > 90),4,WATT,28.22,831302.0,Technology,Communication Equipment,99.0,98.0,99.0,99.0,456175.0,476410.0,36.98,3.62,155241008.0,No,,18.02,10.37,20.46,11.66
Leading Stocks (RS > 90),5,INBX,127.95,509627.0,Healthcare,Biotechnology,99.0,99.0,97.0,95.0,300738.0,760980.0,155.29,10.84,1869002240.0,No,,81.64,62.06,87.01,79.77
Leading Stocks (RS > 90),6,STX,738.54,6009152.0,Technology,Computer Hardware,99.0,98.0,98.0,99.0,3846926.0,4920890.0,749.0,91.92,165602082816.0,No,,466.73,308.88,505.98,377.39
Leading Stocks (RS > 90),7,NBIS,176.42,24644671.0,Communication Services,Internet Content & Information,99.0,98.0,99.0,92.0,16267918.0,14181890.0,179.4,23.25,44637253632.0,No,,123.22,99.45,130.97,108.55
Leading Stocks (RS > 90),8,POWL,269.95,1447053.0,Industrials,Electrical Equipment & Parts,98.0,97.0,98.0,98.0,700850.0,583980.0,290.4,54.75,9833427968.0,No,2026-05-04,203.18,135.72,213.27,159.66
Leading Stocks (RS > 90),9,SIMO,227.16,1234380.0,Technology,Semiconductors,98.0,99.0,98.0,98.0,677308.0,1257620.0,243.38,51.31,7719731200.0,No,,134.92,104.53,147.09,118.39
Leading Stocks (RS > 90),10,MYRG,456.29,459276.0,Industrials,Engineering & Construction,98.0,98.0,98.0,98.0,285456.0,290830.0,461.77,151.34,7104908288.0,No,,299.75,235.89,321.75,264.49
Leading Stocks (RS > 90),11,CUE,29.85,1593237.0,Healthcare,Biotechnology,97.0,99.0,99.0,92.0,696648.0,2433407.0,38.0,4.98,97172464.0,No,,11.63,16.66,14.93,14.42
Leading Stocks (RS > 90),12,NWPX,106.64,243488.0,Basic Materials,Steel,97.0,95.0,97.0,97.0,127158.0,170790.0,108.16,36.97,1027690496.0,No,,80.36,63.08,83.76,70.7
Leading Stocks (RS > 90),13,LSCC,125.57,3726511.0,Technology,Semiconductors,97.0,95.0,97.0,96.0,1965443.0,2323740.0,127.95,43.9,17186693120.0,No,2026-05-04,101.64,79.29,103.78,87.0
Leading Stocks (RS > 90),14,IMOS,48.14,93757.0,Technology,Semiconductors,97.0,94.0,94.0,98.0,57813.0,85490.0,51.08,15.06,1673871360.0,No,,40.74,28.95,41.28,34.5
Leading Stocks (RS > 90),15,THR,63.04,1201830.0,Industrials,Specialty Industrial Machinery,96.0,91.0,94.0,98.0,588535.0,576760.0,63.3,23.86,2072095744.0,No,,51.63,37.94,52.77,43.82
Leading Stocks (RS > 90),16,ON,102.04,16611629.0,Technology,Semiconductors,96.0,98.0,98.0,98.0,9038321.0,11889640.0,105.0,37.19,40135122944.0,No,2026-05-04,71.19,58.38,75.03,62.98
