Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Aluminum,97,92,93,97
🔹 RS > 80: Leading Sectors,Semiconductor Equipment & Materials,92,88,88,90
🔹 RS > 80: Leading Sectors,Trucking,81,89,83,85
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,88,73,20,79
🔹 RS ≥ 80: Breakout Sectors,Copper,88,83,22,80
🔹 RS ≥ 80: Breakout Sectors,Gold,84,73,25,78
🔹 RS ≥ 80: Breakout Sectors,Uranium,82,78,34,58
🕵️ Improving Watchlist (RS < 75),Engineering & Construction,73,72,67,63
🕵️ Improving Watchlist (RS < 75),Luxury Goods,71,58,56,51
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,70,59,56,54
