Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,RAPT,57.72,7768761.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,1871529.0,5331070.0,57.86,5.66,1671604736.0,No
Leading Stocks (RS > 90),2,AEHR,33.85,4990526.0,Technology,Semiconductor Equipment & Materials,97.0,96.0,92.0,94.0,877555.0,902430.0,35.88,6.27,1036735488.0,No
Leading Stocks (RS > 90),3,MAZE,47.22,811059.0,Healthcare,Biotechnology,98.0,92.0,96.0,98.0,456788.0,590830.0,49.25,6.71,2272200192.0,No
Leading Stocks (RS > 90),4,PRE,21.4,339806.0,Healthcare,Diagnostics & Research,98.0,97.0,97.0,97.0,191145.0,290870.0,22.86,3.1,360128576.0,No
Leading Stocks (RS > 90),5,LASR,54.84,1516073.0,Technology,Semiconductors,98.0,97.0,95.0,95.0,872498.0,1662260.0,55.31,6.2,3003218176.0,No
Leading Stocks (RS > 90),6,ENLT,63.71,176662.0,Utilities,Utilities - Renewable,97.0,95.0,97.0,97.0,60267.0,122360.0,63.86,14.01,8717607936.0,No
Leading Stocks (RS > 90),7,ICHR,47.59,1975283.0,Technology,Semiconductor Equipment & Materials,97.0,98.0,98.0,97.0,872385.0,1447450.0,48.72,13.12,1638703360.0,No
Leading Stocks (RS > 90),8,ACMR,70.68,2684187.0,Technology,Semiconductor Equipment & Materials,97.0,97.0,98.0,97.0,1360601.0,1681880.0,71.65,16.82,4585467392.0,No
Leading Stocks (RS > 90),9,FET,49.17,269612.0,Energy,Oil & Gas Equipment & Services,97.0,95.0,97.0,96.0,148840.0,220850.0,49.72,12.78,585284096.0,No
Leading Stocks (RS > 90),10,MKSI,259.05,2106476.0,Technology,Scientific & Technical Instruments,97.0,97.0,97.0,97.0,1158000.0,2117310.0,265.96,54.84,17400250368.0,No
Leading Stocks (RS > 90),11,NESR,21.39,1920117.0,Energy,Oil & Gas Equipment & Services,97.0,94.0,97.0,98.0,1073388.0,1211140.0,21.6,5.2,2155636224.0,No
Leading Stocks (RS > 90),12,GOLD,62.87,1177806.0,Financial Services,Capital Markets,97.0,98.0,98.0,97.0,708083.0,1275190.0,66.7,19.39,1769000832.0,No
Leading Stocks (RS > 90),13,BWA,66.1,13990228.0,Consumer Cyclical,Auto Parts,95.0,97.0,95.0,93.0,2921032.0,2600900.0,68.82,24.4,14303568896.0,No
Leading Stocks (RS > 90),14,AEIS,308.77,1398826.0,Industrials,Electrical Equipment & Parts,96.0,97.0,93.0,95.0,569275.0,1285060.0,325.69,75.01,11654673408.0,No
Leading Stocks (RS > 90),15,TAYD,81.87,42724.0,Industrials,Specialty Industrial Machinery,96.0,93.0,97.0,95.0,22844.0,51920.0,86.0,29.5,258145776.0,No
Leading Stocks (RS > 90),16,SIMO,139.94,879459.0,Technology,Semiconductors,96.0,94.0,95.0,94.0,566780.0,940130.0,140.21,37.21,4755675136.0,No
Leading Stocks (RS > 90),17,VRT,248.51,19081293.0,Industrials,Electrical Equipment & Parts,95.0,98.0,91.0,93.0,6201262.0,5957730.0,239.0,53.6,95014887424.0,No
Leading Stocks (RS > 90),18,VAL,88.42,4087802.0,Energy,Oil & Gas Equipment & Services,95.0,98.0,96.0,95.0,1334842.0,3033650.0,89.16,27.15,6296694272.0,No
Leading Stocks (RS > 90),19,KF,48.58,29734.0,Financial Services,Asset Management,95.0,94.0,92.0,93.0,16980.0,12100.0,48.7,18.15,202703856.0,No
Leading Stocks (RS > 90),20,LSCC,105.77,6110860.0,Technology,Semiconductors,94.0,96.0,96.0,93.0,1862450.0,2235730.0,107.73,34.69,14479443968.0,No
Leading Stocks (RS > 90),21,TDC,37.88,11363211.0,Technology,Software - Infrastructure,91.0,93.0,92.0,94.0,1424086.0,1890750.0,41.78,18.43,3579660032.0,No
Leading Stocks (RS > 90),22,KMT,40.26,1573589.0,Industrials,Tools & Accessories,94.0,97.0,95.0,95.0,1039142.0,1969180.0,41.74,17.3,3067763200.0,No
Leading Stocks (RS > 90),23,COHU,34.16,1455715.0,Technology,Semiconductor Equipment & Materials,93.0,95.0,93.0,93.0,615781.0,822660.0,34.35,12.57,1595019776.0,No
Leading Stocks (RS > 90),24,PKST,20.86,918139.0,Real Estate,REIT - Office,93.0,98.0,93.0,94.0,471245.0,1825860.0,20.94,10.35,775494912.0,No
Leading Stocks (RS > 90),25,SLAB,207.1,1517173.0,Technology,Semiconductors,92.0,98.0,96.0,92.0,521624.0,1753630.0,208.84,82.82,6825172992.0,No
Leading Stocks (RS > 90),26,CC,21.02,5517175.0,Basic Materials,Specialty Chemicals,92.0,98.0,97.0,93.0,2698386.0,3458020.0,21.09,9.13,3150728960.0,No
Leading Stocks (RS > 90),27,PLSE,25.25,456290.0,Healthcare,Medical Instruments & Supplies,92.0,98.0,97.0,93.0,258640.0,637250.0,26.27,12.56,1711131264.0,No
Leading Stocks (RS > 90),28,OCS,28.58,380362.0,Healthcare,Biotechnology,91.0,95.0,95.0,92.0,193532.0,329830.0,29.36,14.0,1652121472.0,No
