Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2,SLGL,84.99,31796,Healthcare,Biotechnology,98.0,96.0,98.0,98.0,24698.0,29330.0,97.97,4.02,236764032.0,No
10,NBTX,40.13,99504,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,34328.0,50690.0,41.89,2.95,1941808512.0,No
13,AAOI,110.62,13645913,Technology,Communication Equipment,98.0,98.0,98.0,98.0,6481016.0,12431950.0,114.63,9.71,8318493184.0,No
14,LITE,640.69,7736455,Technology,Communication Equipment,98.0,95.0,98.0,98.0,4914740.0,6455250.0,783.8,45.65,45745266688.0,No
18,CELC,113.45,956357,Healthcare,Biotechnology,98.0,85.0,76.0,96.0,746738.0,566770.0,120.31,7.58,5249474560.0,No
33,BE,151.32,12870956,Industrials,Electrical Equipment & Parts,98.0,88.0,92.0,98.0,11656227.0,10782080.0,180.9,15.15,42452557824.0,No
56,NKTR,69.15,1435307,Healthcare,Biotechnology,98.0,98.0,89.0,95.0,1188623.0,1112070.0,75.67,6.45,1934783872.0,No
60,LASR,61.0,1687818,Technology,Semiconductors,98.0,96.0,97.0,96.0,1301213.0,2760390.0,69.52,6.2,3403270400.0,No
63,ENLT,78.36,150918,Utilities,Utilities - Renewable,98.0,97.0,98.0,98.0,109432.0,161740.0,81.28,14.01,10970805248.0,No
64,INBX,71.86,251783,Healthcare,Biotechnology,98.0,7.0,10.0,97.0,210711.0,184970.0,94.56,10.8,1045113024.0,No
70,MU,389.32,35262492,Technology,Semiconductors,98.0,70.0,97.0,98.0,34391449.0,31615410.0,455.5,61.54,438183264256.0,No
72,SATS,109.92,6290609,Communication Services,Telecom Services,98.0,74.0,96.0,94.0,5366128.0,4339850.0,132.25,14.9,31643365376.0,No
73,DNTH,79.23,4610512,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,794847.0,916870.0,84.86,13.37,3424565504.0,No
