Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Utilities - Independent Power Producers,94,85,82,93
🔹 RS > 80: Leading Sectors,Banks - Diversified,85,83,83,81
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,91,85,72,59
🔹 RS ≥ 80: Breakout Sectors,Pollution & Treatment Controls,80,73,39,62
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,72,67,63,36
🕵️ Improving Watchlist (RS < 75),Other Industrial Metals & Mining,58,52,51,46
🕵️ Improving Watchlist (RS < 75),Conglomerates,54,51,47,36
🕵️ Improving Watchlist (RS < 75),Coking Coal,49,29,10,7
