Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Gold,93,93,89,91
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,97,96,94,72
🔸 RS ≥ 75: Top Moving Sectors,Aluminum,88,79,56,15
🔸 RS ≥ 75: Top Moving Sectors,Other Industrial Metals & Mining,84,80,66,56
🔸 RS ≥ 75: Top Moving Sectors,Copper,82,81,53,37
🔸 RS ≥ 75: Top Moving Sectors,Luxury Goods,82,73,68,58
🔸 RS ≥ 75: Top Moving Sectors,Utilities - Renewable,81,73,68,50
🔹 RS ≥ 80: Breakout Sectors,Aluminum,88,79,56,15
🔹 RS ≥ 80: Breakout Sectors,Solar,84,85,75,25
🔹 RS ≥ 80: Breakout Sectors,Copper,82,81,53,37
🕵️ Improving Watchlist (RS < 75),Department Stores,72,69,63,15
🕵️ Improving Watchlist (RS < 75),Coking Coal,68,67,55,10
🕵️ Improving Watchlist (RS < 75),Marine Shipping,65,45,40,21
🕵️ Improving Watchlist (RS < 75),Drug Manufacturers - General,63,51,50,30
🕵️ Improving Watchlist (RS < 75),Apparel Retail,55,51,37,34
🕵️ Improving Watchlist (RS < 75),Oil & Gas Drilling,48,31,26,17
🕵️ Improving Watchlist (RS < 75),Chemicals,39,38,31,22
