Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Silver,95,92,86,86
🔹 RS > 80: Leading Sectors,Gold,92,90,88,86
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,95,94,86,77
🔸 RS ≥ 75: Top Moving Sectors,Gold,92,90,88,86
🔸 RS ≥ 75: Top Moving Sectors,Solar,85,81,51,27
🔸 RS ≥ 75: Top Moving Sectors,Coking Coal,76,57,27,8
🔸 RS ≥ 75: Top Moving Sectors,Luxury Goods,76,68,58,56
🔸 RS ≥ 75: Top Moving Sectors,Electronic Gaming & Multimedia,75,67,61,52
🔹 RS ≥ 80: Breakout Sectors,Uranium,94,78,80,18
🔹 RS ≥ 80: Breakout Sectors,Solar,85,81,51,27
🔹 RS ≥ 80: Breakout Sectors,Financial Conglomerates,84,85,27,40
🔹 RS ≥ 80: Breakout Sectors,Pollution & Treatment Controls,80,81,67,35
🕵️ Improving Watchlist (RS < 75),Electrical Equipment & Parts,74,66,64,41
🕵️ Improving Watchlist (RS < 75),Other Industrial Metals & Mining,70,63,60,42
🕵️ Improving Watchlist (RS < 75),Department Stores,70,49,22,8
🕵️ Improving Watchlist (RS < 75),Semiconductor Equipment & Materials,69,53,34,15
🕵️ Improving Watchlist (RS < 75),Internet Retail,64,63,56,55
🕵️ Improving Watchlist (RS < 75),Biotechnology,61,58,42,34
🕵️ Improving Watchlist (RS < 75),Oil & Gas Refining & Marketing,61,50,45,38
🕵️ Improving Watchlist (RS < 75),Internet Content & Information,57,56,53,49
🕵️ Improving Watchlist (RS < 75),Auto Manufacturers,56,49,46,41
🕵️ Improving Watchlist (RS < 75),Apparel Retail,55,43,32,26
🕵️ Improving Watchlist (RS < 75),Apparel Manufacturing,54,38,31,29
🕵️ Improving Watchlist (RS < 75),Home Improvement Retail,51,49,30,21
🕵️ Improving Watchlist (RS < 75),Chemicals,39,31,24,19
