Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,STX,442.93,14559851.0,Technology,Computer Hardware,98.0,98.0,98.0,97.0,4133383.0,3824850.0,449.5,63.19,96502063104.0,No
Leading Stocks (RS > 90),2,RAPT,57.65,2965230.0,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,1061696.0,4419480.0,57.7,5.66,1669577472.0,No
Leading Stocks (RS > 90),3,PSLV,36.36,28049517.0,ETF,ETF,98.0,97.0,98.0,97.0,14905219.0,27584640.0,38.13,9.97,23189401600.0,No
Leading Stocks (RS > 90),4,WDC,279.7,15645665.0,Technology,Computer Hardware,98.0,97.0,98.0,98.0,8847919.0,7476380.0,284.0,28.83,95879913472.0,No
Leading Stocks (RS > 90),5,SBSW,21.12,10253507.0,Basic Materials,Other Precious Metals & Mining,98.0,97.0,97.0,96.0,6302977.0,8799860.0,21.19,3.05,15170893824.0,No
Leading Stocks (RS > 90),6,SLGL,63.5,30767.0,Healthcare,Biotechnology,98.0,97.0,97.0,98.0,19170.0,19530.0,75.0,4.02,176897472.0,No
Leading Stocks (RS > 90),7,AUGO,72.27,1873461.0,Basic Materials,Gold,97.0,97.0,98.0,98.0,622973.0,828530.0,72.89,22.24,6037038080.0,No
Leading Stocks (RS > 90),8,AAUC,31.67,2307063.0,Basic Materials,Gold,97.0,97.0,97.0,97.0,830401.0,1597490.0,31.91,8.4,3946206976.0,No
Leading Stocks (RS > 90),9,MKSI,236.05,2829970.0,Technology,Scientific & Technical Instruments,97.0,97.0,97.0,96.0,1023157.0,1589380.0,239.39,54.84,15855353856.0,No
Leading Stocks (RS > 90),10,CGAU,20.05,3567657.0,Basic Materials,Gold,97.0,96.0,97.0,97.0,1379295.0,2408080.0,20.32,5.41,4051801088.0,No
Leading Stocks (RS > 90),11,ERO,36.1,3073749.0,Basic Materials,Copper,97.0,96.0,97.0,97.0,1342616.0,2390520.0,36.58,9.3,3759965184.0,No
