Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,REIT - Hotel & Motel,90,94,92,89
🔹 RS > 80: Leading Sectors,Textile Manufacturing,88,84,94,82
🕵️ Improving Watchlist (RS < 75),Biotechnology,69,63,60,59
