Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Utilities - Independent Power Producers,89,87,88,94
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,94,83,67,50
🔸 RS ≥ 75: Top Moving Sectors,Uranium,82,77,39,24
🔸 RS ≥ 75: Top Moving Sectors,Pollution & Treatment Controls,81,72,56,50
🔹 RS ≥ 80: Breakout Sectors,Uranium,82,77,39,24
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,70,68,63,44
🕵️ Improving Watchlist (RS < 75),Electronic Gaming & Multimedia,68,60,57,49
🕵️ Improving Watchlist (RS < 75),Auto Parts,65,63,47,40
🕵️ Improving Watchlist (RS < 75),Industrial Distribution,62,57,44,42
🕵️ Improving Watchlist (RS < 75),Coking Coal,59,42,10,5
🕵️ Improving Watchlist (RS < 75),Steel,57,49,36,35
🕵️ Improving Watchlist (RS < 75),Broadcasting,51,47,44,25
🕵️ Improving Watchlist (RS < 75),Conglomerates,50,47,46,40
🕵️ Improving Watchlist (RS < 75),Specialty Chemicals,41,37,29,28
🕵️ Improving Watchlist (RS < 75),Marine Shipping,39,31,21,20
🕵️ Improving Watchlist (RS < 75),Recreational Vehicles,38,31,11,9
