Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Oil & Gas Drilling,93,86,88,95
🔹 RS > 80: Leading Sectors,Semiconductors,91,94,93,89
🔹 RS ≥ 80: Breakout Sectors,Gold,87,32,39,80
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,68,57,56,54
🕵️ Improving Watchlist (RS < 75),Diagnostics & Research,45,37,35,32
