Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Semiconductor Equipment & Materials,90,84,85,87
🕵️ Improving Watchlist (RS < 75),Engineering & Construction,70,69,65,64
