Section,Ticker,Price,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,DVol,AvgVol10,52WKH,MCAP,Sector,Industry
Leading Stocks (RS > 90),SMR,44.43,99.0,99.0,97.0,99.0,25390612,12188770.0,53.5,5925690880.0,Industrials,Specialty Industrial Machinery
Leading Stocks (RS > 90),HOOD,99.9,99.0,99.0,98.0,99.0,75711581,41995470.0,113.44,88778637312.0,Financial Services,Capital Markets
Leading Stocks (RS > 90),RDDT,188.32,98.0,97.0,93.0,99.0,26668998,6775290.0,230.41,34748993536.0,Communication Services,Internet Content & Information
Leading Stocks (RS > 90),NET,200.22,98.0,98.0,94.0,98.0,6082096,3583510.0,211.27,69398249472.0,Technology,Software - Infrastructure
Leading Stocks (RS > 90),COE,30.4,97.0,96.0,96.0,98.0,41706,5610.0,34.74,178128192.0,Consumer Defensive,Education & Training Services
Leading Stocks (RS > 90),AGX,226.32,97.0,98.0,98.0,98.0,785250,485210.0,253.79,3089163776.0,Industrials,Engineering & Construction
Leading Stocks (RS > 90),RBRK,87.71,96.0,98.0,98.0,98.0,5705525,3273970.0,103.0,16971270144.0,Technology,Software - Infrastructure
Leading Stocks (RS > 90),TATT,34.38,96.0,94.0,98.0,98.0,174989,115160.0,36.99,464387872.0,Industrials,Aerospace & Defense
Leading Stocks (RS > 90),MTZ,174.09,93.0,94.0,92.0,92.0,3374189,952680.0,194.0,13736187904.0,Industrials,Engineering & Construction
Leading Stocks (RS > 90),CRS,257.79,94.0,97.0,96.0,96.0,1840650,938240.0,290.84,12832606208.0,Industrials,Metal Fabrication
Leading Stocks (RS > 90),SNEX,96.93,93.0,94.0,97.0,94.0,937348,359250.0,99.08,4742953472.0,Financial Services,Capital Markets
Leading Stocks (RS > 90),CCB,92.4,92.0,95.0,95.0,97.0,214772,130980.0,106.38,1394593280.0,Financial Services,Banks - Regional
Leading Stocks (RS > 90),IBEX,27.75,92.0,94.0,97.0,93.0,136369,88780.0,32.08,371084096.0,Technology,Information Technology Services
Leading Stocks (RS > 90),NYAX,42.65,92.0,97.0,95.0,94.0,13900,6880.0,52.46,1615535104.0,Technology,Software - Infrastructure
"Top Movers (RS ≥ 85, Improving)",DG,108.53,89.0,84.0,73.0,3.0,3684974,2399840.0,126.98,23884306432.0,Consumer Defensive,Discount Stores
"Top Movers (RS ≥ 85, Improving)",JOUT,35.9,87.0,64.0,8.0,5.0,157232,60270.0,40.84,372649184.0,Consumer Cyclical,Leisure
"Top Movers (RS ≥ 85, Improving)",NVT,89.86,93.0,86.0,23.0,18.0,5762013,2006910.0,89.91,14793368576.0,Industrials,Electrical Equipment & Parts
"Top Movers (RS ≥ 85, Improving)",MLTX,52.92,87.0,68.0,18.0,13.0,949074,532950.0,58.26,3359059712.0,Healthcare,Biotechnology
"Top Movers (RS ≥ 85, Improving)",PTC,212.11,88.0,46.0,19.0,14.0,1568758,1038310.0,219.69,25442170880.0,Technology,Software - Application
"Top Movers (RS ≥ 85, Improving)",WTS,259.24,90.0,89.0,78.0,32.0,286864,190460.0,263.07,8652264448.0,Industrials,Specialty Industrial Machinery
"Top Movers (RS ≥ 85, Improving)",ENLT,24.39,96.0,95.0,71.0,46.0,38637,17040.0,27.16,2964799488.0,Utilities,Utilities - Renewable
"Top Movers (RS ≥ 85, Improving)",WLDN,84.0,98.0,97.0,86.0,65.0,619572,278200.0,86.17,1217803648.0,Industrials,Engineering & Construction
"Top Movers (RS ≥ 85, Improving)",SPXC,196.81,92.0,85.0,72.0,69.0,669659,277360.0,198.6,9192193024.0,Industrials,Building Products & Equipment
