Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,ASTS,115.77,33308161.0,Technology,Communication Equipment,98.0,98.0,91.0,95.0,13346950.0,17505480.0,120.8,17.5,42534047744.0,No
Leading Stocks (RS > 90),2,IMOS,42.57,71587.0,Technology,Semiconductors,97.0,97.0,98.0,97.0,20422.0,40950.0,43.16,12.78,1483572992.0,No
Leading Stocks (RS > 90),3,PL,28.78,19870362.0,Industrials,Aerospace & Defense,98.0,98.0,98.0,98.0,11007188.0,14448020.0,30.9,2.79,9027271680.0,No
Leading Stocks (RS > 90),4,MU,362.75,46909038.0,Technology,Semiconductors,98.0,97.0,97.0,98.0,26705177.0,31858780.0,365.81,61.54,408278466560.0,No
Leading Stocks (RS > 90),5,VELO,21.62,1977586.0,Technology,Computer Hardware,98.0,98.0,98.0,97.0,1160172.0,1676530.0,23.84,1.43,532233184.0,No
Leading Stocks (RS > 90),6,BIOA,20.16,1035104.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,98.0,98.0,98.0,599900.0,1151310.0,24.0,2.88,722837504.0,No
Leading Stocks (RS > 90),7,ENLT,51.2,89018.0,Utilities,Utilities - Renewable,97.0,95.0,95.0,95.0,35682.0,62080.0,52.92,14.01,6761846272.0,No
Leading Stocks (RS > 90),8,GLSI,24.88,752965.0,Healthcare,Biotechnology,97.0,98.0,98.0,96.0,355533.0,458380.0,32.91,7.78,344700928.0,No
Leading Stocks (RS > 90),9,AG,21.5,32130526.0,Basic Materials,Silver,97.0,95.0,94.0,97.0,19219630.0,24143970.0,21.53,5.09,10542655488.0,No
Leading Stocks (RS > 90),10,KTOS,130.72,4838804.0,Industrials,Aerospace & Defense,97.0,98.0,95.0,96.0,3008750.0,4604140.0,132.0,23.9,22070857728.0,No
Leading Stocks (RS > 90),11,RKLB,96.3,35728090.0,Industrials,Aerospace & Defense,97.0,98.0,95.0,94.0,22563696.0,28783430.0,99.58,14.71,51439255552.0,No
Leading Stocks (RS > 90),12,TAYD,74.48,58169.0,Industrials,Specialty Industrial Machinery,95.0,95.0,97.0,93.0,12146.0,39940.0,75.0,29.5,234844240.0,No
Leading Stocks (RS > 90),13,BELFB,200.11,255199.0,Technology,Electronic Components,96.0,91.0,93.0,95.0,156869.0,142340.0,202.49,58.0,2533505280.0,No
Leading Stocks (RS > 90),14,PSLV,29.39,20663520.0,ETF,ETF,96.0,96.0,97.0,96.0,13411404.0,24313800.0,30.76,9.96,17784387584.0,No
Leading Stocks (RS > 90),15,AGX,383.66,883784.0,Industrials,Engineering & Construction,95.0,93.0,92.0,94.0,348801.0,296320.0,399.3,101.02,5322672640.0,No
Leading Stocks (RS > 90),16,BELFA,182.73,76412.0,Technology,Electronic Components,95.0,93.0,95.0,95.0,32050.0,67990.0,187.73,53.95,2557318656.0,No
Leading Stocks (RS > 90),17,LUNR,21.58,19394566.0,Industrials,Aerospace & Defense,95.0,98.0,97.0,93.0,8896503.0,13185440.0,24.95,6.13,3071067392.0,No
Leading Stocks (RS > 90),18,MKSI,203.99,1585451.0,Technology,Scientific & Technical Instruments,95.0,95.0,95.0,95.0,914127.0,940560.0,211.08,54.84,13701901312.0,No
Leading Stocks (RS > 90),19,ERO,29.52,1842238.0,Basic Materials,Copper,95.0,92.0,92.0,96.0,1159146.0,1939690.0,31.75,9.3,3074631168.0,No
Leading Stocks (RS > 90),20,KLAC,1567.82,1520590.0,Technology,Semiconductor Equipment & Materials,95.0,95.0,95.0,93.0,982377.0,1065420.0,1581.34,551.33,206457634816.0,No
Leading Stocks (RS > 90),21,AA,60.07,11178507.0,Basic Materials,Aluminum,95.0,95.0,97.0,95.0,6990430.0,9595640.0,66.95,21.53,15555969024.0,No
Leading Stocks (RS > 90),22,MRCY,103.02,954734.0,Industrials,Aerospace & Defense,95.0,97.0,93.0,95.0,634027.0,780410.0,103.84,39.42,6191515648.0,No
Leading Stocks (RS > 90),23,CMPO,25.12,2035732.0,Industrials,Metal Fabrication,94.0,95.0,91.0,93.0,1204864.0,2334670.0,26.78,9.24,7270115840.0,No
Leading Stocks (RS > 90),24,ASML,1358.57,2265647.0,Technology,Semiconductor Equipment & Materials,93.0,95.0,93.0,94.0,1412756.0,2056510.0,1375.37,578.51,527325757440.0,No
Leading Stocks (RS > 90),25,UCTT,43.75,954066.0,Technology,Semiconductor Equipment & Materials,93.0,98.0,96.0,94.0,620964.0,1273970.0,46.0,16.66,1985685120.0,No
Leading Stocks (RS > 90),26,PFSI,159.46,857348.0,Financial Services,Mortgage Finance,91.0,94.0,93.0,92.0,337241.0,360530.0,160.36,85.74,8286414336.0,No
