Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,PriceMomentum,DistanceTo52WKH,DistanceFrom52WKL,VolumeRatio,CompositeRS,RS_Slope,RS1M_Slope,RS3M_Slope,RS6M_Slope,Price_Slope,MomentumScore
1,HSAI,26.63,5434154,Consumer Cyclical,Auto Parts,99.0,99.0,99.0,99.0,3284871.0,3841280.0,27.94,3.56,3535570944.0,No,42.17832354511478,4.688618468146035,648.0337078651686,1.654297535580545,99.0,0.013148073721076488,1.9424484312216968e-15,1.9424484312216968e-15,1.9424484312216968e-15,0.2322512487799279,65.68647716235832
2,SIFY,9.14,191066,Communication Services,Telecom Services,99.0,97.0,94.0,81.0,97866.0,123910.0,9.39,1.98,661282688.0,No,37.03148425787107,2.662406815761448,361.61616161616166,1.952322563505201,90.66666666666667,0.03915714531779616,0.06637193546535179,0.06051558821840729,1.4843543664236096,0.07342538898777055,63.589249773055776
3,BZ,22.93,10990404,Communication Services,Internet Content & Information,94.0,91.0,89.0,87.0,3463901.0,4837150.0,24.03,10.57,10577495040.0,No,22.883172561629152,4.577611319184358,116.93472090823083,3.172840101377031,89.0,0.19946029741057705,1.4100591376241605,0.5294252741574345,2.2368375724866514,0.15755066888672034,62.64938882302126
4,RKLB,48.13,40217343,Industrials,Aerospace & Defense,99.0,99.0,99.0,99.0,23071923.0,19756770.0,53.44,5.74,23218538496.0,No,7.505025686843866,9.936377245508973,738.5017421602787,1.7431292138067556,99.0,1.9424484312216968e-15,1.9424484312216968e-15,1.9424484312216968e-15,1.9424484312216968e-15,0.013187116036057671,62.392963953450845
