Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Aluminum,97,84,90,97
🔹 RS > 80: Leading Sectors,Semiconductor Equipment & Materials,91,86,82,90
🔹 RS > 80: Leading Sectors,Trucking,84,91,89,87
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,86,47,12,76
🔹 RS ≥ 80: Breakout Sectors,Copper,85,65,14,79
🔹 RS ≥ 80: Breakout Sectors,Gold,82,44,18,77
🕵️ Improving Watchlist (RS < 75),Engineering & Construction,73,69,66,61
🕵️ Improving Watchlist (RS < 75),Luxury Goods,71,65,57,53
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,69,55,53,52
🕵️ Improving Watchlist (RS < 75),Utilities - Independent Power Producers,59,49,47,25
🕵️ Improving Watchlist (RS < 75),Waste Management,41,40,38,36
