Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,REIT - Hotel & Motel,90,93,92,90
🕵️ Improving Watchlist (RS < 75),Biotechnology,69,65,63,58
