Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Semiconductor Equipment & Materials,93,87,83,90
🔹 RS > 80: Leading Sectors,Semiconductors,90,92,88,81
🔹 RS ≥ 80: Breakout Sectors,Real Estate - Diversified,86,20,30,88
🔹 RS ≥ 80: Breakout Sectors,Copper,85,22,11,74
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,85,20,21,74
🔹 RS ≥ 80: Breakout Sectors,Gold,83,15,30,75
