Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Utilities - Independent Power Producers,93,86,82,93
🔸 RS ≥ 75: Top Moving Sectors,Uranium,80,77,41,38
🔹 RS ≥ 80: Breakout Sectors,Uranium,80,77,41,38
🕵️ Improving Watchlist (RS < 75),Pharmaceutical Retailers,73,72,63,7
🕵️ Improving Watchlist (RS < 75),Utilities - Renewable,70,62,53,35
🕵️ Improving Watchlist (RS < 75),Industrial Distribution,61,59,39,38
🕵️ Improving Watchlist (RS < 75),Conglomerates,53,49,44,37
🕵️ Improving Watchlist (RS < 75),Coking Coal,45,30,15,7
🕵️ Improving Watchlist (RS < 75),Marine Shipping,43,35,22,20
🕵️ Improving Watchlist (RS < 75),Recreational Vehicles,36,29,8,7
