Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Other Precious Metals & Mining,96,95,89,81
🔹 RS > 80: Leading Sectors,Silver,95,92,93,86
🔹 RS > 80: Leading Sectors,Gold,92,92,85,89
🔸 RS ≥ 75: Top Moving Sectors,Other Precious Metals & Mining,96,95,89,81
🔸 RS ≥ 75: Top Moving Sectors,Uranium,95,91,77,22
🔸 RS ≥ 75: Top Moving Sectors,Solar,82,79,75,18
🔸 RS ≥ 75: Top Moving Sectors,Pollution & Treatment Controls,79,78,72,26
🔸 RS ≥ 75: Top Moving Sectors,Computer Hardware,78,71,69,37
🔸 RS ≥ 75: Top Moving Sectors,Other Industrial Metals & Mining,77,61,51,43
🔸 RS ≥ 75: Top Moving Sectors,Semiconductor Equipment & Materials,76,56,45,11
🔹 RS ≥ 80: Breakout Sectors,Uranium,95,91,77,22
🔹 RS ≥ 80: Breakout Sectors,Solar,82,79,75,18
🕵️ Improving Watchlist (RS < 75),Electronic Gaming & Multimedia,74,66,63,54
🕵️ Improving Watchlist (RS < 75),Coking Coal,74,57,47,15
🕵️ Improving Watchlist (RS < 75),Consumer Electronics,71,59,43,36
🕵️ Improving Watchlist (RS < 75),Biotechnology,64,55,53,33
🕵️ Improving Watchlist (RS < 75),Auto Manufacturers,58,56,50,43
🕵️ Improving Watchlist (RS < 75),Diagnostics & Research,53,48,42,38
🕵️ Improving Watchlist (RS < 75),Oil & Gas Equipment & Services,51,49,48,29
🕵️ Improving Watchlist (RS < 75),Chemicals,42,38,36,19
