Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Aluminum,96,85,90,96
🔹 RS > 80: Leading Sectors,Semiconductors,93,93,94,93
🔹 RS ≥ 80: Breakout Sectors,Copper,89,75,14,85
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,81,54,10,71
