Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
641,INSW,79.51,1922379,Energy,Oil & Gas Midstream,92.0,32.0,76.0,94.0,3.8899,3.8578,556398.0,619510.0,92.66,36.03,3936118528,NO,82.43,63.1,83.07,69.1,2413,0.05,903300.0,NO,NO,2024-12-27,7364100.0
645,PTGX,121.88,2343324,Healthcare,Biotechnology,92.0,94.0,79.0,89.0,4.7896,4.7225,671527.0,840470.0,126.25,49.38,7838269952,NO,104.1,89.04,104.06,94.88,2482,-0.51,2593900.0,NO,NO,2021-10-11,45683600.0
648,ILMN,176.55,2146098,Healthcare,Diagnostics & Research,92.0,95.0,91.0,86.0,6.8329,6.4729,1733895.0,2053260.0,182.84,88.0,26712014848,NO,148.11,128.15,151.83,137.37,6515,1.8,2925300.0,NO,NO,2024-06-21,36257766.0
650,UFCS,52.55,516492,Financial Services,Insurance - Property & Casualty,92.0,93.0,91.0,90.0,1.4964,1.3886,122451.0,135860.0,53.16,25.79,1348231552,NO,45.25,37.78,46.23,40.08,11663,0.5,628000.0,NO,NO,2001-10-11,4057200.0
652,GEV,1045.17,3627455,Industrials,Specialty Industrial Machinery,92.0,64.0,78.0,94.0,53.1989,41.4485,2695156.0,3511340.0,1181.95,482.2,280858099712,NO,1029.67,782.37,1037.8,861.57,563,2.97,2750900.0,NO,NO,2024-04-02,18246100.0
660,PSMT,196.25,801321,Consumer Defensive,Discount Stores,92.0,92.0,89.0,93.0,5.0457,4.9243,255564.0,308780.0,197.59,101.3,6063316480,NO,167.82,142.12,170.6,152.27,7249,0.42,897900.0,NO,NO,2019-09-25,4886600.0
669,ESE,339.88,425744,Technology,Scientific & Technical Instruments,92.0,92.0,84.0,95.0,12.4729,11.0143,322159.0,307210.0,362.15,174.92,8805329920,NO,312.54,252.95,313.21,269.03,8998,1.08,292800.0,NO,NO,2007-06-21,6413200.0
671,AIR,143.14,696167,Industrials,Aerospace & Defense,92.0,95.0,77.0,93.0,5.3736,5.0879,395387.0,431100.0,143.35,68.16,5691857408,NO,116.58,100.03,118.33,108.28,11663,0.92,394100.0,NO,NO,2008-02-06,4345300.0
678,MSGS,392.98,534581,Communication Services,Entertainment,92.0,84.0,84.0,92.0,11.7466,11.6399,256538.0,372520.0,397.0,188.59,9461429248,NO,357.52,285.77,361.79,314.51,2709,0.23,536300.0,NO,NO,2023-07-31,4346300.0
682,PLOW,53.89,305750,Consumer Cyclical,Auto Parts,92.0,94.0,86.0,94.0,1.6186,1.5293,225666.0,238020.0,54.49,27.62,1246216576,NO,46.11,38.61,46.58,41.69,4061,-1.23,843800.0,NO,NO,2011-05-17,3421000.0
687,ALGT,116.1,1870239,Industrials,Airlines,92.0,96.0,88.0,86.0,5.8936,5.2557,579600.0,649080.0,118.0,42.56,3120477696,NO,85.03,80.95,87.04,88.86,4915,0.68,928900.0,NO,NO,2006-12-08,5542000.0
689,ECO,49.88,569378,Industrials,Marine Shipping,92.0,24.0,57.0,92.0,2.268,2.2637,473319.0,529480.0,58.45,21.27,1947547520,NO,52.65,42.05,52.57,46.01,719,-2.44,476800.0,NO,NO,2026-03-31,1471500.0
699,KNSA,59.2,5002829,Healthcare,Drug Manufacturers - Specialty & Generic,92.0,91.0,85.0,90.0,2.1977,2.1206,677103.0,652930.0,61.12,26.27,4554730496,NO,52.26,44.53,52.94,47.11,2032,0.93,6756100.0,NO,NO,2025-06-27,8685900.0
700,PWR,687.87,1889115,Industrials,Engineering & Construction,92.0,17.0,85.0,93.0,32.2064,28.5329,1153775.0,1306350.0,788.75,363.01,103221870592,NO,703.75,531.89,711.02,574.7,7136,-1.75,6308400.0,NO,NO,2009-06-30,41581400.0
702,JBL,358.6,1505135,Technology,Electronic Components,92.0,32.0,89.0,94.0,22.1871,21.1036,1248324.0,1795380.0,428.93,189.6,37833240576,NO,354.5,264.05,359.26,288.03,8344,1.77,1514100.0,NO,NO,2014-11-04,36679300.0
703,PRG,46.11,697056,Industrials,Rental & Leasing Services,92.0,95.0,94.0,92.0,1.835,1.7286,460895.0,558520.0,46.11,25.8,1847423232,NO,35.58,32.35,36.57,33.24,10997,-0.9,2366100.0,NO,NO,2014-02-07,15858729.0
706,NHC,206.54,503970,Healthcare,Medical Care Facilities,92.0,85.0,86.0,92.0,7.2843,7.0779,126070.0,181040.0,206.54,93.54,3226080512,NO,186.05,151.93,190.85,164.97,9946,0.26,504000.0,NO,NO,2023-12-15,2662000.0
709,AAMI,72.2,798509,Financial Services,Asset Management,92.0,14.0,88.0,91.0,3.8399,3.1738,438266.0,783410.0,85.73,34.34,2572412928,NO,71.38,55.19,71.21,58.82,2944,1.35,741300.0,NO,NO,2020-06-19,12096900.0
711,TSM,432.35,14878021,Technology,Semiconductors,91.0,73.0,88.0,91.0,19.7257,15.8986,13660020.0,14188000.0,476.79,221.18,2242372173824,NO,412.64,340.17,417.27,362.53,7222,-2.3,17951300.0,YES,NO,2025-01-27,68667500.0
713,ADI,386.91,12192427,Technology,Semiconductors,91.0,39.0,88.0,92.0,20.5129,16.72,4269658.0,5513580.0,445.91,218.37,188458844160,NO,406.48,314.0,411.38,345.47,11663,2.68,6440800.0,NO,NO,2006-08-11,27748000.0
716,SION,42.18,851779,Healthcare,Biotechnology,91.0,28.0,64.0,25.0,2.8229,2.7821,421020.0,436490.0,48.45,14.67,1904440832,NO,39.87,37.64,39.64,39.37,347,-0.49,1019100.0,NO,NO,2025-06-27,2248200.0
718,WCC,347.33,594653,Industrials,Industrial Distribution,91.0,18.0,88.0,89.0,14.6093,12.7343,558700.0,489160.0,377.9,183.0,16916669440,NO,348.34,281.86,352.38,302.77,6823,-1.57,900500.0,NO,NO,2023-06-16,7823100.0
720,WERN,42.77,2646792,Industrials,Trucking,91.0,79.0,93.0,90.0,1.5871,1.5321,1039475.0,960490.0,45.27,23.06,2564066560,NO,38.7,31.96,39.56,34.33,10081,-0.5,3362400.0,NO,NO,2024-06-21,12667900.0
724,CHEF,95.92,903127,Consumer Defensive,Food Distribution,91.0,95.0,94.0,91.0,3.465,3.3664,492891.0,688040.0,97.63,53.2,3911389952,NO,79.1,66.36,82.06,69.81,3749,0.15,308900.0,NO,NO,2011-07-28,6574100.0
725,NUTX,166.4,247243,Healthcare,Medical Care Facilities,91.0,97.0,95.0,36.0,7.516,7.0617,155653.0,104800.0,193.07,77.21,1145054720,NO,129.59,124.68,135.27,130.66,1061,0.75,247300.0,NO,NO,2025-07-22,1422400.0
734,VMI,568.75,382201,Industrials,Conglomerates,91.0,87.0,91.0,89.0,21.9071,19.9014,233803.0,291380.0,585.71,321.21,11041514496,NO,516.96,441.83,527.95,461.38,13450,-1.34,530700.0,NO,NO,2008-06-18,2167900.0
736,TXN,285.42,28530471,Technology,Semiconductors,91.0,12.0,92.0,94.0,16.2714,12.6586,8114724.0,9673810.0,334.03,152.73,259763224576,NO,290.72,213.28,295.8,230.73,13630,-3.0,29809300.0,YES,NO,1987-09-16,136944000.0
740,BJRI,59.86,1236854,Consumer Cyclical,Restaurants,91.0,95.0,93.0,89.0,2.3307,2.2336,406824.0,685680.0,60.77,28.46,1258073088,NO,43.95,38.68,45.85,41.55,7474,0.7,338400.0,NO,NO,2012-10-26,5316700.0
742,LTH,41.01,3803774,Consumer Cyclical,Leisure,91.0,95.0,93.0,92.0,1.4924,1.4152,2757319.0,2986800.0,41.79,24.14,9128937472,NO,32.17,28.3,32.94,29.27,1184,-0.3,9440900.0,YES,NO,2026-03-20,25367600.0
748,LGIH,65.84,1121022,Consumer Cyclical,Residential Construction,91.0,97.0,95.0,93.0,3.4643,3.2786,426179.0,411110.0,69.5,33.55,1529613184,NO,48.91,48.28,50.2,48.17,3176,-0.65,1339600.0,NO,NO,2017-02-06,3565100.0
758,BLBD,78.81,1018909,Industrials,Farm & Heavy Construction Machinery,91.0,91.0,91.0,92.0,2.7993,2.5768,426940.0,378430.0,81.51,42.0,2494067456,NO,68.43,57.72,69.91,59.45,3085,3.33,456700.0,NO,NO,2023-12-12,3311600.0
764,WLFC,223.88,313425,Industrials,Rental & Leasing Services,91.0,94.0,88.0,93.0,9.5236,9.3786,118288.0,158270.0,239.44,114.01,1783566080,NO,195.23,165.78,195.34,180.31,7490,-1.07,350500.0,NO,NO,1996-09-18,890800.0
766,DK,47.82,2107353,Energy,Oil & Gas Refining & Marketing,91.0,88.0,54.0,93.0,2.4721,2.3307,1220309.0,1137870.0,50.33,19.81,2930770432,NO,44.31,37.84,44.96,38.95,5067,-1.19,880300.0,NO,NO,2014-05-15,9035100.0
769,WWD,431.62,2484985,Industrials,Aerospace & Defense,91.0,94.0,81.0,89.0,16.2821,14.9314,783670.0,947540.0,450.92,233.31,25717153792,NO,375.85,329.31,375.48,357.44,8112,-0.15,2569700.0,NO,NO,2018-02-08,6412900.0
